internal_id,title,doi,year,abstract,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,raw
cc857a18,A Portfolio Management Method for Process Mining-Enabled Business Process Improvement Projects,10.1007/s12599-024-00906-2,2024,"Process mining has received tremendous attention from research and industry, establishing itself as a highly sought-after technology. Despite the technological maturity of process mining solutions, which has been achieved through extensive investments in research and development, organizations still face the challenge of elusive value when systematically adopting process mining. The authors attribute this dilemma to a lack of support for scaling and managing process mining project portfolios. To address this practical need and research gap, the authors propose a method for managing portfolios of so-called process mining value cases, which are defined as process mining-enabled business process improvement projects, towards an evolutionary roadmap (mapper). The method is designed to support organizations identify portfolios of process mining projects that generate value by improving business processes. The method was developed through a combination of design science research and situational method engineering and comprises five activities that each outline techniques, roles, and tools: strategize, identify, select, implement, and monitor. The method has been instantiated as a software prototype and iteratively evaluated for applicability and real-world fidelity by involving an expert panel of academics and practitioners. The usefulness of the artifact was substantiated through a real-world case study in a naturalistic setting.",exclude,"O paper trata de portfolio management e governance de projetos de process mining em organizações, não de aplicação de process mining a artefatos de desenvolvimento de software (IC1) nem de modelagem estocástica, forecasting ou mineração de repositórios para processos de SW (IC2-IC4). O contexto é BPM genérico e gestão de projetos, não processos de desenvolvimento de software.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de portfolio management e governance de projetos de process mining em organizações, não de aplicação de process mining a artefatos de desenvolvimento de software (IC1) nem de modelagem estocástica, forecasting ou mineração de repositórios para processos de SW (IC2-IC4). O contexto é BPM genérico e gestão de projetos, não processos de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC1""
  ],
  ""evidence_tag"
6a2c2e16,Conformance Analysis on Software Development: An Experience with Process Mining,10.1504/ijbpim.2011.040203,2011,Software organisations are investing more and more time and resources in their development processes. Conformance analysis is considered an important issue concerning process improvement initiatives. Process mining can be a valuable tool to gather data from event logs produced by management tools for software development environments. Process analysts can use the information obtained to quantify the correspondence between the process models and the real execution. This work discusses the issues concerning process mining in the context of software development processes. We also report an exploratory case study that takes activity records from a software maintenance project in a large software operation. The results were useful to an exploratory analysis as well as to examine the issues involved in the knowledge discovery process in this type of environment.,include,"O paper aborda diretamente conformance analysis usando process mining em processos de desenvolvimento de software (manutenção), com extração de event logs de ferramentas de gestão. Atende claramente IC1 (Process Mining em Software) sem indicadores de exclusão. Caso de estudo em ambiente real de software reforça aplicabilidade.",IC1,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aborda diretamente conformance analysis usando process mining em processos de desenvolvimento de software (manutenção), com extração de event logs de ferramentas de gestão. Atende claramente IC1 (Process Mining em Software) sem indicadores de exclusão. Caso de estudo em ambiente real de software reforça aplicabilidade."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""software_process"",
    ""e"
472e7acc,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,10.1016/j.jjimei.2022.100141,2023,"This article investigates how Process Mining may be used to check process conformance in enterprise information system development. The concept of using Process Mining beyond pure business processes is exemplified on the bug closure processes of two open-source enterprise systems. The process models and conclusions extracted are used for drawing some generic guidelines enterprise information project managers can adopt to assess the quality of their system development processes. Process conformance checking is performed in the Bugzilla databases of two open-source enterprise information systems using Disco. The extracted models are assessed based on the documentation of the projects and are compared to the bug closure process Bugzilla team suggests being used. The findings revealed that the processes followed in the projects are very similar to the ones presented in their documentation, conforming with Bugzilla guidelines. However, several variations are revealed under specific circumstances. Potential benefits from applying Process Mining techniques for information system development management are briefly summarized. This empirical research extends previous work that has been performed in the field of Process Mining and highlights the importance and necessity of Process Mining in enterprise information system development to help standardize and improve the internal processes of an organization and to serve as a proof of compliance by external collaborators developing software for an organization. In addition, it capitalizes on the adoption of inner source development model by many companies developing enterprise software nowadays.",include,"O artigo aplica process mining (PM) explicitamente para verificar conformance em processos de desenvolvimento de software, usando dados de bug closure do Bugzilla como event logs. Atende IC1 (Process Mining em Software: aplica process mining a artefatos de SW, especificamente issue tracking/bug closure). Não há evidência de EC decisivo — o foco está no processo de desenvolvimento de sistemas de in",IC1,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O artigo aplica process mining (PM) explicitamente para verificar conformance em processos de desenvolvimento de software, usando dados de bug closure do Bugzilla como event logs. Atende IC1 (Process Mining em Software: aplica process mining a artefatos de SW, especificamente issue tracking/bug closure). Não há evidência de EC decisivo — o foco está no processo de desenvolvimento de sistemas de informação empresariais, não em domínios exteriores"
8465a1d1,"Adoption, Use and Management of Process Mining in Practice",10.1108/bpmj-03-2020-0112,2020,"PurposeThis study explores how process managers perceive the adoption, use and management of process mining in practice. While research in process mining predominantly focuses on the technical aspects, our work highlights organizational and managerial implications.Design/methodology/approachWe report on a focus group study conducted with process managers from various industries in Central Europe. This setting allowed us to gain diverse and in-depth insights about the needs and expectations of practitioners in relation to the adoption, use and management of process mining.FindingsWe find that process managers face four central challenges. These challenges are largely related to four stages; (1) planning and business case calculation, (2) process selection, (3) implementation, and (4) process mining use.Research limitations/implicationsWe point to research opportunities in relation to the adoption, use and management of process mining. We suggest that future research should apply interdisciplinary study designs to better understand the managerial and organizational implications of process mining.Practical implicationsThe reported challenges have various practical implications at the organizational and managerial level. We explore how existing BPM frameworks can be extended to meet these challenges.Originality/valueThis study is among the first attempts to explore process mining from the perspective of process managers. It clarifies important challenges and points to avenues for future research.",exclude,"O paper é um estudo qualitativo (focus group) sobre desafios organizacionais e gerenciais na adoção de process mining em práticas genéricas, sem foco específico em processos de desenvolvimento de software. Nenhum dos critérios de inclusão (IC1–IC4) é atendido: não há aplicação de PM a artefatos de SW, nenhuma modelagem estocástica, nenhum forecasting de métricas de processo, e não há mineração de ",,EC4,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper é um estudo qualitativo (focus group) sobre desafios organizacionais e gerenciais na adoção de process mining em práticas genéricas, sem foco específico em processos de desenvolvimento de software. Nenhum dos critérios de inclusão (IC1–IC4) é atendido: não há aplicação de PM a artefatos de SW, nenhuma modelagem estocástica, nenhum forecasting de métricas de processo, e não há mineração de repositórios. Enquadra-se em EC4 (revisão/survey "
12484962,Using Process Mining to Leverage the Development of a Family of Mobile Applications,10.15514/ispras-2023-35(3)-13,2023,"Enterprises often provide their services via a family of applications based on various platforms. Applications in such a family can behave differently. Their development processes can differ as well. Moreover, modern development processes are often complex and sometimes vague. This can lead to bugs, defects, and unwanted discrepancies in applications. In this paper, we show that process mining can be applied to leverage the development in such a case. Real-life models can be discovered and investigated by the developer teams in order to reveal differences in application behaviour, find bugs, and highlight inefficiencies. We consider datasets with event data of two types. Firstly, we analyse event logs of Android and iOS applications of the same product family. Secondly, we consider event data from working repositories of these applications. We show how by analysing such datasets, the real-life development process can be discovered. Besides, application event logs can help to find more and less severe bugs and unwanted behaviour.",include,O resumo confirma claramente a aplicação de process mining a artefatos e processos de desenvolvimento de software (análise de event logs de aplicações Android/iOS e repositórios). Atende IC1 (Process Mining em Software) com evidência inequívoca de descoberta e investigação de modelos de processo real. Nenhum critério de exclusão se aplica.,IC1,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O resumo confirma claramente a aplicação de process mining a artefatos e processos de desenvolvimento de software (análise de event logs de aplicações Android/iOS e repositórios). Atende IC1 (Process Mining em Software) com evidência inequívoca de descoberta e investigação de modelos de processo real. Nenhum critério de exclusão se aplica."",
  ""matched_ic"": [
    ""IC1""
  ],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""soft"
8ea46c1d,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,10.1002/smr.2162,2019,"In the era of information technology, businesses have changed the way they work. Operations, which have become digitalized and managed via software systems, have increased in competitiveness. Software developers have been forced to design and implement their quality standards products by focusing on process‐oriented management. Software quality aims to gain a high‐performance level in the both development and managerial processes to maintain continuous improvements. Continuous improvements require more efficient process monitoring methods. Process mining, which provides recent techniques related to process monitoring, can be utilized with event log files to track the process performance. This research will extract the process mapping and performance statistics of the bug‐fixing process from event logs to develop an efficient process monitoring system. This process will uncover bottlenecks causing inefficiencies and risks. The benefits of process mining techniques will also be discussed to highlight the implications. In this context, this article will present a case study on monitoring the bug‐fixing process of a software product via process mining. It will reveal significant knowledge about subsequent steps and roles.",include,"O resumo confirma claramente IC1: aplica process mining (descoberta de processo, análise de event logs, monitoramento de performance) ao processo de bug-fixing em software. A pesquisa extrai mapeamento de processo e estatísticas de performance de event logs para monitorar o processo de correção de bugs, identificando gargalos e ineficiências. Nenhum critério de exclusão se aplica — o foco é exclus",IC1,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O resumo confirma claramente IC1: aplica process mining (descoberta de processo, análise de event logs, monitoramento de performance) ao processo de bug-fixing em software. A pesquisa extrai mapeamento de processo e estatísticas de performance de event logs para monitorar o processo de correção de bugs, identificando gargalos e ineficiências. Nenhum critério de exclusão se aplica — o foco é exclusivamente no processo de software (não em aplicaçã"
91946482,Understanding and simulating software evolution,10.1109/ICSE.2013.6606730,2013,"Simulations have been used in various areas, yielding good results, but their application to software evolution is still limited. Simulations of software evolution can help people understand the driving forces that shape software evolution, and predict future evolutionary paths. To move towards simulation of software evolution, this research tries to explore possible models to simulate software evolution, and the applicability of different data to parameterize the models. The simulations will both be based on fine-grained code changes obtained by comparing the abstract syntax trees of source code. The use of fine-grain code changes could reveal information about software evolution that is unavailable by other means.",exclude,"O resumo menciona simulações de evolução de software e previsão de caminhos evolutivos, mas não evidencia claramente o uso de process mining (IC1), modelagem estocástica específica (IC2 com Markov/Monte Carlo/Petri nets) ou forecasting de métricas de processo de SW (IC3). A mineração de repositórios (IC4) também não é explicitamente indicada. O foco em comparação de ASTs e mudanças de código granu",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O resumo menciona simulações de evolução de software e previsão de caminhos evolutivos, mas não evidencia claramente o uso de process mining (IC1), modelagem estocástica específica (IC2 com Markov/Monte Carlo/Petri nets) ou forecasting de métricas de processo de SW (IC3). A mineração de repositórios (IC4) também não é explicitamente indicada. O foco em comparação de ASTs e mudanças de código granulares não se alinha suficientemente com os critér"
beb83053,Modeling and Predicting Software Failure Costs,10.1109/COMPSAC.2009.195,2009,"For software, the costs of failures are not clearly understood. Often, these costs disappear in the costs of testing, the general developments costs, or the operating expenses. In a general manufacturing context, the British standard BS-6143-2:1990 classifies quality-related costs into prevention costs, appraisal costs, and failure costs. It furthermore recommends to identify the activities carried out within each of these categories, and to measure the costs connected with the activities. The standard thus presents a framework for recording and structuring costs once they have occurred. In this paper, we propose an approach for structuring the information on internal and external software failure costs such that their development over time can be represented by stochastic models. Based on these models, future failure costs can be predicted. In two case studies we show how the approach was applied in an industrial software development project.",include,"O resumo confirma claramente IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting de métricas de processo): propõe abordagem para estruturar dados de custos de falhas de software usando modelos estocásticos para prever custos futuros, validada em caso industrial. Não há evidência de EC decisivo.",IC2|IC3,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O resumo confirma claramente IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting de métricas de processo): propõe abordagem para estruturar dados de custos de falhas de software usando modelos estocásticos para prever custos futuros, validada em caso industrial. Não há evidência de EC decisivo."",
  ""matched_ic"": [
    ""IC2"",
    ""IC3""
  ],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""stochastic_modeling"",
    ""forecasting"",
    ""s"
b007002f,Evaluating a rapid simulation modelling process (RSMP) through controlled experiments,10.1109/ISESE.2005.1541841,2005,"In recent years there has been an increasing interest in simulation modelling to study, control, and manage software development processes. Despite this, little attention has been paid towards the simulation modelling process itself. We have developed a rapid simulation modelling process (RSMP) based on our study of experienced simulation modellers. This paper reports a set of controlled experiments to evaluate the usability and utility of the RSMP. The results from this show that the RSMP has proved to be a usable and useful approach for developing software process simulation models. The results show that the RSMP is likely to bring discipline to software process simulation modellers and improve the quality of the model they produce.",exclude,"O paper trata de simulação de processos de SW, mas não atende aos critérios de inclusão da SLR PATHCAST. O resumo não menciona process mining (IC1), não evidencia uso de modelagem estocástica específica como Markov ou Petri nets (IC2), não apresenta forecasting de métricas de processo (IC3), e não envolve mineração de repositórios (IC4). A avaliação é focada na usabilidade e utilidade da metodolog",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de simulação de processos de SW, mas não atende aos critérios de inclusão da SLR PATHCAST. O resumo não menciona process mining (IC1), não evidencia uso de modelagem estocástica específica como Markov ou Petri nets (IC2), não apresenta forecasting de métricas de processo (IC3), e não envolve mineração de repositórios (IC4). A avaliação é focada na usabilidade e utilidade da metodologia RSMP em experimentos controlados, não na valid"
6f62c847,Performance evaluation with asynchronously decomposable SWN: implementation and case study,10.1109/PNPM.2003.1231539,2003,"Modern systems involve more and more complex interactions leading to very large models. In the area of Stochastic Petri Nets, standard approaches are to use High Level Stochastic Petri Nets and/or some kind of compositionality to cope with this increasing complexity. In this paper we present an experimental implementation of the asynchronous decomposition method for Stochastic Well formed Nets (SWN), a class of Stochastic High level Petri nets. The method combines the Multi-valued Decision Diagram methods for structured Markov chains with the theoretical results for decomposable SWN. This implementation allows us to compute performance indices for very large and very symmetric systems. We apply our tool to the analysis of a complex Manufacturing System.",exclude,"O paper trata de modelagem estocástica (SWN — Stochastic Well-formed Nets) aplicada a sistemas de manufatura, não a processos de software. O domínio explicitamente mencionado (Manufacturing System) cai sob EC1 (domínio fora de SW). Embora use Petri nets estocásticas (IC2 potencial), não há evidência de aplicação a artefatos, workflows ou métricas de desenvolvimento de software.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de modelagem estocástica (SWN — Stochastic Well-formed Nets) aplicada a sistemas de manufatura, não a processos de software. O domínio explicitamente mencionado (Manufacturing System) cai sob EC1 (domínio fora de SW). Embora use Petri nets estocásticas (IC2 potencial), não há evidência de aplicação a artefatos, workflows ou métricas de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC1""
  ],
  ""evidence_t"
