internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,publisher,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,ta_screened_at,ta_batch_id
97f3c4ea,scopus,scopus_principal,Principal,,Monte Carlo and molecular dynamics simulations using p4,Runge K.J.,1995,,IEEE Symposium on Parallel and Distributed Processing Proceedings,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-0029218694,,exclude,"O artigo trata de simulações Monte Carlo e dinâmica molecular em computação paralela, aplicado a domínio científico/físico, não a processos de software ou engenharia de software. Não há indicação de relevância a process mining, modelagem de processos de SW ou forecasting em desenvolvimento de software.",,EC1,2026-04-12T20:13:11.235489+00:00,msgbatch_014epxmAhDxpMiXrt3wqCGFY
6156e60d,scopus,scopus_principal,Principal,10.1016/j.advwatres.2015.01.011,Definition and solution of a stochastic inverse problem for the Manning's n parameter field in hydrodynamic models,Butler T.,2015,,Advances in Water Resources,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84923569593,,exclude,"O artigo trata de modelagem estocástica em hidrologia e engenharia de recursos hídricos (Manning's n parameter em modelos hidrodinâmicos), domínio completamente fora de engenharia de software e desenvolvimento de processos de SW. Não há qualquer conexão com process mining, forecasting de métricas de processo de SW ou mineração de repositórios de software.",,EC1,2026-04-12T20:07:33.942322+00:00,msgbatch_01WA34s6KYBnqTEYDoeQMa8p
a31cb460,scopus,scopus_markov_testing,Markov + Software Testing (focal V6),10.1007/s42401-024-00281-6,Bayesian inference of airfoil icing condition from simulated ice shapes,Zhong X.,2025,,Aerospace Systems,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85188241405,,exclude,"O artigo trata de inferência bayesiana em sistemas aeroespaciais (formação de gelo em aerofólios), domínio completamente fora de engenharia de software e processos de desenvolvimento. Não há relação com process mining, modelagem estocástica de processos de SW, forecasting de métricas de processo ou mineração de repositórios de software.",,EC1,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
e5f8b32c,scopus,scopus_markov_testing,Markov + Software Testing (focal V6),10.1002/qre.2389,An analytical method for reliability analysis of hardware-software co-design system,Zeng Y.,2019,"Hardware‐software co‐design systems abound in diverse modern application areas such as automobile control, telecommunications, big data processing, and cloud computing. Existing works on reliability modeling of the co‐design systems have mostly assumed that hardware and software subsystems behave independently of each other. However, these two subsystems may have significant interactions in practice. In this paper, an analytical approach based on paths and integrals is proposed to analyze reliability of nonrepairable hardware‐software co‐design systems considering interactions between hardware and software during the system performance degradation and failure process. The proposed approach is verified using the Markov‐based method. As demonstrated by case studies on systems without and with warm standby sparing, the proposed approach is applicable to arbitrary types of time‐to‐failure or degradation distributions. Effects of different transition and fault detection/recovery parameters on system performance are also investigated through examples.",Quality and Reliability Engineering International,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85053727209,,exclude,"O artigo trata de confiabilidade de sistemas embarcados (hardware-software co-design) em domínios como automóveis e telecomunicações, não de processos de desenvolvimento de software. Embora use Markov, aplica-se à análise de falhas de sistemas, não à descoberta, modelagem ou previsão de processos de SW (development workflow, CI/CD, issue tracking).",,EC1|EC2,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
908999dd,scopus,scopus_principal,Principal,10.2523/iptc-12165-ms,Integrated modeling and statistical analysis of 3-d fracture network of the midale field,Bogatkov D.,2008,,International Petroleum Technology Conference Iptc 2008,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-67650563310,,exclude,"O artigo trata de modelagem de redes de fraturas em campos de petróleo, domínio de geociências/engenharia de petróleo. Não há evidência de relação com processos de desenvolvimento de software, process mining em SE ou forecasting de métricas de SW.",,EC1,2026-04-12T20:10:37.857356+00:00,msgbatch_01WubbEWrx98tudf2aLE6X3r
81c0893f,scopus,scopus_markov_testing,Markov + Software Testing (focal V6),10.1109/RTCSA50079.2020.9203594,Identification and validation of markov models with continuous emission distributions for execution times,Friebe A.,2020,"It has been shown that in some robotic applications, where the execution times cannot be assumed to be independent and identically distributed, a Markov Chain with discrete emission distributions can be an appropriate model. In this paper we investigate whether execution times can be modeled as a Markov Chain with continuous Gaussian emission distributions. The main advantage of this approach is that the concept of distance is naturally incorporated. We propose a framework based on Hidden Markov Model (HMM) methods that 1) identifies the number of states in the Markov Model from observations and fits the Markov Model to observations, and 2) validates the proposed model with respect to observations. Specifically, we apply a tree-based cross-validation approach to automatically find a suitable number of states in the Markov model. The estimated models are validated against observations, using a data consistency approach based on log likelihood distributions under the proposed model. The framework is evaluated using two test cases executed on a Raspberry Pi Model 3B+ single-board computer running Arch Linux ARM patched with PREEMPT_RT. The first is a simple test program where execution times intentionally vary according to a Markov model, and the second is a video decompression using the ffmpeg program. The results show that in these cases the framework identifies Markov Chains with Gaussian emission distributions that are valid models with respect to the observations.",2020 IEEE 26th International Conference on Embedded and Real Time Computing Systems and Applications Rtcsa 2020,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85092687388,,exclude,"O paper aborda modelagem estocástica (HMM com distribuições Gaussianas) e Markov Chains, mas aplica-se exclusivamente a sistemas embarcados e robótica (Raspberry Pi, aplicações de tempo real), não a processos de desenvolvimento de software. Não há qualquer conexão com process mining de SW, métricas de processo de desenvolvimento, ou análise de repositórios/event logs de SW.",,EC1,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
45de7b4a,scopus,scopus_principal,Principal,10.18293/SEKE2019-097,Language independent POS-tagging using automatically generated Markov chains,Assunção J.,2019,,Proceedings of the International Conference on Software Engineering and Knowledge Engineering Seke,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85071381690,,exclude,"O artigo trata de POS-tagging (part-of-speech tagging) em processamento de linguagem natural, utilizando Markov chains. Embora use modelagem estocástica (Markov), não há evidência de aplicação a processos de desenvolvimento de software ou análise de artefatos de SW. O domínio é NLP, não engenharia de software.",,EC1|EC3,2026-04-12T20:07:33.942322+00:00,msgbatch_01WA34s6KYBnqTEYDoeQMa8p
c149eaf0,scopus,scopus_principal,Principal,10.1145/2025113.2025133,Managing performance vs. accuracy trade-offs with loop perforation,Sidiroglou S.,2011,,SIGSOFT Fse 2011 Proceedings of the 19th ACM SIGSOFT Symposium on Foundations of Software Engineering,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-80053213080,,exclude,"O artigo trata de otimização de desempenho versus acurácia em software (loop perforation), mas não aborda process mining, modelagem estocástica de processos de desenvolvimento, forecasting de métricas de processo ou mineração de repositórios. Sem abstract disponível, o título sugere foco em técnica de compilação/otimização, não em análise ou descoberta de processos de SW.",,EC2|EC3,2026-04-12T20:10:37.857356+00:00,msgbatch_01WubbEWrx98tudf2aLE6X3r
321c61b3,scopus,scopus_simulation_bridge,Process Mining + Simulation Models (focal V9),10.1109/ICHI.2017.104,Process Mining and Analytics for Care Pathways: Proposal for a Tutorial at ICHI2017,Johnson O.,2017,,Proceedings 2017 IEEE International Conference on Healthcare Informatics Ichi 2017,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85032354125,,exclude,"O paper trata de process mining em care pathways (saúde), domínio explicitamente fora do escopo de engenharia de software. Além disso, é uma proposta de tutorial sem abstract disponível, não permitindo avaliação adequada de conteúdo.",,EC1,2026-04-12T20:13:11.235489+00:00,msgbatch_014epxmAhDxpMiXrt3wqCGFY
9991f651,scopus,scopus_markov_testing,Markov + Software Testing (focal V6),10.1016/j.ejor.2012.11.056,Imperfect debugging in software reliability: A Bayesian approach,Aktekin T.,2013,,European Journal of Operational Research,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84872919293,,exclude,"O artigo trata de confiabilidade de software e debugging usando abordagem Bayesiana, mas não aborda process mining, modelagem estocástica de processos de desenvolvimento de SW, forecasting de métricas de processo, ou mineração de repositórios. Foca em qualidade/confiabilidade de código, não em análise ou previsão de processos de desenvolvimento.",,EC3,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
