dup_group,internal_id,title,doi,year,abstract_match_type,abstract_source,abstract,audit_decision,audit_notes
0,07e07b2e,Advanced Process Discovery Techniques,10.1007/978-3-642-19345-3_6,2011,title_exact,openalex,"Abstract Given the challenges associated to the process discovery task, more than a hundred research studies addressed the problem over the past two decades. Despite the richness of proposals, many state-of-the-art automated process discovery techniques, especially the oldest ones, struggle to systematically discover accurate and simple process models. In general, when the behavior recorded in the input event log is simple (e.g., exhibiting little parallelism, repetitions, or inclusive choices) or noise free, some basic algorithms such as the alpha miner can output accurate and simple process models. However, as the complexity of the input data increases, the quality of the discovered process models can worsen quickly. Given that oftentimes real-life event logs record very complex and unstructured process behavior containing many repetitions, infrequent traces, and incomplete data, some state-of-the-art techniques turn unreliable and not purposeful. Specifically, they tend to discover process models that either have limited accuracy (i.e., low fitness and/or precision) or are syntactically incorrect. While currently there exists no perfect automated process discovery technique, some are better than others when discovering a process model from event logs recording complex process behavior. In this chapter, we introduce four of such techniques, discussing their underlying approach and algorithmic ideas, reporting their benefits and limitation, and comparing their performance with the algorithms introduced in the previous chapter.",,"PRELIMINAR: abstract fala genuinamente de process discovery techniques (conteudo plausivel p/ ambos titulos identicos) - parece ser o MESMO paper duplicado no corpus (2 internal_id), nao um match errado."
0,096fba2c,Advanced Process Discovery Techniques,10.1007/978-3-662-49851-4_7,2016,title_exact,openalex,"Abstract Given the challenges associated to the process discovery task, more than a hundred research studies addressed the problem over the past two decades. Despite the richness of proposals, many state-of-the-art automated process discovery techniques, especially the oldest ones, struggle to systematically discover accurate and simple process models. In general, when the behavior recorded in the input event log is simple (e.g., exhibiting little parallelism, repetitions, or inclusive choices) or noise free, some basic algorithms such as the alpha miner can output accurate and simple process models. However, as the complexity of the input data increases, the quality of the discovered process models can worsen quickly. Given that oftentimes real-life event logs record very complex and unstructured process behavior containing many repetitions, infrequent traces, and incomplete data, some state-of-the-art techniques turn unreliable and not purposeful. Specifically, they tend to discover process models that either have limited accuracy (i.e., low fitness and/or precision) or are syntactically incorrect. While currently there exists no perfect automated process discovery technique, some are better than others when discovering a process model from event logs recording complex process behavior. In this chapter, we introduce four of such techniques, discussing their underlying approach and algorithmic ideas, reporting their benefits and limitation, and comparing their performance with the algorithms introduced in the previous chapter.",,"PRELIMINAR: abstract fala genuinamente de process discovery techniques (conteudo plausivel p/ ambos titulos identicos) - parece ser o MESMO paper duplicado no corpus (2 internal_id), nao um match errado."
1,18decf22,Predictive Process Monitoring in Apromore,10.1007/978-3-319-92901-9_21,2018,title_fuzzy,crossref,"Abstract Predictive Process Monitoring [29] is a branch of process mining that aims at predicting the future of an ongoing (uncompleted) process execution. Typical examples of predictions of the future of an execution trace relate to the outcome of a process execution, to its completion time, or to the sequence of its future activities",,"PRELIMINAR: titulos DIFERENTES (Apromore vs. reliability) compartilhando o mesmo abstract sobre Predictive Process Monitoring - no maximo 1 dos 2 esta correto, o outro emprestou o abstract errado. Precisa checar DOI de cada um."
1,817081ea,Towards Reliable Predictive Process Monitoring,10.1007/978-3-319-92901-9_15,2018,title_fuzzy,crossref,"Abstract Predictive Process Monitoring [29] is a branch of process mining that aims at predicting the future of an ongoing (uncompleted) process execution. Typical examples of predictions of the future of an execution trace relate to the outcome of a process execution, to its completion time, or to the sequence of its future activities",,"PRELIMINAR: titulos DIFERENTES (Apromore vs. reliability) compartilhando o mesmo abstract sobre Predictive Process Monitoring - no maximo 1 dos 2 esta correto, o outro emprestou o abstract errado. Precisa checar DOI de cada um."
2,c2f3e2a3,Business Process Deviance Mining,10.1007/978-3-319-63962-8_100-1,2018,title_fuzzy,openalex,"Business process deviance refers to the phenomenon whereby a subset of the executions of a business process deviate, in a negative or positive way, with respect to its expected or desirable outcomes. Deviant executions of a business process include those that violate compliance rules, or executions that undershoot or exceed performance targets. Deviance mining is concerned with uncovering the reasons for deviant executions by analyzing business process event logs. This article provides a systematic review and comparative evaluation of deviance mining approaches based on a family of data mining techniques known as sequence classification. Using real-life logs from multiple domains, we evaluate a range of feature types and classification methods in terms of their ability to accurately discriminate between normal and deviant executions of a process. We also analyze the interestingness of the rule sets extracted using different methods. We observe that feature sets extracted using pattern mining techniques only slightly outperform simpler feature sets based on counts of individual activity occurrences in a trace.",,"PRELIMINAR: titulo identico (Business Process Deviance Mining) nos dois - abstract bate com o tema - provavel duplicata do mesmo paper no corpus, nao match errado (apesar de aparecer como title_fuzzy)."
2,c542c791,Business Process Deviance Mining,10.1007/978-3-319-77525-8_100,2019,title_fuzzy,openalex,"Business process deviance refers to the phenomenon whereby a subset of the executions of a business process deviate, in a negative or positive way, with respect to its expected or desirable outcomes. Deviant executions of a business process include those that violate compliance rules, or executions that undershoot or exceed performance targets. Deviance mining is concerned with uncovering the reasons for deviant executions by analyzing business process event logs. This article provides a systematic review and comparative evaluation of deviance mining approaches based on a family of data mining techniques known as sequence classification. Using real-life logs from multiple domains, we evaluate a range of feature types and classification methods in terms of their ability to accurately discriminate between normal and deviant executions of a process. We also analyze the interestingness of the rule sets extracted using different methods. We observe that feature sets extracted using pattern mining techniques only slightly outperform simpler feature sets based on counts of individual activity occurrences in a trace.",,"PRELIMINAR: titulo identico (Business Process Deviance Mining) nos dois - abstract bate com o tema - provavel duplicata do mesmo paper no corpus, nao match errado (apesar de aparecer como title_fuzzy)."
3,2620df4c,Towards Model-Driven Digital Twin Engineering: Current Opportunities and Future Challenges,10.1007/978-3-030-58167-1_4,2020,title_exact,openalex,International audience,,"CONFIRMADO JUNK: abstract compartilhado e literalmente ""International audience"" (metadado de repositorio tipo HAL, nao e um abstract real) - os 4 titulos (bem diferentes entre si) nao tem abstract real recuperado, tratar como sem abstract."
3,89b7e646,Proactive Management of Business Change,10.1007/978-0-387-84837-2_43,2008,title_exact,openalex,International audience,,"CONFIRMADO JUNK: abstract compartilhado e literalmente ""International audience"" (metadado de repositorio tipo HAL, nao e um abstract real) - os 4 titulos (bem diferentes entre si) nao tem abstract real recuperado, tratar como sem abstract."
3,924c6de1,Decision Support Based on Process Mining,10.1007/978-3-540-48713-5_29,2008,title_fuzzy,openalex,International audience,,"CONFIRMADO JUNK: abstract compartilhado e literalmente ""International audience"" (metadado de repositorio tipo HAL, nao e um abstract real) - os 4 titulos (bem diferentes entre si) nao tem abstract real recuperado, tratar como sem abstract."
3,a0ad4c10,Combining Acquisition and Debugging of Business Rule Models,10.1007/978-3-642-39617-5_22,2013,title_exact,openalex,International audience,,"CONFIRMADO JUNK: abstract compartilhado e literalmente ""International audience"" (metadado de repositorio tipo HAL, nao e um abstract real) - os 4 titulos (bem diferentes entre si) nao tem abstract real recuperado, tratar como sem abstract."
