dup_group_id,match_signal,internal_id,origin,title,doi,year,qa_total,qa_include,decision,decision_notes
G001,exact_doi,03654165,auxiliary,Studying Task Processes for Improving Programmer Productivity,10.1109/TSE.2019.2904230,2021.0,5.0,True,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G001,exact_doi,7b0b22ea,working_set,Studying Task Processes for Improving Programmer Productivity,10.1109/TSE.2019.2904230,2021.0,7.0,True,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
G002,exact_doi,062516d6,auxiliary,Mining Fork-Including Software Development Traces,10.1007/978-3-031-07481-3_12,2022.0,6.0,True,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G002,exact_doi,b5ffb64d,working_set,Mining Fork-Including Software Development Traces,10.1007/978-3-031-07481-3_12,2022.0,6.0,True,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
G003,exact_doi,0ffa4684,auxiliary,Egidio: A non-invasive approach for synthesizing organizational models,10.1109/ICSE.2012.6227062,2012.0,3.0,False,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G003,exact_doi,ae20e68e,working_set,Egidio: A non-invasive approach for synthesizing organizational models,10.1109/ICSE.2012.6227062,2012.0,3.0,False,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
G004,exact_title_only,14ee5dda,auxiliary,Supporting software evolution actions with process mining,10.5753/cibse.2023.24692,2023.0,5.0,True,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G004,exact_title_only,fda7184e,working_set,Supporting software evolution actions with process mining,,2023.0,4.0,True,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
G005,exact_doi,1852bb61,auxiliary,"Exploring Collaboration Patterns in GitHub using Discrete Time Markov
Chain",10.1109/APSEC60848.2023.00090,2023.0,4.0,True,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G005,exact_doi,21851bba,working_set,Exploring Collaboration Patterns in GitHub Using Discrete Time Markov Chain,10.1109/APSEC60848.2023.00090,2023.0,5.0,True,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
G006,exact_doi,1941da25,auxiliary,The Economic Impact of Software Development Process Choice -- Cycle-Time Analysis and Monte Carlo Simulation Results,10.1109/HICSS.2015.599,2015.0,7.0,True,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G006,exact_doi,261f6383,working_set,The economic impact of software development process choice - Cycle-time analysis and Monte Carlo simulation results,10.1109/HICSS.2015.599,2015.0,5.0,True,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
G007,exact_title_only,1c2611b3,auxiliary,Linking software process modeling with Markov decision theory,10.1109/cmpsac.2004.1342699,2004.0,4.0,True,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G007,exact_title_only,3c810db6,working_set,Linking software process modeling with Markov decision theory,,2004.0,4.0,True,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
G008,exact_doi,1e2799d8,auxiliary,"An Exploratory Study on Usage of Process Mining in Agile Software
Development",10.1007/978-3-319-67383-7_14,2017.0,4.0,True,drop,auto: unambiguous cross/within-tier duplicate — same study as keeper
G008,exact_doi,2e76e921,working_set,An exploratory study on usage of process mining in agile software development,10.1007/978-3-319-67383-7_14,2017.0,3.0,False,keep,auto: unambiguous cross/within-tier duplicate — canonical copy
