row_idx,internal_id,title,doi,ft_decision_primary,ft_decision_verifier,verifier_model,raw
3,,A note on two-stage software testing by two teams,10.1007/978-3-642-27207-3_35,exclude,include,claude-sonnet-4-6,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O resumo descreve explicitamente um modelo estocástico aplicado ao processo de teste de software em desenvolvimento real, com análise de dados de atividade de teste e avaliação de confiabilidade de software — atendendo IC2 (modelagem estocástica em processos de SW) e potencialmente IC3 (previsão de métricas de confiabilidade)."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""software_process"", ""reliability""],
  ""software_context"": ""software_testing"",
  ""stochastic_method"": ""probabilistic_model"","
4,,DATA-DRIVEN SIMULATION-BASED ANALYSIS OF COLLABORATIVE BUSINESS PROCESSES IN DISTRIBUTED ENVIRONMENTS,,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação conclusiva. O título menciona 'collaborative business processes' e 'simulation-based analysis', o que pode indicar relevância para IC2 (modelagem estocástica) ou IC1 (process mining), mas 'distributed environments' e 'business processes' podem remeter a domínios genéricos de BPM sem foco em processos de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic"
0,,COLORED PETRI NETS SIMULATION ON THE CLOUD WITH PYTHON: A FRAMEWORK OVERVIEW,10.24507/icicelb.13.07.725,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título indica um framework de simulação com Colored Petri Nets em Python na nuvem, o que pode corresponder a EC3 (método teórico sem aplicação a processos de SW) ou IC2 (modelagem estocástica em processos de SW). Sem o texto completo, não é possível determinar se a aplicação envolve processos de desenvolvimento de software ou é puramente metodológica/genérica."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_petri_net"", ""simulation"", ""insufficient_abstract"", ""full_text_required""],
  ""softwar"
1,,OOMSE - An object oriented markov chain specification and evaluation framework,,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título indica um framework orientado a objetos para especificação e avaliação de cadeias de Markov, o que pode corresponder a IC2 se aplicado a processos de SW, mas sem conteúdo verificável é impossível confirmar o domínio de aplicação (software engineering ou área genérica)."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""markov"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""none"",
  ""process_data_source"""
2,,Leveraging process mining techniques for up-To-date resource profiles,,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper usa process mining para manter perfis de conhecimento/habilidades de usuários em organizações — o objetivo é gestão de recursos humanos, não mineração de processos de desenvolvimento de software para descoberta/conformance/forecasting de processo. Apesar de mencionar um estudo de caso em empresa de desenvolvimento de software, o foco é em 'resource profiles' (competências dos funcionários), não em artefatos de SW (commits, issues, PR, CI/CD) nem em métricas de processo como lead time ou defect rate."",
  ""matched_ic"": [],
  ""matched_ec"""
7,,Mining Issue Trackers: Concepts and Techniques,10.1007/978-3-031-73143-3_11,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O capítulo foca em mineração de issue trackers com técnicas de NLP para casos de uso como classificação e busca de requisitos, sem aplicar process mining, modelagem estocástica ou forecasting de métricas de processo. O conteúdo é orientado a NLP para engenharia de requisitos, não ao escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"", ""EC4""],
  ""evidence_tags"": [""issue_tracking""],
  ""software_context"": ""issue_bug_workflow"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""issue_tracker"",
  ""confid"
6,,Generating event logs with workload-dependent speeds from simulation models,10.1007/978-3-642-31069-0_31,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de geração de event logs a partir de modelos de simulação para análise de processos de negócio em geral, sem evidência de aplicação a processos de desenvolvimento de software. O contexto é 'operational business processes', não processos de SW, configurando EC1."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""simulation"", ""event_log""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""simulated_process"",
  "
9,,Automated method for verification of stochastic graph transformation systems,10.1109/ICSESS.2011.5982296,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de verificação formal de Stochastic Graph Transformation Systems usando model checking (PRISM), sem aplicação a processos de desenvolvimento de software. O foco é em sistemas distribuídos dinâmicos genéricos, não em artefatos de SW como commits, issues ou event logs de processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [""stochastic_modeling"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""probabilistic_model"",
  ""forecast_target"": ""none"",
  ""process_data_source"
8,,Modeling the failure pathology of software components,10.1109/QoSA.2016.15,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de modelagem de confiabilidade de componentes de software em execução (failure pathology, error propagation, fault injection no Xen), não de processos de desenvolvimento de software. Isso se enquadra em EC2 (SW como objeto de estudo de confiabilidade em runtime, não o processo de desenvolvimento) e nenhum IC da SLR PATHCAST é atendido."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""stochastic_modeling"", ""reliability""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""probabilistic_model"","
5,,"PN-WS 2025 - Joint Proceedings of the Workshops at the 46th International Conference on Application and Theory of Petri Nets and Concurrency: Petri Nets and Software Engineering, PNSE 2025, Algorithms and Theories for the Analysis of Event Data, ATAED 2025, and Petri Net Games, Examples and Quizzes for Education, Contest and Fun, PeNGE 2025, co-located with PETRI NETS 2025",,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O abstract fornecido refere-se a um workshop de 2000 (SEPN/ICATPN-2000) e não ao conteúdo real dos proceedings de 2025 listados no título; o abstract está ausente ou incorreto para esta publicação. Trata-se de um volume de proceedings coletivo sem conteúdo específico avaliável, e na fase de texto completo não é possível confirmar atendimento a nenhum IC da SLR PATHCAST com base nessas informações."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
"
