internal_id,title,doi,year,source_db,ta_decision,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,raw
cc857a18,A Portfolio Management Method for Process Mining-Enabled Business Process Improvement Projects,10.1007/s12599-024-00906-2,2024,acm,maybe,pending,"Título indica potencial relevância a process mining e melhoria de processos (IC1 possível), mas resumo está ausente. Sem acesso ao conteúdo completo, não é possível confirmar se o escopo aborda processos de software (IC1) ou se trata-se de gestão de portfólio genérica em BPM. A avaliação de exclusão/inclusão com rigor requer acesso ao texto completo.",,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""Título indica potencial relevância a process mining e melhoria de processos (IC1 possível), mas resumo está ausente. Sem acesso ao conteúdo completo, não é possível confirmar se o escopo aborda processos de software (IC1) ou se trata-se de gestão de portfólio genérica em BPM. A avaliação de exclusão/inclusão com rigor requer acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""insuff"
6a2c2e16,Conformance Analysis on Software Development: An Experience with Process Mining,10.1504/ijbpim.2011.040203,2011,acm,maybe,pending,"O título é altamente relevante para IC1 (conformance analysis + process mining + software development), porém o abstract está ausente. Como esta é a fase de texto completo e não temos acesso ao conteúdo integral, não é possível verificar escopo, metodologia, dataset, ou a presença de critérios de exclusão. A decisão requer análise do artigo completo.",IC1,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O título é altamente relevante para IC1 (conformance analysis + process mining + software development), porém o abstract está ausente. Como esta é a fase de texto completo e não temos acesso ao conteúdo integral, não é possível verificar escopo, metodologia, dataset, ou a presença de critérios de exclusão. A decisão requer análise do artigo completo."",
  ""matched_ic"": [
    ""IC1""
  ],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"""
8465a1d1,"Adoption, Use and Management of Process Mining in Practice",10.1108/bpmj-03-2020-0112,2020,acm,maybe,pending,"Abstract ausente impossibilita avaliação confiável dos critérios de inclusão específicos ao escopo (process mining em SW, modelagem estocástica, forecasting). Título sugere relevância marginal a process mining genérico, mas não confirma aplicação a processos de desenvolvimento de software nem aos demais pilares da SLR PATHCAST (estocástico, forecasting). Requer acesso ao texto completo para confir",,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""Abstract ausente impossibilita avaliação confiável dos critérios de inclusão específicos ao escopo (process mining em SW, modelagem estocástica, forecasting). Título sugere relevância marginal a process mining genérico, mas não confirma aplicação a processos de desenvolvimento de software nem aos demais pilares da SLR PATHCAST (estocástico, forecasting). Requer acesso ao texto completo para confirmação."",
  ""matched_ic"": [],
  ""matched_ec"": [],
"
142aa8c7,"Process Mining: Software Comparison, Trends, and Challenges",10.1007/s41060-022-00379-0,2022,acm,maybe,pending,"O resumo está ausente, impossibilitando a confirmação de critérios de inclusão específicos. Porém, o título 'Process Mining: Software Comparison, Trends, and Challenges' sugere relevância potencial para IC1 (Process Mining em Software) ou IC4 (Mineração de Repositórios). Acesso ao texto completo é necessário para validar se o artigo aborda efetivamente a intersecção do escopo PATHCAST (PM + estocá",,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente, impossibilitando a confirmação de critérios de inclusão específicos. Porém, o título 'Process Mining: Software Comparison, Trends, and Challenges' sugere relevância potencial para IC1 (Process Mining em Software) ou IC4 (Mineração de Repositórios). Acesso ao texto completo é necessário para validar se o artigo aborda efetivamente a intersecção do escopo PATHCAST (PM + estocástico + forecasting em SW) ou se é apenas uma sur"
472e7acc,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,10.1016/j.jjimei.2022.100141,2023,acm,maybe,pending,"O título menciona 'process conformance' e 'mining', sugerindo process mining (IC1), porém o resumo está ausente, impossibilitando verificação rigorosa do escopo. Risco significativo de EC1 (domínio genérico de EIM) ou EC2 (software como ferramenta). Título fornece indicação marginal de relevância, justificando pending em vez de exclusão imediata.",IC1,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O título menciona 'process conformance' e 'mining', sugerindo process mining (IC1), porém o resumo está ausente, impossibilitando verificação rigorosa do escopo. Risco significativo de EC1 (domínio genérico de EIM) ou EC2 (software como ferramenta). Título fornece indicação marginal de relevância, justificando pending em vez de exclusão imediata."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""full_text_requ"
8ea46c1d,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,10.1002/smr.2162,2019,acm,maybe,pending,"O título indica fortemente aplicação de process mining ao processo de correção de bugs em software (IC1), sugerindo alta relevância para a SLR PATHCAST. Porém, sem abstract verificável, é impossível confirmar escopo, metodologia, dados utilizados, ou presença de critérios de exclusão. A ausência de resumo impede decisão com confiança nesta fase de texto completo.",IC1,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O título indica fortemente aplicação de process mining ao processo de correção de bugs em software (IC1), sugerindo alta relevância para a SLR PATHCAST. Porém, sem abstract verificável, é impossível confirmar escopo, metodologia, dados utilizados, ou presença de critérios de exclusão. A ausência de resumo impede decisão com confiança nesta fase de texto completo."",
  ""matched_ic"": [
    ""IC1""
  ],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""pr"
12484962,Using Process Mining to Leverage the Development of a Family of Mobile Applications,10.15514/ispras-2023-35(3)-13,2023,acm,maybe,pending,"O título sugere aplicação de process mining ao desenvolvimento de aplicações móveis (IC1 potencial), mas o abstract está ausente. Sem conteúdo verificável do resumo, não é possível confirmar escopo, metodologia, artefatos de software específicos ou contribuições. A fonte bibliográfica (ACM) é verificável, mas a ausência total de resumo impede avaliação confiável na fase de texto completo.",IC1,,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O título sugere aplicação de process mining ao desenvolvimento de aplicações móveis (IC1 potencial), mas o abstract está ausente. Sem conteúdo verificável do resumo, não é possível confirmar escopo, metodologia, artefatos de software específicos ou contribuições. A fonte bibliográfica (ACM) é verificável, mas a ausência total de resumo impede avaliação confiável na fase de texto completo."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidenc"
baf4e59e,Towards causal relation detection between activities in a software development scenario,,2011,ieee,maybe,exclude,"O abstract é vago e não especifica nem metodologia nem aplicação concreta a processos de software. A detecção de relações causais entre 'peças de informação' é genérica demais; não há evidência de process mining, modelagem estocástica, forecasting de métricas de processo, ou mineração de repositórios. O venue (Conferência de Microwave & Telecomunicação Technology em 2011) não está alinhado com eng",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O abstract é vago e não especifica nem metodologia nem aplicação concreta a processos de software. A detecção de relações causais entre 'peças de informação' é genérica demais; não há evidência de process mining, modelagem estocástica, forecasting de métricas de processo, ou mineração de repositórios. O venue (Conferência de Microwave & Telecomunicação Technology em 2011) não está alinhado com engenharia de software ou process mining. Sem acesso"
89b8750e,Discovering models of parallel workflow processes from incomplete event logs,,2015,ieee,include,exclude,"Embora o paper trate de process mining e descoberta de modelos a partir de event logs (IC1), o contexto é puramente de workflow genérico/processos de negócio abstratos, sem qualquer vinculação explícita a processos de desenvolvimento de software. A pesquisa foca em algoritmos de mineração para processos paralelos em logs incompletos, mas não há evidência de aplicação a artefatos de SW (commits, is",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o paper trate de process mining e descoberta de modelos a partir de event logs (IC1), o contexto é puramente de workflow genérico/processos de negócio abstratos, sem qualquer vinculação explícita a processos de desenvolvimento de software. A pesquisa foca em algoritmos de mineração para processos paralelos em logs incompletos, mas não há evidência de aplicação a artefatos de SW (commits, issues, PR, CI/CD) ou processos de desenvolvimento,"
3e6acab8,Identification process relationship of process model discovery based on workflow-net,10.1109/ICODSE.2017.8285876,2017,ieee,maybe,exclude,"O paper aplica process mining a processos de negócio em web services, não a processos de desenvolvimento de software. Embora mencione 'process mining' e 'workflow-net', o contexto é integração de serviços empresariais, não artefatos de software (commits, issues, PR, CI/CD). EC1 (domínio fora de SW) é aplicável.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica process mining a processos de negócio em web services, não a processos de desenvolvimento de software. Embora mencione 'process mining' e 'workflow-net', o contexto é integração de serviços empresariais, não artefatos de software (commits, issues, PR, CI/CD). EC1 (domínio fora de SW) é aplicável."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining""],
  ""software_context"": ""not_software_process"",
  ""s"
