internal_id,title,doi,year,QA1,QA2,QA3,QA4,QA5,QA6,QA7,QA8,qa_total,qa_include,qa_rationale,qa_scored_at,qa_model
9a4decc9,Mining and Assessing Issue Resolution Processes in Open Source Software Repositories,10.1109/CSCWD64889.2025.11033176,2025.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,True,"QA1: Clear research objectives stated—examining relationship between process organization (uncertainty) and issue resolution efficiency. QA2: Software engineering context well-described—open-source software development, GitHub issue resolution processes. QA3: Data source reproducibly described—real-world OSS projects' repositories are the data source, though specific project names not listed in abstract. QA4: PM technique formally defined—Direct Follow Graphs (DFGs) and entropy-guided KMeans++ clustering are explicitly named as stochastic/process mining techniques. QA5: Empirically validated—f",2026-04-29T12:35:00.018112+00:00,claude-haiku-4-5-20251001
b5b3cb90,Software Process Analysis Methodology – A Methodology Based on Lessons Learned in Embracing Legacy Software,10.1109/ICSME.2018.00076,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,True,"QA1: Research objectives clearly stated—methodology for software process analysis using process mining on legacy systems. QA2: SE context explicitly described—industrial legacy software systems at ASML, a high-tech company. QA3: Data source identified—ASML case study with observations from system runtime logs. QA4: PM technique named—process mining is the core technique explicitly mentioned for analyzing software processes. QA5: Empirical validation—case study at ASML demonstrates real-world application with lessons learned. QA6: Validity discussion present—paper addresses the practical challe",2026-04-29T12:35:00.204641+00:00,claude-haiku-4-5-20251001
0ffa4684,Egidio: A non-invasive approach for synthesizing organizational models,10.1109/ICSE.2012.6227062,2012.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,False,"QA1: Research objectives are clearly stated—the abstract explicitly proposes Egidio to synthesize organizational models from non-invasively collected data. QA2: Software engineering context is described in detail (software company, development processes, developers' work). QA3: No specific data source is named (no GitHub, Jira, SVN, project names, or public datasets mentioned). QA4: No stochastic or PM technique is formally named (process mining is mentioned generally but no specific algorithm like alpha miner, inductive miner, or conformance checking is identified). QA5: Empirical validation ",2026-04-29T12:35:00.224739+00:00,claude-haiku-4-5-20251001
ffef36df,Using Constraint Mining to Analyze Software Development Processes,10.1109/ICSSP.2019.00021,2019.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,True,"QA1: Clear research objectives stated—extract process definitions as constraints from issue-tracking tools. QA2: SE context well-described—software development process management using Jira in issue-tracking context. QA3: Data source reproducibly described—four real-world projects from Jira issue-tracking tool in a company developing a recreational activities platform. QA4: PM technique formally named—constraint mining approach explicitly identified as the stochastic/mining technique applied. QA5: Empirically validated—case study with four real-world projects, domain expert evaluation, compari",2026-04-29T12:35:00.433016+00:00,claude-haiku-4-5-20251001
d5718074,Process Mining from Jira Issues at a Large Company,10.1109/ICSME58846.2023.00055,2023.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,True,"QA1: Clear research objective stated—understanding actual developer processes via Jira issues to identify deviations and improvements. QA2: Specific SE context described—maintenance workflows, developer interactions, version-control vs. issue-tracking practices in software teams. QA3: Data source reproducibly described—Jira issues and version-control repositories from a named large international company; 74 repositories across 24 developer teams specified. QA4: PM technique formally defined—process mining from Jira issues is named and described as complementary to version-control-based approac",2026-04-29T12:35:01.314518+00:00,claude-haiku-4-5-20251001
dca49e04,Business activity monitoring solution to detect deviations in business process execution,10.1109/SACI.2015.7208243,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,True,QA1: Research objective is clearly stated—detecting deviations in process execution via event log analysis. QA2: SE context is detailed—software development process in IT department of automotive company. QA3: Data source is named—event logs from software development process execution (real case study in automotive IT). QA4: PM technique is formally mentioned—'process mining techniques' for model extraction and deviation detection from event logs. QA5: Empirical validation present—case study on real software development process logs from automotive company. QA6: No discussion of limitations or,2026-04-29T12:35:02.889278+00:00,claude-haiku-4-5-20251001
852d4b6a,Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models Generated by Mining Event-Log Data in Issue Tracking Systems,10.1109/COMPSAC.2016.64,2016.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,True,"QA1: Research objectives clearly stated—improving goodness of process models through clustering event logs. QA2: SE context is detailed—Issue Tracking Systems (ITS) and bug lifecycle in Firefox project. QA3: Data source is reproducible—Firefox browser project ITS explicitly named. QA4: PM and stochastic techniques formally defined—process map discovery, K-Medoid clustering, LCS, DTW, and conformance/fitness concepts explicitly named. QA5: Empirical validation present—case study on Firefox ITS with real event-log data and analysis of clusters. QA6: Threats to validity discussed—mentions spaghet",2026-04-29T12:35:02.890834+00:00,claude-haiku-4-5-20251001
e1f3598f,Automatic Discovery of Behavioral Models From Software Execution Data,10.1109/TASE.2018.2844725,2018.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,True,"QA1: Clear research objective stated in abstract - discovering software behavioral models from execution data using process mining. QA2: Software engineering context clearly described - software execution data, method calls, runtime behavior analysis. QA3: Data sources reproducibly described - mentions two synthetic software event logs and one real-life software event log, though specific naming could be more explicit, but sufficient detail provided. QA4: PM technique formally defined - hierarchical Petri nets with components, extended process discovery techniques, method calling relation dete",2026-04-29T12:35:03.237519+00:00,claude-haiku-4-5-20251001
d0e040e1,Mining Handover Process in Open Source Development: An Exploratory Study,10.1109/APSEC.2017.44,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,True,"QA1: Abstract clearly states the research objective - automatically identify and mine handover processes in OSS development and identify factors influencing handover duration. QA2: SE context is well-described - open source software development, with specific focus on handover process which is a recognized SE concern. QA3: Data source is reproducible - GitHub repositories are named, with specific mention of 314 most popular projects and 44 projects analyzed. QA4: PM technique is formally defined - Heuristic mining algorithm is explicitly named as the technique used for process discovery. QA5: ",2026-04-29T12:35:04.132498+00:00,claude-haiku-4-5-20251001
a076177d,Understanding What Software Engineers Are Working on The Work-Item Prediction Challenge,10.1145/3387904.3389294,2020.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False,"QA1: The abstract clearly states the research objective - understanding what software engineers are working on through a 'work-item prediction challenge'. QA2: Software engineering context is described in detail, mentioning developers, incident responders, production engineers, and complex workflows in software-intensive organizations with tools, CI/CD-like infrastructure. QA3: No specific data source, repository name, or dataset is identified in the abstract. QA4: While the abstract mentions process mining, mining software repositories, program comprehension, and machine learning as relevant ",2026-04-29T12:35:04.363875+00:00,claude-haiku-4-5-20251001
