internal_id,title,doi,year,source_db,abstract,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,raw
6a2c2e16,Conformance Analysis on Software Development: An Experience with Process Mining,10.1504/ijbpim.2011.040203,2011,acm,,maybe,"O título é altamente relevante para a SLR (conformance analysis + process mining + software development) e alinha-se claramente com IC1. Porém, a ausência de abstract torna impossível confirmar escopo, metodologia, dataset e ausência de critérios de exclusão. Recomenda-se análise de texto completo antes de decisão final.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título é altamente relevante para a SLR (conformance analysis + process mining + software development) e alinha-se claramente com IC1. Porém, a ausência de abstract torna impossível confirmar escopo, metodologia, dataset e ausência de critérios de exclusão. Recomenda-se análise de texto completo antes de decisão final."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""full_text_required""],
"
cc857a18,A Portfolio Management Method for Process Mining-Enabled Business Process Improvement Projects,10.1007/s12599-024-00906-2,2024,acm,,maybe,"Título indica forte relevância a process mining e melhoria de processos (IC1 potencial), mas abstract ausente impede avaliação confiável de escopo específico (SW vs. BPM genérico) e aplicabilidade aos critérios PATHCAST. Sem resumo, não é possível confirmar se trata-se de processos de desenvolvimento de software ou BPM genérico.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título indica forte relevância a process mining e melhoria de processos (IC1 potencial), mas abstract ausente impede avaliação confiável de escopo específico (SW vs. BPM genérico) e aplicabilidade aos critérios PATHCAST. Sem resumo, não é possível confirmar se trata-se de processos de desenvolvimento de software ou BPM genérico."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""insufficient_abstract"",
    ""f"
8465a1d1,"Adoption, Use and Management of Process Mining in Practice",10.1108/bpmj-03-2020-0112,2020,acm,,maybe,"Título sugere relevância potencial a process mining (alinhado com PM genérico), mas abstract está ausente, impossibilitando confirmação de aplicação específica a processos de SW. Sem resumo, não é possível verificar se trata-se de survey sobre PM em geral (fora escopo) ou se inclui contexto de desenvolvimento de software.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere relevância potencial a process mining (alinhado com PM genérico), mas abstract está ausente, impossibilitando confirmação de aplicação específica a processos de SW. Sem resumo, não é possível verificar se trata-se de survey sobre PM em geral (fora escopo) ou se inclui contexto de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""insufficient_abstract"",
    ""full_tex"
472e7acc,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,10.1016/j.jjimei.2022.100141,2023,acm,,maybe,"Título sugere process mining em conformance (alinhado com IC1), mas abstract ausente impede confirmação de escopo em processos de SW vs. sistemas genéricos de gestão empresarial. Risco de EC1 (domínio fora de SW) ou EC2 (software como ferramenta, não processo).",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere process mining em conformance (alinhado com IC1), mas abstract ausente impede confirmação de escopo em processos de SW vs. sistemas genéricos de gestão empresarial. Risco de EC1 (domínio fora de SW) ou EC2 (software como ferramenta, não processo)."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_ta"
142aa8c7,"Process Mining: Software Comparison, Trends, and Challenges",10.1007/s41060-022-00379-0,2022,acm,,maybe,"O título sugere relevância potencial para process mining em software, mas sem abstract disponível não é possível confirmar se o artigo aborda a intersecção entre process mining, modelagem estocástica e forecasting em processos de SW ou se é apenas uma survey genérica de PM. Necessário acesso ao texto completo.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere relevância potencial para process mining em software, mas sem abstract disponível não é possível confirmar se o artigo aborda a intersecção entre process mining, modelagem estocástica e forecasting em processos de SW ou se é apenas uma survey genérica de PM. Necessário acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""insufficient_abstract"",
    ""full_text_required""
"
8ea46c1d,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,10.1002/smr.2162,2019,acm,,maybe,"O título sugere fortemente aplicação de process mining ao processo de correção de bugs em software (IC1), porém o abstract está ausente. Sem o resumo, não é possível confirmar escopo, metodologia ou se há exclusões aplicáveis. A relevância é alta baseada no título, mas a ausência de abstract impede decisão segura.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere fortemente aplicação de process mining ao processo de correção de bugs em software (IC1), porém o abstract está ausente. Sem o resumo, não é possível confirmar escopo, metodologia ou se há exclusões aplicáveis. A relevância é alta baseada no título, mas a ausência de abstract impede decisão segura."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""bug_fixing"", ""insufficient_ab"
12484962,Using Process Mining to Leverage the Development of a Family of Mobile Applications,10.15514/ispras-2023-35(3)-13,2023,acm,,maybe,"O título indica claramente aplicação de process mining a desenvolvimento de software (família de aplicações móveis), atendendo potencialmente IC1. Porém, sem abstract disponível, não é possível confirmar o escopo, métodos e contribuições específicas. A fonte bibliográfica é verificável (ACM), mas a ausência de resumo impede avaliação confiável de exclusões ou detalhes metodológicos.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título indica claramente aplicação de process mining a desenvolvimento de software (família de aplicações móveis), atendendo potencialmente IC1. Porém, sem abstract disponível, não é possível confirmar o escopo, métodos e contribuições específicas. A fonte bibliográfica é verificável (ACM), mas a ausência de resumo impede avaliação confiável de exclusões ou detalhes metodológicos."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"":"
baf4e59e,Towards causal relation detection between activities in a software development scenario,,2011,ieee,"On the Web, an increasing amount of information related to specific activities is scattered over various heterogeneous sources. In the domain of software development projects, where workflows are accompanied by different tools, it is becoming increasingly difficult to get an overview of the current situation, as decision and development processes are usually distributed among multiple sources. In this paper we present an approach for detecting causal relations between pieces of information scattered over different, heterogeneous sources.",maybe,"O título sugere relevância para process mining em SW (detecção de relações causais entre atividades), mas o abstract é vago e não especifica metodologia, dados ou aplicação concreta. A origem do abstract é 'missing_or_unverified', impedindo avaliação confiável. O venue (Crimean Conference on Microwave & Telecommunication Technology) não é tipicamente associado a process mining ou engenharia de sof",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere relevância para process mining em SW (detecção de relações causais entre atividades), mas o abstract é vago e não especifica metodologia, dados ou aplicação concreta. A origem do abstract é 'missing_or_unverified', impedindo avaliação confiável. O venue (Crimean Conference on Microwave & Telecommunication Technology) não é tipicamente associado a process mining ou engenharia de software, levantando dúvidas sobre o escopo real do tr"
89b8750e,Discovering models of parallel workflow processes from incomplete event logs,,2015,ieee,"α-algorithm is able to discover a large class of workflow (WF) nets based on the behavior recorded in event logs, with the main limiting assumption that the event log is complete. Our research has been aimed at finding ways of business process models discovering based on examples of traces, i.e., logs of workflow actions that do not meet the requirement of completeness. In this aim, we have modified the existing and introduced a new relation between activities recorded in the event log, which has led to a partial correction of the process models discovering techniques, including the α-algorithm. We have also introduced the notions of causally and weakly complete logs, from which our modified algorithm can produce the same result as the original algorithm from complete logs. The effect of these modifications on the speed of the process model discovering is mostly evident for business processes in which many activities can be performed in parallel. Therefore, this paper presents preliminary results obtained from the investigation of opportunities to discover models of parallel processes based on incomplete event logs.",include,"O paper trata de process mining (descoberta de modelos a partir de event logs usando α-algorithm modificado), aplicado explicitamente a processos de workflow. Atende IC1 (process mining aplicado a artefatos de processo, mesmo que genéricos) e potencialmente IC4 (mineração para descobrir modelos de processo).",IC1,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper trata de process mining (descoberta de modelos a partir de event logs usando α-algorithm modificado), aplicado explicitamente a processos de workflow. Atende IC1 (process mining aplicado a artefatos de processo, mesmo que genéricos) e potencialmente IC4 (mineração para descobrir modelos de processo)."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""workflow_mining""],
  ""software_context"":"
d5718074,Process Mining from Jira Issues at a Large Company,10.1109/ICSME58846.2023.00055,2023,ieee,"Maintaining a software system is a continuous and complex process, typically following a workflow defined by the responsible organization. However, in practice, developers often deviate from the defined process due to personal preferences, varying customer requirements, or urgent deadlines. Such deviations may cause problems later on, or they may indicate potential process improvements. To deal with deviations and improve processes, it is first necessary to fully understand the processes actually employed by developers. For this purpose, process-mining techniques have been proposed that primarily build on version-control data. In this paper, we present a complementary process-mining technique that uses Jira issues to recover process activities not visible in version-control data, particularly focusing on developers’ interactions with issues and each other. We conducted a case study with 74 repositories of 24 developer teams from one large international company to understand the technique’s merits. Our technique revealed process differences across teams and depending on the types of Jira issues, providing novel insights for the company that helped to better understand the employed processes.",include,"O paper aplica process mining a Jira issues em repositórios de software (IC1, IC4). Usa técnicas de descoberta de processo em artefatos de SE (issues, repositórios) para entender workflows reais de desenvolvimento, atendendo claramente aos critérios de inclusão sem violar exclusões.",IC1|IC4,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper aplica process mining a Jira issues em repositórios de software (IC1, IC4). Usa técnicas de descoberta de processo em artefatos de SE (issues, repositórios) para entender workflows reais de desenvolvimento, atendendo claramente aos critérios de inclusão sem violar exclusões."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""software_process"",
    ""repository_mining"",
    ""issue_tracking"
