internal_id,title,doi,source_db,year,abstract_source,abstract_match_type,ta_decision_original,ta_rationale_original,ta_decision_rescreened,ta_rationale_rescreened,ta_matched_ic_rescreened,ta_matched_ec_rescreened,ta_confidence_rescreened,ta_evidence_status_rescreened,ta_screened_at_rescreened,ta_batch_id_rescreened,changed,transition
427c9682,Design of enhanced software protection architecture by using theory of inventive problem solving,10.1109/IEEM.2009.5373528,scopus,2009,openalex,doi_exact,exclude,"O título indica foco em arquitetura de proteção de software usando TRIZ (teoria de resolução inventiva de problemas), que é uma metodologia de engenharia/design. Sem resumo disponível, mas o escopo parece ser proteção/segurança de software (ferramenta), não análise de processos de desenvolvimento de SW. Não há evidência de process mining, modelagem estocástica, forecasting de processos ou mineração de repositórios.",exclude,"O paper trata de proteção de software (segurança e backup) usando modelos de fila estocásticos e TRIZ, não abordando process mining, modelagem estocástica de processos de desenvolvimento de SW, forecasting de métricas de processo, ou mineração de repositórios. O 'software' aqui é o sistema sendo protegido, não o processo de desenvolvimento sendo analisado (EC2).",,EC2,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
6f3c962b,Formal simulation and analysis of the CASH scheduling algorithm in Real-Time Maude,10.1007/11693017_26,scopus,2006,core,title_exact,exclude,"O artigo trata de simulação formal e análise de um algoritmo de scheduling (CASH) em Real-Time Maude, focando em sistemas de tempo real. Não há evidência de conexão com processos de desenvolvimento de software, event logs, modelagem estocástica de processos de SW ou forecasting de métricas de processo. Scheduling em sistemas de tempo real é um domínio distinto de process mining em SE.",exclude,"O paper trata de análise formal e simulação de um algoritmo de escalonamento em tempo real (CASH) usando Real-Time Maude, não de mineração de processos de software ou modelagem de processos de desenvolvimento de SW. O domínio é sistemas embarcados/tempo real, não engenharia de software.",,EC1|EC3,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
371daefd,An adaptive fitness function based on branch hardness for search based testing,10.1145/3071178.3071184,scopus,2017,openalex,doi_exact,exclude,"O artigo trata de search-based testing com funções de fitness para cobertura de branches, que é um tópico de teste de software, não de process mining, modelagem estocástica de processos, forecasting de processos de SW, ou mineração de repositórios para descoberta/análise de processos. Não há evidência no título de abordagem a event logs, workflow mining, ou predição de características de processos de desenvolvimento.",exclude,"O artigo trata de teste de software baseado em busca (SBST) com fitness adaptativa usando Markov chains para modelar dificuldade de branches. Embora use modelagem estocástica (Markov), não atende aos critérios de inclusão: não aplica process mining a artefatos de SW (IC1), não modela processos de desenvolvimento de SW mas sim geração de dados de teste (IC2), não faz forecasting de métricas de processo de SW (IC3), e não minera repositórios para descobrir processos de desenvolvimento (IC4). O foc",,EC3,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
6046cd52,Statistical debugging with elastic predicates,10.1109/ASE.2011.6100107,scopus,2011,openalex,doi_exact,exclude,"O título refere-se a debugging estatístico, uma técnica de análise de falhas em código. Sem resumo disponível, não há evidência de que o trabalho aplique process mining, modelagem estocástica de processos de SW ou forecasting de métricas de processo. A abordagem parece focar em diagnóstico de bugs em artefatos de código, não na análise ou predição de processos de desenvolvimento.",exclude,"O artigo trata de depuração estatística e localização de falhas em programas com cálculos de ponto flutuante, não abordando process mining, modelagem estocástica de processos de SW, forecasting de métricas de processo ou mineração de repositórios. EC2 aplica-se: 'software' é a implementação sendo debugada, não o processo de desenvolvimento sendo estudado.",,EC2,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
1486bfd6,P-Lingua 2.0: A software framework for cell-like P systems,10.15837/ijccc.2009.3.2431,scopus,2009,semanticscholar,doi_exact,exclude,"O paper trata de P-Lingua, um framework para P systems (sistemas de membranas), que é um modelo computacional teórico. Não há evidência de aplicação a processos de desenvolvimento de software, process mining, modelagem estocástica de processos de SW ou forecasting em contexto de engenharia de software. O domínio é computação teórica, não engenharia de software.",exclude,"P-Lingua é uma linguagem de programação para membrane computing (computação com membranas), domínio não relacionado a processos de desenvolvimento de software. Embora mencione 'stochastic model', o foco é em simulação de sistemas biológicos/ecossistemas, não em process mining ou modelagem de processos de SW.",,EC1|EC2,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
3a60e616,Mining behavior models from user-intensive web applications,10.1145/2568225.2568234,scopus,2014,openalex,doi_exact,maybe,"Título sugere mineração de modelos de comportamento em aplicações web, potencialmente relevante para descoberta de processos (IC1), mas sem resumo não é possível confirmar se o foco é em processos de desenvolvimento de SW ou em comportamento de usuários em aplicações web (EC2 - SW como ferramenta, não processo sendo estudado).",maybe,"O paper infere modelos probabilísticos Markov de comportamentos de usuários a partir de logs de interação em aplicações Web. Embora use modelagem estocástica e event logs (alinhado com IC2), o foco é em padrões de navegação de usuários, não em processos de desenvolvimento de software. A relevância para processos de SW é ambígua e requer análise de texto completo.",IC2,EC1,low,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,maybe→maybe
5a535af8,Study on waterway freight volume forecast based on grey Markov,10.1109/ICSESS.2012.6269419,scopus,2012,openalex,doi_exact,exclude,"O título refere-se a previsão de volume de carga em vias fluviais (domínio de logística/transportes), não a processos de software. Apesar de mencionar 'Markov' (relevante para IC2) e estar em conferência de SE, o contexto claramente não trata de processos de desenvolvimento de SW.",exclude,"O artigo trata de previsão de volume de carga em transporte fluvial (hidrovia), não de processos de engenharia de software. Apesar de usar Markov e forecasting, o domínio é logística/transporte, não desenvolvimento de software (EC1).",,EC1,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
0e70ed57,Reliability Modeling Using UML,,scopus,2003,semanticscholar,title_fuzzy,exclude,"O título indica foco em modelagem de confiabilidade de software (reliability modeling) usando UML, não em process mining, modelagem estocástica de processos de desenvolvimento de SW, forecasting de métricas de processo ou mineração de repositórios. Sem resumo disponível, não há evidência de que o trabalho aborda a intersecção entre process mining e processos de SW exigida pelo escopo.",exclude,"O artigo trata de modelagem de confiabilidade (reliability) de produtos mecatrônicos usando UML/SysML, não de processos de desenvolvimento de software. Aplica-se EC1 (domínio fora de SW): o foco é engenharia de sistemas mecatrônicos e avaliação de confiabilidade de produtos, não análise ou previsão de processos de SW. Não há evidência de process mining, event logs de software, ou modelagem estocástica de processos de desenvolvimento.",,EC1,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
2b9179b4,Chlorine decay modelling in water distribution system case study: CEERI network,10.1007/978-981-10-8657-1_33,scopus,2018,semanticscholar,doi_exact,exclude,"O paper trata de modelagem de decaimento de cloro em sistemas de distribuição de água, um domínio de engenharia ambiental/civil completamente fora do escopo de processos de software. Não há conexão com process mining, modelagem estocástica de processos de SW, forecasting em desenvolvimento de software ou mineração de repositórios de software.",exclude,"O paper trata de modelagem de decay de cloro em sistemas de distribuição de água usando simulação Monte Carlo e detecção de contaminação. EC1 se aplica claramente: o domínio é infraestrutura de água/utilidades públicas, não processos de software. Nenhum dos critérios de inclusão (IC1-IC4) é atendido, pois não há process mining, modelagem estocástica de processos de SW, forecasting de métricas de processo de desenvolvimento, ou mineração de repositórios de software.",,EC1,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,False,exclude→exclude
129a5c15,Web Service Reliability Test Method Based on Log Analysis,10.1109/QRS-C.2017.38,scopus,2017,openalex,doi_exact,maybe,"Título sugere análise de logs (potencialmente IC1), mas ausência de abstract impede avaliação clara do escopo. Pode abordar web services como ferramenta (EC2) em vez de processo de SW, ou pode ser aplicação legítima de log analysis a processos de desenvolvimento. Informação insuficiente para decisão definitiva.",exclude,"O paper aplica Markov chain para modelar confiabilidade de web services, mas foca em teste de software e avaliação de MTBF (Mean Time Between Failures) como métrica de confiabilidade, não em descoberta, modelagem ou previsão de características de processos de desenvolvimento de software. O 'log' mencionado refere-se a logs de execução/falhas do serviço, não event logs de processos de SW (commits, issues, CI/CD). Não se alinha com nenhum IC de forma substancial.",,EC1,high,verified_abstract,2026-07-09T10:25:37.221162+00:00,msgbatch_01AQqu9FZ2tfPZnwcQKRSTQq,True,maybe→exclude
