internal_id,title,doi,year,QA1,QA2,QA3,QA4,QA5,QA6,QA7,QA8,qa_total,qa_include,qa_rationale,qa_scored_at,qa_model,origin
f7a54d4c,Architecting software monitors for control-flow anomaly detection through large language models and conformance checking,10.1016/j.infsof.2026.108133,2026.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,True,"Clear research objectives on control-flow anomaly detection via LLMs and conformance checking. SE context specified (software monitoring, source-code instrumentation). Data source identified (ERTMS/ETCS case study). PM technique formally named (conformance checking). Empirical validation through case study with metrics (F1-score 95.957%, AUC 93.669%). Limitations acknowledged regarding domain knowledge and coverage. No explicit mention of data/code availability. Quality metrics reported (F1-score, AUC, coverage %).",2026-04-28T14:58:53.548568+00:00,claude-haiku-4-5-20251001,working_set
9ea592cd,“Bottleneck Analysis in Software Development: A Case Study Using Process Mining”,10.1007/978-3-032-03708-4_22,2026.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,True,"Clear research objective on bottleneck analysis in SW development using process mining (QA1). SW context explicitly mentioned (IDEs, task management systems, development process) (QA2). Process mining techniques identified (discovery, conformance checking, predictive modeling) with simulation as stochastic method (QA4). Case study empirically evaluates approach (QA5). However, no specific data source origin named despite reference to event logs (QA3). No threats to validity, reproducibility details, or quality metrics mentioned (QA6, QA7, QA8).",2026-04-28T14:58:53.612556+00:00,claude-haiku-4-5-20251001,working_set
2c1f1193,Continuous software monitoring backed by process mining: a systematic literature review,10.1007/s41060-025-01000-w,2026.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,True,"This is a systematic literature review (SLR) with clear research objectives on process mining for continuous software monitoring. It describes SE context (CI/CD, runtime monitoring) and data sources (event logs from software execution). Process mining is the core technique examined, but as a review paper, it lacks primary empirical validation, validity discussion, reproducible data/code, and reported quality metrics on its own studies.",2026-04-28T14:58:53.705685+00:00,claude-haiku-4-5-20251001,working_set
7434525f,Comparative Analysis of AI Software and Traditional Software GitHub Repositories Using Process Mining,10.15439/2025F3421,2025.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,True,"Study clearly states research objectives (comparative analysis of AI vs. traditional repos), describes SE context (GitHub repositories, issues, pull requests), and names data source (eight prominent GitHub projects). However, no specific process mining algorithm is formally named, no quality metrics are reported, threats to validity are not discussed, and no data/code availability is mentioned.",2026-04-28T15:00:54.645671+00:00,claude-haiku-4-5-20251001,working_set
6ff2b7f2,Probabilistic Model Checking GitHub Repositories for Software Project Analysis,10.3390/app14031260,2024.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,True,"The abstract clearly states research objectives (uncovering temporal dynamics and project behavior via probabilistic model checking). SE context is explicitly GitHub repository analysis with branch management and contributor behavior. Data source is named: GitHub repositories (5 analyzed). Stochastic techniques are formally specified: Discrete-Time Markov Chains and Probabilistic CTL. Empirical validation is present (application to five repositories). However, no threats to validity or limitations are discussed, no data/code availability is mentioned, and no quantitative quality metrics (fitne",2026-04-28T15:00:54.957233+00:00,claude-haiku-4-5-20251001,working_set
bf72ff27,Mining and Assessing Issue Resolution Processes in Open Source Software Repositories,10.1109/CSCWD64889.2025.11033176,2025.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,True,"Study clearly states research objectives (understanding issue resolution processes and their efficiency). SE context is well-defined (OSS development, GitHub repositories, issue handling). Data source is reproducible (GitHub OSS projects, issue event logs). PM techniques are formally named (Direct Follow Graphs, DFG-based entropy calculation, KMeans++ clustering). Empirical validation is present (real-world OSS projects analysis with relationship findings). Limitations and process organization factors are discussed. Quality metrics reported include entropy, issue lifetime, and event transition",2026-04-28T15:00:55.022464+00:00,claude-haiku-4-5-20251001,working_set
03b0c494,Stochastic conformance checking based on variable-length Markov chains,10.1016/j.is.2025.102561,2025.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,True,"Clear research objective (stochastic conformance checking via VLMCs); software context explicitly stated (process mining, software performance engineering); data source named (11 benchmark datasets from PM community); stochastic technique formally defined (Variable-length Markov Chains with uEMSC conformance measure); empirical evaluation on 11 datasets with comparison to 18 SCC techniques; limitations discussed (efficiency, dataset scope); quality metrics reported (uEMSC values, processing times); reproducibility/code availability not mentioned.",2026-04-28T15:00:55.103880+00:00,claude-haiku-4-5-20251001,working_set
69029db6,Process mining for agile software process assessment and improvement,10.1016/j.infsof.2025.107680,2025.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,True,"Study applies process mining (discovery algorithms, procedural flow analysis, declarative techniques) to agile software development artifacts with event logs from 3,418 projects; research objective and software context are clearly implicit in the title and prior screening notes. While the data source (event logs) and technique (process mining) are identified, no specific quality metrics (fitness, precision, etc.) are explicitly mentioned in available text, and threats to validity and reproducibility statements are not evident.",2026-04-28T15:00:55.151048+00:00,claude-haiku-4-5-20251001,working_set
e3d6d00e,Towards Streamlining Auditing for Compliance with Requirements in Open-Source Software at NASA,10.1109/DASC66011.2025.11257352,2025.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,True,"Study clearly states research aim (streamlining audits via repository mining), describes SE context (NASA critical software development, version control/issue tracking/CI/CD), identifies data sources (GitHub Copilot project and Kaiaulu tool repositories), formally defines PM technique (Kaiaulu repository mining tool), includes empirical case study validation on real NASA project, discusses compliance metrics and their impact, provides both project and tool GitHub repositories for reproducibility, and reports process compliance metrics as evaluation measures.",2026-04-28T15:00:55.166785+00:00,claude-haiku-4-5-20251001,working_set
63bfddbd,Multi-Dimensional Process Analysis of Software Development Projects,10.5220/0012372100003645,2024.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,True,"Clear research objective on multi-dimensional process analysis of software development (QA1). Software engineering context explicitly stated: GitHub repositories and software development projects (QA2). Data source reproducibly described: GitHub open-source repositories (QA3). No specific PM or stochastic technique formally named (QA4). Empirical evaluation conducted on real data from GitHub (QA5). No discussion of threats to validity or limitations evident (QA6). No mention of data/code availability or reproducibility package (QA7). No process model quality metrics (fitness, precision, recall",2026-04-28T15:00:55.513908+00:00,claude-haiku-4-5-20251001,working_set
