internal_id,nome_do_artigo,doi,ano,venue,fonte,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,tem_pdf_local,abstract,resultados,relevancia_para_slr,metodo,tipo_de_evidencia,ameacas_limitacoes,contexto,fonte_dos_dados,tecnica_principal,rq_atendida,ic_ec_acionados,fase_do_sdlc,nivel_de_integracao,prioridade_de_leitura,QA1,QA2,QA3,QA4,QA5,QA6,QA7,QA8,qa_total,qa_include,qa_status,qa_notes
87bce30b,Automating Process Discovery through Event-Data Analysis,10.1145/225014.225021,1995.0,1995 17th International Conference on Software Engineering,ieee,include,"O artigo descreve explicitamente técnicas de process discovery usando event data de processos de software em andamento, incluindo modelagem de Markov e inferência de gramática. Atende claramente IC1 (process mining aplicado a processos de SW) e IC2 (modelagem estocástica via Markov models para processos de SW). Nenhum critério de exclusão se aplica.",IC1|IC2,,True,"Many software process methods and tools presuppose the existence of a formal model of a process. Unfortunately, developing a formal model for an on-going, complex process can be dificult, costly, and error prone. This presents a practical barrier to the adoption of process technologies. The barrier would be lowered by automatmg the creation of formal models. We are currently exploring techniques that can use basic event data captured from an on-going process to generate a formal model of process behavior. We term this kind of data analysis process discovery. Thts paper descrbes and illustrates three methods with whzch we have been experimenting: algorithmic grammar inference, Markov models, and neural networks.","supporting automation 20, [9], improving In aspects on discovering models rather on Many of [4, 27, 12, ships covering the [3, 19], and existence of some for technologies in order those sort in The need to develop a formal is a daunting prospect projects. with an evaluation of their relative Finally, we conclude in Section 5 with results work, 73 next engineer’s ourselves of behavioral purely collection to uncover greater detail of the process. they results a relationor on dis automated, the efof of the agents models the To our of the process comes meet. data the process come those scope process, The strategy is to in barriers for from whether and be devised data entry form inherent of course, improvement this or unknown, or erratic) on the methods term because can lower of a process We known stable to exploring model process.",Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Cadeia de markov, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Avaliação experimental.,Dependência de modelagem e premissas do autor.,Contexto de processo de software não identificado com clareza na extração automática.,Fonte dos dados não identificada com clareza na extração automática.,Mineração de processos.,"RQ1, RQ2","IC4a, IC4b",Não definido,L2,Alta,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,False,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Abstract clearly states the research objective (automating process discovery from event data), and explicitly names stochastic techniques (Markov models, algorithmic grammar inference, neural networks). However, no specific SE context is described, no concrete data source is identified, no empirical validation is mentioned, and no quality metrics are reported."
df3ad75a,A Systematic Approach to Process Enactment Analysis as Input to Software Process Improvement or Tailoring,10.1109/APSEC.2006.14,2006.0,2006 13th Asia Pacific Software Engineering Conference (APSEC'06),ieee,include,O paper apresenta um método sistemático de mineração de dados de enactment de projetos de software para recuperar modelos de processo reais e compará-los com processos predefinidos. Atende claramente IC1 (process mining aplicado a artefatos e dados de software para descoberta de processo) e IC4 (mineração de dados de projeto para descobrir e melhorar modelos de processo de desenvolvimento). Nenhum critério de exclusão se aplica.,IC1|IC4,,True,Software process improvement has been a focus of industry for many years. To assist the procedure and implementation of process improvement we provide a software process recovery method based on mining project enactment data. The goal of the method is to uncover the actual process used in order to provide input to improve the quality of a defined software process. The recovered model (or patterns) is at the same level of abstraction as the predefined process model. This provides an easy and clear way to identify the gap between the planned process model and the real enactment. We investigate the enactment of a defined software process from the view of understanding the appropriateness and fitness for purpose of the process model from the viewpoint of the project managers in the context of a small software development organization. We collected data from organizations and applied our method to a pilot case study. The main contribution of our work is to provide a software process model recovery method which supports software process change and improvement.,Software process improvement has been a focus of industry for many years. To assist the procedure and implementation of process improvement we provide a software process recovery method based on mining project enactment data. The goal of the method is to uncover the actual process used in order to provide input to improve the quality of a defined software process.,"Média: relação indireta com a SLR, mais útil como contexto, método adjacente ou estudo complementar.","Apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor.,Qualidade e testes.,Logs de ide.,IA/NLP/aprendizado de máquina.,RQ1,EC3?,Qualidade/Testes,L0,Média,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,False,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): QA1: Clear research objective stated (process recovery method for process improvement). QA2: SE context described (software development organization, project enactment). QA3: Data source not reproducibly specified (only 'organizations' mentioned, no dataset name/details). QA4: No formal PM technique named (mining mentioned but not specific algorithm like alpha miner). QA5: Empirical validation present (pilot case study conducted). QA6: No threats to validity or limitations discussed. QA7: No mention of dataset availability or code release. QA8: No process model quality metrics reported (fitnes"
917f238d,Applicability of Process Discovery Algorithms for Software Organizations,10.1109/SEAA.2009.87,2009.0,2009 35th Euromicro Conference on Software Engineering and Advanced Applications,ieee,include,"O paper apresenta um case study aplicando explicitamente algoritmos de process discovery e process mining para modelar processos de desenvolvimento de software em organizações, comparando modelos descobertos com processos reais. Atende claramente IC1 (Process Mining em Software: aplica process mining/process discovery a processos de SW) sem evidência de EC decisivos. A aplicação é direta a artefatos/processos de engenharia de software, não a outro domínio.",IC1,,True,"Process modeling is one of the most significant tasks software process improvement teams perform. Conventionally modeling is performed by teams composed of domain experts and process engineers and it takes considerable effort and time. In recent years there have been studies which use the data extracted from the actual events that took place to determine process models. In this paper we present the results of a case study we conducted to determine the effectiveness of four process discovery and process mining algorithms. After applying process discovery algorithms we compare the results by the actual process and process definitions. We discuss the discrepancies between the actual flow and the process definitions, and the weaknesses and strong aspects of the algorithms.",Process modeling is one of the most significant tasks software process improvement teams perform. In this paper we present the results of a case study we conducted to determine the effectiveness of four process discovery and process mining algorithms. After applying process discovery algorithms we compare the results by the actual process and process definitions.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor.,Contexto de processo de software não identificado com clareza na extração automática.,Logs de ide.,Mineração de processos.,"RQ1, RQ2",IC4a,Não definido,L1,Alta,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Research objective is clear (effectiveness of process discovery algorithms in software organizations). Software engineering context is stated (process modeling for software process improvement teams). Four process discovery/mining algorithms are formally mentioned. A case study provides empirical validation, and discrepancies/weaknesses are discussed as validity concerns. However, specific data source is not named, no quality metrics (fitness, precision, etc.) are reported, and reproducibility/data availability is not mentioned."
a222ef2c,Foundations for Event-Based Process Analysis in Heterogeneous Software Engineering Environments,10.1109/SEAA.2010.52,2010.0,2010 36th EUROMICRO Conference on Software Engineering and Advanced Applications,ieee,include,"O paper apresenta uma abordagem explícita para análise de processos baseada em eventos (event-based process analysis) aplicada a processos de engenharia de software, integrando dados de múltiplas ferramentas de desenvolvimento. Atende claramente IC1 (análise de event logs de processos de SW para monitoramento e melhoria) e IC4 (mineração de dados de repositórios/ferramentas de engenharia para descobrir e comparar modelos de processo). Não há evidência de EC aplicáveis.",IC1|IC4,,True,"For monitoring, controlling, and improving software development projects, project and quality managers need tool support to analyze engineering processes within development environments. Unfortunately, technical and semantic gaps between the engineering tools and related data models make it hard to observe and analyze the implemented tool-based engineering processes. In this paper we build on a service-oriented platform for technically and semantically integrating heterogeneous engineering tools and propose an approach to monitor, analyze, and improve tool-based engineering processes. We empirically evaluate the approach using the “continuous integration and test” process and discuss strengths and limitations. Major result was that the approach enabled comparing expected and real-life engineering processes with respect to process structure, performance of individual process steps, and risk of bottlenecks.","For monitoring, controlling, and improving software development projects, project and quality managers need tool support to analyze engineering processes within development environments. In this paper we build on a service-oriented platform for technically and semantically integrating heterogeneous engineering tools and propose an approach to monitor, analyze, and improve tool-based engineering processes. Major result was that the approach enabled comparing expected and real-life engineering processes with respect to process structure, performance of individual process steps, and risk of bottlenecks.","Média: relação indireta com a SLR, mais útil como contexto, método adjacente ou estudo complementar.",Proposta de framework/modelo.,Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,"Qualidade e testes, entrega e devops.",Pipeline ci/cd.,Técnica principal não identificada automaticamente.,RQ3,IC4c,"Qualidade/Testes, Entrega/DevOps",L0,Média,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Study clearly states research objectives for event-based process analysis in SE (QA1). SE context is detailed: continuous integration and testing processes in development environments (QA2). Data source is described as heterogeneous engineering tools integrated via service-oriented platform (QA3). No specific PM/stochastic technique is formally named (QA4=0). Empirical evaluation is conducted using CI/test process case study (QA5). Limitations and strengths are discussed (QA6). Data/code availability not mentioned (QA7=0). Process quality metrics reported: process structure comparison, perform"
c113bf1b,Software Process Recovery: Recovering Process from Artifacts,10.1109/WCRE.2010.46,2010.0,2010 17th Working Conference on Reverse Engineering,ieee,include,"O artigo aborda diretamente a recuperação de processos de desenvolvimento de software a partir de artefatos (VCS, bug trackers, mailing lists) usando técnicas de análise e machine learning. Atende claramente IC1 (process mining em software — análise de artefatos para descoberta de processo) e IC4 (mineração de repositórios para descobrir modelos de processo de SW). Nenhum critério de exclusão se aplica.",IC1|IC4,,True,"Often stakeholders, such as developers, managers, or buyers, want to find out what software development processes are being followed within a software project. Their reasons include: CMM and ISO 9000 compliance, process validation, management, acquisitions, and business intelligence. Recovering the software development processes from an existing project is expensive if one must rely upon manual inspection of artifacts and interviews of developers and their managers. Researchers have suggested live observation and instrumentation of a project to allow for more measurement, but this is costly, invasive, and also requires a live running project. Instead, we propose an after the fact analysis: software process recovery. This approach analyzes version control systems, bug trackers and mailing list archives using a variety of supervised and unsupervised techniques from machine learning, topic analysis, natural language processing and statistics. We can combine all of these methods to recover process events that we map back to software development processes like the Unified Process. We can produce diagrams called Recovered Unified Process Views (RUPV) that are similar to the Unified Process diagram, a time-line of effort per parallel discipline occurring across time. We then validate these methods using case studies of multiple open source software systems.","Often stakeholders, such as developers, managers, or buyers, want to find out what software development processes are being followed within a software project.","Média: relação indireta com a SLR, mais útil como contexto, método adjacente ou estudo complementar.","Apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Forte dependência da qualidade e cobertura dos logs/dados.,"Qualidade e testes, contexto aplicado específico.",Repositório/vcs.,IA/NLP/aprendizado de máquina.,RQ1,IC4d,"Desenvolvimento, Qualidade/Testes",L0,Média,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Clear research objective stated (process recovery from artifacts). SE context well-described (version control, bug trackers, mailing lists). Data sources explicitly named (VCS, bug trackers, mailing lists from open source projects). However, no formal PM technique (alpha miner, inductive miner, etc.) is specified; ML/NLP/statistics are mentioned generically. No validity threats discussed. No metrics (fitness, precision, etc.) or reproducibility/code availability mentioned."
c517c93f,Process Mining Software Repositories,10.1109/CSMR.2011.5,2011.0,2011 15th European Conference on Software Maintenance and Reengineering,ieee,include,"O artigo aplica process mining técnicas (descoberta de processos) diretamente a repositórios de software (VCS, bug trackers, mail archives) para analisar processos de desenvolvimento de software, implementando a abordagem em FRASR. Atende claramente IC1 (process mining em software com event logs de repositórios) e IC4 (mineração de repositórios para descoberta de modelos de processo). Nenhum critério de exclusão se aplica.",IC1|IC4,,True,"Software developers’ activities are in general recorded in software repositories such as version control systems, bug trackers and mail archives. While abundant information is usually present in such repositories, successful information extraction is often challenged by the necessity to simultaneously analyze different repositories and to combine the information obtained. We propose to apply process mining techniques, originally developed for business process analysis, to address this challenge. However, in order for process mining to become applicable, different software repositories should be combined, and “related” software development events should be matched: e.g., mails sent about a file, modifications of the file and bug reports that can be traced back to it. The combination and matching of events has been implemented in FRASR (FRamework for Analyzing Software Repositories), augmenting the process mining framework ProM.","If the publication is distributed under the terms of Article 25fa of the Dutch Copyright Act, indicated by the “Taverne” license above, please follow below link for the End User Agreement: www.tue.nl/taverne Take down policy If you believe that this document breaches copyright please contact us at: openaccess@tue.nl providing details and we will investigate your claim. Once the preprocessing step has been completed, the resulting log can be analyzed using existing process mining application, such as ProM [7]. The detailed event binding allows one to indicate for each level whether to use the corresponding information to extract the events. In Figure 2, abstract classes (typeset in italics) indicate extension points: FRASR can be extended to add new cases, event bindings, data sources and export types.",Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor; forte dependência da qualidade e cobertura dos logs/dados.,Qualidade e testes.,Repositório/vcs.,Mineração de processos.,"RQ2, RQ3","IC4a, IC4d","Desenvolvimento, Qualidade/Testes",L1,Alta,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Study clearly states research objective of applying process mining to software repositories. SE context is detailed (VCS, bug trackers, mail archives, development process analysis). Data sources are described (multiple software repositories). Process mining technique is formally identified (discovery, ProM framework, FRASR tool). Empirical validation through case studies is mentioned. However, no threats to validity are discussed, reproducibility/data availability is not stated, and no quality metrics (fitness, precision, recall, etc.) are reported."
c7682ec2,Software process discovery using link analysis,10.1109/ICCSN.2011.6014218,2011.0,2011 IEEE 3rd International Conference on Communication Software and Networks,ieee,include,"O paper aplica process discovery (descoberta de processos) a repositórios de software (FreeBSD), mapeando artefatos para atividades de processo e analisando o fluxo de controle do desenvolvimento. Atende claramente IC1 (process mining aplicado a artefatos de SW) e IC4 (mineração de repositórios para descobrir modelos de processo de SW). Nenhum critério de exclusão se aplica.",IC1|IC4,,True,"Data mining is an exhausting yet very useful task. It can help programmers understand the nature of development process and reveal potential problems during the process. Thus more reliable software can be created. As open source software development communities thrive, many software repositories with useful information about the development process become publicly available, enabling us to do research. In this paper, the author explores an approach based on mapping the artifacts to the process activity of FreeBSD repository to study the control-flow of the development process.","Additionally, they present both a language and a tool to enable the framework to ensure reliable and predictable result when of relation of two events A and B. Mining software repository (MSR) community has done tremendous work [2-4] to help manage and improve the progress of software projects through mining the information provided integrates the functionality of several existing tools and provides many additional process mining plug-ins. Then the experiment alone with its result is presented (section4). activity would result in specific artifacts.",Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Avaliação experimental.,Dependência de modelagem e premissas do autor.,"Desenvolvimento/codificação, contexto aplicado específico.","Repositório/vcs, logs de ide.",Mineração de processos.,"RQ1, RQ2, RQ3","IC4a, IC4d",Desenvolvimento,L1,Alta,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Research objective is clearly stated (explore process discovery via link analysis on FreeBSD repository). SE context (open source development, repository mining) and data source (FreeBSD repository) are identified. However, no specific PM technique is formally named, no quality metrics are reported, reproducibility and validity threats are not discussed."
d098c91d,Using process mining in software development process management: A case study,10.1109/ICSMC.2011.6083858,2011.0,"2011 IEEE International Conference on Systems, Man, and Cybernetics",ieee,include,"O paper aplica process mining (conformance checking) diretamente a processos de desenvolvimento de software com avaliação prática em event logs reais de 5 anos de uma organização de SW, confirmando claramente IC1. Nenhum critério de exclusão se aplica — o domínio é SW, a aplicação não é meramente ferramental, e há avaliação concreta.",IC1,,False,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Clear research objective (applying process mining for conformance checking in SW development); specific SE context (software development process management); reproducible data source (Brazilian software house, 5 years of event logs, 2,000+ cases); formal technique named (process mining, conformance checking). Empirical evaluation on real event logs demonstrated. No threats to validity or quality metrics (fitness, precision, etc.) explicitly discussed; reproducibility resources not mentioned."
e58074e0,Applied process mining in software development,10.1109/SACI.2014.6840098,2014.0,2014 IEEE 9th IEEE International Symposium on Applied Computational Intelligence and Informatics (SACI),ieee,include,"O artigo aplica process mining (ProM Framework) a event logs de um processo real de desenvolvimento de software (incident records de um release), extraindo modelos de processo, redes organizacionais e informações estatísticas. Atende claramente IC1 (Process Mining em Software: descoberta de processo em artefatos de SW através de event logs). Nenhum critério de exclusão se aplica.",IC1,,True,"Current study uses the event process logs of a custom software development process used internally in the IT department of a large automotive company. The target is to extract hidden information about the process, difficult to identify due to the wideness and complexity of the input data. The log file contains all incident records tracked during one release of a software product. This analysis was performed using process mining techniques and tools included in ProM Framework, an academic project of the Eindhoven Technical University. The paper describes the steps followed to extract the working process model, organizational network and statistical information.","Some answers are obtained by applying process mining techniques on an exported, standardized and filtered dataset created during the software development process execution. Some statements still remain deeply hidden in the dataset.",Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,Entrega e devops.,Logs de ide.,Mineração de processos.,"RQ2, RQ3",IC4a,Entrega/DevOps,L1,Alta,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Study clearly states objective of extracting hidden process information using process mining on real software development logs. SE context (custom software development in automotive IT department), data source (incident records from one release), and technique (ProM Framework with process discovery) are all explicitly named. Empirical application on real event logs is reported. No threats to validity, data availability, or quantitative quality metrics (fitness, precision, etc.) are mentioned."
1de657c1,Process Cube for Software Defect Resolution,10.1109/APSEC.2014.45,2014.0,2014 21st Asia-Pacific Software Engineering Conference,ieee,include,"O artigo aplica claramente process mining (descoberta de processos, análise de perspectivas de controle de fluxo, tempo e conformance) a artefatos de software (Issue Tracking System, Peer Code Review System, Version Control System) para analisar e comparar o processo de resolução de defeitos em software. Introduz o conceito de process cube como extensão de process mining e demonstra a solução em um caso de estudo real (Google Chromium). Atende IC1 (process mining em software) e IC4 (mineração de",IC1|IC4,,True,"Online Analytical Processing (OLAP) cube is a multi-dimensional dataset used for analyzing data in a Data Warehouse (DW) for the purpose of extracting actionable intelligence. Process mining consists of analyzing event log data produced from Process Aware Information Systems (PAIS) for the purpose of discovering and improving business processes. Process cube is a concept which falls at the intersection of OLAP cube and process mining. Process cube facilitates process mining from multiple-dimensions and enables comparison of process mining results across various dimensions. We present an application of process cube to software defect resolution process to analyze and compare process data from a multi-dimensional perspective. We present a framework, a novel perspective to mine software repositories using process cube. Each cell of process cube is defined by metrics from multiple process mining perspectives like control flow, time, conformance and organizational perspective. We conduct a case-study on Google Chromium project data in which the software defect resolution process spans three software repositories: Issue Tracking System (ITS), Peer Code Review System (PCR) and Version Control System (VCS). We define process cube with 9 dimensions as issue report timestamp, priority, state, closed status, OS, component, bug type, reporter and owner. We define hierarchies along various dimensions and cluster members to handle sparsity. We apply OLAP cube operations such as slice, dice, roll-up and drill-down, and create materialized sub log for each cell. We demonstrate the solution approach by discovering process map and compare process mining results from Control Flow and Time perspective for Performance and Security issues.",Process mining consists of analyzing event log data produced from Process Aware Information Systems (PAIS) for the purpose of discovering and improving business processes. Process cube facilitates process mining from multiple-dimensions and enables comparison of process mining results across various dimensions. We demonstrate the solution approach by discovering process map and compare process mining results from Control Flow and Time perspective for Performance and Security issues.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor; forte dependência da qualidade e cobertura dos logs/dados.,Qualidade e testes.,"Issue tracker, repositório/vcs.",Mineração de processos.,"RQ2, RQ3","IC4a, IC4d","Desenvolvimento, Qualidade/Testes",L1,Alta,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,True,avaliado_llm,"LLM-scored (claude-haiku-4-5-20251001): Clear research objective (process cube for defect resolution analysis); SE context detailed (ITS, PCR, VCS systems); data source reproducible (Google Chromium project); PM technique formally defined (process cube, OLAP operations, process mining perspectives); empirical validation via case study; process mining metrics reported (control flow, time perspective analysis); no explicit discussion of validity threats or data/code availability."
