row_idx,internal_id,title,ft_decision_primary,ft_decision_verifier,verifier_model,raw
0,6fd0b9b2,Examining Case Management Demand using Event Log Complexity Metrics,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título menciona 'event log complexity metrics' e 'case management demand', o que é tangencialmente relevante a process mining (IC1), mas não há evidência suficiente para confirmar aplicação a processos de desenvolvimento de software ou qualquer outro IC do escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""unclear"",
  ""process"
1,6ea2a63e,A decision model for software maintenance,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título 'A decision model for software maintenance' sugere possível relevância marginal — poderia envolver modelagem estocástica ou forecasting em processos de SW (IC2/IC3), mas sem abstract não é possível confirmar nenhum IC com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required"", ""software_process""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""l"
2,141ea507,"Hybrid modeling and simulation for trustworthy software process
management: a stakeholder-oriented approach",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente, impossibilitando avaliação definitiva dos critérios de inclusão/exclusão. O título menciona 'hybrid modeling and simulation' e 'software process management', sugerindo possível relevância para IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting), mas sem o texto não é possível confirmar."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""simulation"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""s"
3,0232276d,Software Process Modeling Support for Management Planning and Control,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere relevância marginal ao escopo da SLR, referenciando modelagem de processo de software para planejamento e controle gerencial, o que pode envolver modelagem estocástica ou forecasting (IC2/IC3). É necessário o texto completo para confirmar."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_s"
4,263de40a,Mining message sequence graphs,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação rigorosa do conteúdo. O título 'Mining message sequence graphs' sugere relevância marginal para process mining aplicado a sequências de mensagens (possivelmente em contexto de software), mas não é possível confirmar nenhum IC sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""un"
6,857a548f,Agents and Organization Studies,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título 'Agents and Organization Studies' não sugere relação com process mining, modelagem estocástica, forecasting ou processos de desenvolvimento de software. O resumo está ausente e o título aponta para estudos organizacionais/agentes, sem evidência de qualquer IC relevante para a SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""medium""
}
```"
5,cb3f5728,Process Mining of Event Logs from Horde Helpdesk,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação definitiva. O título menciona 'process mining' e 'event logs', o que sugere relevância potencial para IC1, mas 'Horde Helpdesk' é um sistema de suporte/helpdesk que pode não estar relacionado a processos de desenvolvimento de software (possível EC1 se o domínio for suporte genérico)."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""fore"
7,4d9e0781,OER-Miner: One-Off Episode Rule Mining for Process Event Logs,exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação conclusiva. O título menciona 'Episode Rule Mining' em 'Process Event Logs', o que sugere relevância para process mining (IC1), mas não há evidência clara de aplicação a processos de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_logs"",
  ""confidence"": ""lo"
8,8d00806a,"Predicting software reliability via completely monotone nonparametric
estimator with grouped data",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios. O título sugere predição de confiabilidade de software com método não-paramétrico, o que pode alinhar-se ao IC3 (forecasting de métricas de processo/confiabilidade), mas também pode enquadrar-se em EC2 (software como contexto de aplicação, não processo de desenvolvimento) ou EC3 (método teórico sem aplicação a processos de SW). Texto completo é necessário para decisão definitiva."",
  ""matched_ic"": [""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""reliability"", ""forecasting"", "
9,b8eef6e0,"Knowledge acquisition and process guidance for building system dynamics
simulation models: An experience report from software industry",exclude,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente, impedindo avaliação definitiva. O título menciona 'system dynamics simulation models' e 'software industry', sugerindo possível relevância para IC2 (modelagem estocástica/simulação em processos de SW), mas sem texto completo não é possível confirmar se os critérios de inclusão são atendidos."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""simulation"""
