rank;score;internal_id;year;ft_matched_ic;pdf_available;study_type;research_contribution;pm_technique;stochastic_technique;authors;title;doi;venue;journal_name;main_finding;rq_focus;reading_notes
1;14;9ffa3123;2024;IC2|IC3|IC4;sim;experiment;prediction | enhancement;none;markov_chain;Rinkesh Joshi;Comparative Study of Reinforcement Learning in GitHub Pull Request Outcome Predictions;10.1109/SANER60148.2024.00057;Proceedings 2024 IEEE International Conference on Software Analysis Evolution and Reengineering Saner 2024;Proceedings 2024 IEEE International Conference on Software Analysis Evolution and Reengineering Saner 2024;;;
2;14;8a97d0cf;2020;IC2|IC3;sim;case_study;hybrid | framework | enhancement;none;system_dynamics | monte_carlo;Yue Li;Constructing a Hybrid Software Process Simulation Model in Practice: An Exemplar from Industry;10.1145/3379177.3388906;Proceedings of the International Conference on Software and System Processes;Proceedings of the International Conference on Software and System Processes;;;
3;13;ed0ab009;2025;IC1|IC2|IC3;sim;tool;framework | simulation | prediction;other;monte_carlo | other;Miguel A. Guinea-Cabrera;PRIMAD: Building Digital Twins for Software Development Lifecycle within an Evolutionary Architecture;10.1109/SWC65939.2025.00261;2025 IEEE Smart World Congress (SWC);2025 IEEE Smart World Congress (SWC);;;
4;13;56342950;2023;IC2|IC4;sim;case_study;discovery | simulation;social_network;markov_chain | stochastic_petri_net;Marco Ortu;Fault-insertion and fault-fixing behavioural patterns in Apache Software Foundation Projects;10.1016/j.infsof.2023.107187;Information and Software Technology;Information and Software Technology;;;
5;13;483d7725;2021;IC2|IC3;sim;simulation;framework | prediction | simulation;declarative | other;stochastic_petri_net | other;Walid Ben Mesmia;DevOps workflow verification and duration prediction using non-Markovian stochastic Petri nets;10.1002/smr.2329;Journal of Software Evolution and Process;Journal of Software Evolution and Process;;;
6;12;fa2cb37b;2025;IC1|IC3;sim;simulation | framework;framework | hybrid | enhancement;other;monte_carlo | other;Andrei Buliga;Enhanced What-If Scenarios Generation by Bridging Generative Models and Process Simulation;10.1109/ICPM66919.2025.11220730;Proceedings 2025 7th International Conference on Process Mining Icpm 2025;Proceedings 2025 7th International Conference on Process Mining Icpm 2025;;;
7;12;d65695c6;2023;IC2|IC3;sim;simulation;simulation | framework | enhancement;other;stochastic_petri_net;Sushovan Bhadra;A stochastic petri net model of continuous integration and continuous delivery;10.1109/RAMS51473.2023.10088212;Proceedings Annual Reliability and Maintainability Symposium;Proceedings Annual Reliability and Maintainability Symposium;;;
8;12;ae9983fa;2022;IC2|IC3;sim;simulation;simulation | framework | enhancement;other;stochastic_petri_net;Sushovan Bhadra;A Stochastic Petri net Model of Continuous Integration and Continuous Delivery;10.1109/ISSREW55968.2022.00050;2022 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW);2022 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW);O estudo desenvolve um modelo de Petri net estocástica para analisar pipelines de CI/CD, permitindo quantificar o impacto de melhorias em diferentes estágios do pipeline. A análise de sensibilidade identifica quais estágios do pipeline proporcionariam melhorias mais significativas na probabilidade de entrega oportuna do produto.;RQ2+RQ3;
9;12;9e341b7f;2018;IC2|IC3;sim;simulation;prediction | simulation | framework;none;markov_chain | other;Ildo Massitela;A structured stochastic model for software project estimation in Waterfall models;10.18293/SEKE2018-033;Proceedings of the International Conference on Software Engineering and Knowledge Engineering Seke;Proceedings of the International Conference on Software Engineering and Knowledge Engineering Seke;;;
10;11;03b0c494;2025;IC1|IC2;sim;experiment;conformance | framework | hybrid;conformance_checking;markov_chain;Emilio Incerto;Stochastic conformance checking based on variable-length Markov chains;10.1016/j.is.2025.102561;Information Systems;Information Systems;;;
11;11;6ff2b7f2;2024;IC2|IC4;sim;case_study;discovery | prediction | simulation;social_network | other;markov_chain;Suhee Jo;Probabilistic Model Checking GitHub Repositories for Software Project Analysis;10.3390/app14031260;Applied Sciences Switzerland;Applied Sciences Switzerland;;;
12;11;21851bba;2023;IC2|IC4;sim;case_study;discovery | simulation;social_network | other;markov_chain;Suhee Jo;Exploring Collaboration Patterns in GitHub Using Discrete Time Markov Chain;10.1109/APSEC60848.2023.00090;Proceedings Asia Pacific Software Engineering Conference APSEC;Proceedings Asia Pacific Software Engineering Conference APSEC;;;
13;11;60f3005f;2023;IC1|IC2;não;simulation;discovery | simulation | enhancement;other;monte_carlo | other;Orlenys López-Pintado;Discovery and Simulation of Business Processes with Probabilistic Resource Availability Calendars;10.1109/ICPM60904.2023.10271965;Proceedings 2023 5th International Conference on Process Mining ICPM 2023;Proceedings 2023 5th International Conference on Process Mining ICPM 2023;;;
14;11;4b34f7a5;2022;IC1|IC3;sim;case_study;discovery | prediction;other;none;João Caldeira;Unveiling process insights from refactoring practices;10.1016/j.csi.2021.103587;Computer Standards and Interfaces;Computer Standards and Interfaces;;;
15;11;7b0b22ea;2021;IC1|IC2;sim;case_study;discovery | enhancement | framework;other;markov_chain;P. Jalote;Studying Task Processes for Improving Programmer Productivity;10.1109/TSE.2019.2904230;IEEE Transactions on Software Engineering;IEEE Transactions on Software Engineering;;;
16;11;f36a08fe;2021;IC2|IC3;sim;simulation;simulation | prediction | framework;none;monte_carlo;M. I. Lunesu;Assessing the risk of software development in agile methodologies using simulation;10.1109/ACCESS.2021.3115941;IEEE Access;IEEE Access;;;
17;11;8de6dcfa;2020;IC2|IC3;não;case_study;prediction | framework | hybrid;other;markov_chain | system_dynamics | other;Maskura Nafreen;Connecting software reliability growth models to software defect tracking;10.1109/ISSRE5003.2020.00022;Proceedings International Symposium on Software Reliability Engineering ISSRE;Proceedings International Symposium on Software Reliability Engineering ISSRE;;;
18;11;dcbf27d8;2017;IC1|IC3|IC4;não;mixed;prediction | enhancement | discovery;inductive_miner | conformance_checking | other;markov_chain | other;Monika Gupta;Improving Software Maintenance Using Process Mining and Predictive Analytics;10.1109/ICSME.2017.39;IEEE International Conference on Software Maintenance and Evolution;2017 IEEE International Conference on Software Maintenance and Evolution (ICSME);A combinação de process mining com análise preditiva permite identificar padrões em processos de manutenção de software e prever problemas futuros. A abordagem proposta facilita a otimização de fluxos de trabalho de manutenção e melhoria da qualidade do software.;RQ2+RQ3;
19;10;e4f9257c;2022;IC1|IC3;sim;case_study;discovery | enhancement | framework;other;none;A. Salmani;An Intelligent Methodology to Enhance Requirements Engineering in Multidisciplinary Projects;10.1109/CCECE49351.2022.9918286;2022 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE);2022 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE);;;
20;10;b8b5b64e;2015;IC2|IC3|IC4;não;theoretical;prediction | framework;other;markov_chain | other;Chang-Kyun Jeon;Probabilistic Approach to Predicting Risk in Software Projects Using Software Repository Data;10.1142/S0218194015500151;International Journal of Software Engineering and Knowledge Engineering;International Journal of Software Engineering and Knowledge Engineering;;;
21;10;a20e7c58;2005;IC2|IC3;não;theoretical;prediction | simulation;none;markov_chain | other;L. Tian;Modeling distributed software defect removal effectiveness in the presence of code churn;10.1016/j.mcm.2004.10.021;Mathematical and Computer Modelling;Mathematical and Computer Modelling;;;
22;10;87bce30b;1995;IC1|IC2;sim;tool;discovery | framework;alpha | other;markov_chain;J. Cook;Automating Process Discovery through Event-Data Analysis;10.1145/225014.225021;1995 17th International Conference on Software Engineering;1995 17th International Conference on Software Engineering;;;
23;9;e3d29a38;2021;IC1|IC3;sim;tool;enhancement | simulation | framework;inductive_miner | other;monte_carlo | other;M. Pourbafrani;SIMPT: Process Improvement Using Interactive Simulation of Time-Aware Process Trees;10.1007/978-3-030-75018-3_40;Lecture Notes in Business Information Processing;Lecture Notes in Business Information Processing;;;
24;9;e89188a6;2021;IC2|IC3;não;theoretical;framework | enhancement;none;markov_chain | other;M. Tyagi;Agile Planning and Tracking of Software Projects Using the State-Space Approach;10.1007/978-981-16-0404-1_26;Communications in Computer and Information Science;Communications in Computer and Information Science;;;
25;9;2d369fe9;2019;IC1|IC2;sim;case_study;discovery | enhancement;alpha | conformance_checking;none;Muhammad A. Razi;Detecting Bottleneck and Fraud in Agile Development by using Petri net Performance and Trace Clustering;10.1109/ISEMANTIC.2019.8884226;2019 International Seminar on Application for Technology of Information and Communication (iSemantic);2019 International Seminar on Application for Technology of Information and Communication (iSemantic);;;
