internal_id,title,doi,year,source_db,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,raw
6098eec9,Eryn: a multipurpose sampler for Bayesian inference,10.1093/mnras/stad2939,2023,wos,exclude,"O artigo apresenta um método MCMC (Markov Chain Monte Carlo) para inferência Bayesiana em astronomia/física (ondas gravitacionais), não aplicado a processos de software. Atende EC1 (domínio fora de SW) de forma decisiva.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo apresenta um método MCMC (Markov Chain Monte Carlo) para inferência Bayesiana em astronomia/física (ondas gravitacionais), não aplicado a processos de software. Atende EC1 (domínio fora de SW) de forma decisiva."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""monte_carlo""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""monte_carlo"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"","
d66358dc,From Source to Target: Leveraging Transfer Learning for Predictive Process Monitoring in Organizations,10.1007/s12599-025-00969-9,2025,springer,maybe,"Título sugere relevância potencial para IC3 (forecasting em processos) e IC1 (process monitoring), mas abstract ausente impede confirmação de escopo em SW. Transfer learning em predictive process monitoring pode ser genérico (BPM, manufatura) ou específico de SW; sem resumo, não há evidência suficiente para inclusão segura.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere relevância potencial para IC3 (forecasting em processos) e IC1 (process monitoring), mas abstract ausente impede confirmação de escopo em SW. Transfer learning em predictive process monitoring pode ser genérico (BPM, manufatura) ou específico de SW; sem resumo, não há evidência suficiente para inclusão segura."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""forecasting"",
    ""insufficient_abs"
b44c009d,openTSNE: a modular Python library for t-SNE dimensionality reduction and embedding,10.1101/731877,2019,snowball,exclude,"O paper trata de t-SNE, uma técnica de redução de dimensionalidade para visualização de dados biológicos. Não há qualquer conexão com process mining, modelagem estocástica de processos de SW, forecasting de métricas de processo ou mineração de repositórios de software. EC1 (domínio fora de SW) e EC3 (algoritmo sem aplicação a processos de SW) são claramente aplicáveis.",,EC1|EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de t-SNE, uma técnica de redução de dimensionalidade para visualização de dados biológicos. Não há qualquer conexão com process mining, modelagem estocástica de processos de SW, forecasting de métricas de processo ou mineração de repositórios de software. EC1 (domínio fora de SW) e EC3 (algoritmo sem aplicação a processos de SW) são claramente aplicáveis."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [],
"
c5fe80d8,Software Process Automation in Perspective,10.1007/978-3-642-79252-6_1,1995,springer,maybe,"O título sugere relevância ao domínio de automação de processos de software, mas o abstract está ausente. Sem conteúdo do resumo, não é possível verificar se o paper atende critérios específicos de process mining, modelagem estocástica, forecasting ou mineração de repositórios. A data (1995) e tipo (chapter) indicam possível trabalho perspectivo/survey, que poderia ser EC4 se não tratar PM ou esto",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere relevância ao domínio de automação de processos de software, mas o abstract está ausente. Sem conteúdo do resumo, não é possível verificar se o paper atende critérios específicos de process mining, modelagem estocástica, forecasting ou mineração de repositórios. A data (1995) e tipo (chapter) indicam possível trabalho perspectivo/survey, que poderia ser EC4 se não tratar PM ou estocástico em SE."",
  ""matched_ic"": [],
  ""matched_ec"""
8c7768a3,Time pressure in software engineering: A systematic review,10.1016/j.infsof.2020.106257,2020,wos,exclude,"Embora trate processos de desenvolvimento de software, o paper é uma revisão secundária (SLR) sobre time pressure em SE, não aplicando process mining, modelagem estocástica ou forecasting de métricas de processo. Enquadra-se em EC4 (revisão secundária fora do escopo específico de PM/estocástico em processos de SW).",,EC4,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora trate processos de desenvolvimento de software, o paper é uma revisão secundária (SLR) sobre time pressure em SE, não aplicando process mining, modelagem estocástica ou forecasting de métricas de processo. Enquadra-se em EC4 (revisão secundária fora do escopo específico de PM/estocástico em processos de SW)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""software_develop"
bd7d524f,Algorithm for Weighted Hasse Diagram and Its Application,10.1109/CISE.2010.5677073,2010,ieee,exclude,"O artigo trata de algoritmos de teoria dos grafos (diagramas de Hasse ponderados) e métodos de Monte Carlo Markov Chain para ranking, mas não há evidência de aplicação a processos de desenvolvimento de software, repositórios de código, event logs de SW, ou qualquer contexto de engenharia de software. É um trabalho puramente teórico/matemático sem vinculação ao escopo da SLR PATHCAST.",,EC2|EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de algoritmos de teoria dos grafos (diagramas de Hasse ponderados) e métodos de Monte Carlo Markov Chain para ranking, mas não há evidência de aplicação a processos de desenvolvimento de software, repositórios de código, event logs de SW, ou qualquer contexto de engenharia de software. É um trabalho puramente teórico/matemático sem vinculação ao escopo da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC2"",
    ""EC3""
 "
5c4c0e7f,Studying Developer Build Issues and Debugger Usage via Timeline Analysis in Visual Studio IDE,,2018,ieee,include,O paper atende IC1 (process mining aplicado a artefatos de SW via análise de event logs do IDE) e IC3 (forecasting de métrica de processo - throughput de desenvolvedor). Utiliza timeline analysis em event logs do Visual Studio para descobrir padrões de processo de desenvolvimento. Nenhum EC decisivo se aplica.,IC1|IC3,,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O paper atende IC1 (process mining aplicado a artefatos de SW via análise de event logs do IDE) e IC3 (forecasting de métrica de processo - throughput de desenvolvedor). Utiliza timeline analysis em event logs do Visual Studio para descobrir padrões de processo de desenvolvimento. Nenhum EC decisivo se aplica."",
  ""matched_ic"": [""IC1"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""event_log"",
    ""software_process"","
c5e9fca4,Comparative analysis of meta-analysis methods: When to use which?,10.1049/ic.2011.0005,2011,ieee,exclude,"O artigo é sobre meta-análise de métodos estatísticos para síntese de resultados em revisões sistemáticas de engenharia de software, não sobre process mining, modelagem estocástica de processos de desenvolvimento de software, forecasting de métricas de processo, ou mineração de repositórios para descoberta/melhoria de processos. Apesar de usar simulação Monte Carlo, não aplica essas técnicas à aná",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo é sobre meta-análise de métodos estatísticos para síntese de resultados em revisões sistemáticas de engenharia de software, não sobre process mining, modelagem estocástica de processos de desenvolvimento de software, forecasting de métricas de processo, ou mineração de repositórios para descoberta/melhoria de processos. Apesar de usar simulação Monte Carlo, não aplica essas técnicas à análise, descoberta ou predição de processos de SW b"
416ad2be,"Dynamic, Extensible and Context-Aware Exception Handling for Workflows",10.1007/978-3-540-76848-7_8,2007,springer,exclude,"O título refere-se a tratamento de exceções em workflows, um tema de BPM genérico. Sem abstract disponível e sem evidência no título de aplicação a processos de software ou uso de process mining/modelagem estocástica/forecasting, não há base suficiente para inclusão. A ausência de abstract impede avaliação confiável contra critérios de inclusão.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se a tratamento de exceções em workflows, um tema de BPM genérico. Sem abstract disponível e sem evidência no título de aplicação a processos de software ou uso de process mining/modelagem estocástica/forecasting, não há base suficiente para inclusão. A ausência de abstract impede avaliação confiável contra critérios de inclusão."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""softw"
268aaf70,ProEva: Runtime Proactive Performance Evaluation Based on Continuous-Time Markov Chains,10.1109/ICSE.2017.51,2017,ieee,exclude,"O paper propõe uma técnica de model checking com CTMCs para prever degradação de performance em sistemas de software em tempo de execução, mas não aborda descoberta de processos, mineração de repositórios ou análise de event logs de processos de desenvolvimento. O foco é em monitoramento e previsão de QoS de sistemas em execução, não em processos de SW (IC1-4 não são atendidos). EC2 se aplica: 'so",,EC2,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper propõe uma técnica de model checking com CTMCs para prever degradação de performance em sistemas de software em tempo de execução, mas não aborda descoberta de processos, mineração de repositórios ou análise de event logs de processos de desenvolvimento. O foco é em monitoramento e previsão de QoS de sistemas em execução, não em processos de SW (IC1-4 não são atendidos). EC2 se aplica: 'software' é a ferramenta/sistema sendo monitorado, "
2f6314f8,Automated Business Process Management,10.1007/978-3-319-32689-4_22,2016,springer,maybe,"O título 'Automated Business Process Management' é genericamente relevante a BPM, mas sem abstract não há evidência clara de aplicação a processos de software. A ausência de resumo impede confirmação de atendimento aos critérios de inclusão (IC1-IC4) e necessita análise de texto completo.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título 'Automated Business Process Management' é genericamente relevante a BPM, mas sem abstract não há evidência clara de aplicação a processos de software. A ausência de resumo impede confirmação de atendimento aos critérios de inclusão (IC1-IC4) e necessita análise de texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_meth"
