internal_id,title,doi,year,source_db,source_query_id,source_query_label,ta_decision,ta_matched_ic,ta_matched_ec,ft_priority_rank,ft_priority_band,ft_priority_score,abstract,ft_oa_url,operational_priority_group,operational_priority_rank,pdf_status,pdf_source,pdf_file,oa_url,current_ft_decision,current_ft_rationale,review_final_decision,review_exclusion_criterion,review_notes
ee5ccaa2,Discovering changes of the change control board process during a software development project using process mining,10.1007/978-3-642-04133-4_11,2009,scopus,scopus_principal,Principal,include,IC1,,108,B,116,"During a software process improvement program, the current state of software development processes is being assessed and improvement actions are being determined. However, these improvement actions are based on process models obtained during interviews and document studies, e.g. quality manuals. Such improvements are scarcely based on the practical way of working in an organization; they do not take into account shortcuts made due to e.g. time pressure. Becoming conscious about the presence of such deviations and understanding their causes and impacts, consequences for particular software process improvement activities in a particular organization could be proposed. This paper reports on the application of process mining techniques to discover shortcomings in the Change Control Board process in an organization during the different lifecycle phases and to determine improvement activities. © 2009 Springer Berlin Heidelberg",,1_com_pdf_ou_oa,1,downloaded,manual,Discovering_Changes_of_the_Change_Contro.pdf,,,,,,
96767878,Analysis of software fault removal policies using a non-homogeneous continuous time Markov chain,10.1023/B:SQJO.0000034709.63615.8b,2004,scopus,scopus_markov_testing,Markov + Software Testing (focal V6),include,IC2,,110,B,111,,,1_com_pdf_ou_oa,1,downloaded,manual,sw_qual_journal.pdf,,,,,,
0186248d,Prediction of remaining service execution time using stochastic petri nets with arbitrary firing delays,10.1007/978-3-642-45005-1_27,2013,scopus,scopus_stochastic_petri,Stochastic Petri Net + Remaining Time (focal V8),maybe,IC2|IC3,,334,D,65,,https://link.springer.com/content/pdf/10.1007%2F978-3-642-45005-1_27.pdf,1_com_pdf_ou_oa,1,,,,,,,,,
a20e7c58,Modeling distributed software defect removal effectiveness in the presence of code churn,10.1016/j.mcm.2004.10.021,2005,scopus,scopus_principal,Principal,maybe,IC2,,452,D,63,,https://doi.org/10.1016/j.mcm.2004.10.021,1_com_pdf_ou_oa,1,,,,,,,,,
1303e41e,Scheduling quality related activities in incremental software development projects based on Monte Carlo simulation,10.3923/itj.2012.751.759,2012,scopus,scopus_principal,Principal,maybe,IC2,,458,D,63,,https://doi.org/10.3923/itj.2012.751.759,1_com_pdf_ou_oa,1,,,,,,,,,
9ae84d72,Analyzing the effect of imperfect debugging on software fault detection and correction processes via a simulation framework,10.1016/j.mcm.2011.07.033,2011,scopus,scopus_markov_testing,Markov + Software Testing (focal V6),maybe,,,701,E,58,,https://doi.org/10.1016/j.mcm.2011.07.033,1_com_pdf_ou_oa,1,,,,,,,,,
898e9953,A collection of java class libraries for stochastic modeling and simulation,10.1007/3-540-46043-8_105,2002,scopus,scopus_principal,Principal,maybe,,,795,E,55,,https://link.springer.com/content/pdf/10.1007%2F3-540-46043-8_105.pdf,1_com_pdf_ou_oa,1,,,,,,,,,
414e1286,Metamodelling and conformance checking with PVS,10.1007/3-540-45314-8_2,2001,scopus,scopus_principal,Principal,maybe,,,797,E,55,,https://link.springer.com/content/pdf/10.1007%2F3-540-45314-8_2.pdf,1_com_pdf_ou_oa,1,,,,,,,,,
d3b31579,PReMo: An analyzer for probabilistic recursive models,10.1007/978-3-540-71209-1_7,2007,scopus,scopus_principal,Principal,maybe,,,798,E,55,,https://link.springer.com/content/pdf/10.1007%2F978-3-540-71209-1_7.pdf,1_com_pdf_ou_oa,1,,,,,,,,,
2c1f1193,Continuous software monitoring backed by process mining: a systematic literature review,10.1007/s41060-025-01000-w,2026,scopus,scopus_principal,Principal,maybe,IC1|IC4,,167,D,71,,,2_com_doi_sem_pdf,2,,,,,,,,,
