internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,publisher,abstract_source,abstract_match_type,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,ta_evidence_tags,ta_software_context,ta_stochastic_method,ta_forecast_target,ta_process_data_source,ta_confidence,ta_evidence_status,ta_manual_review_required,ta_screened_at,ta_batch_id,ft_priority_score,ft_priority_rank,ft_priority_band,ft_oa_url,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,ft_evidence_tags,ft_software_context,ft_stochastic_method,ft_forecast_target,ft_process_data_source,ft_confidence,ft_evidence_status,ft_manual_review_required,ft_screened_at,ft_screened_by,ft_batch_id
,scopus,scopus_simulation_bridge,Process Mining + Simulation Models (focal V9),10.24507/icicelb.13.07.725,COLORED PETRI NETS SIMULATION ON THE CLOUD WITH PYTHON: A FRAMEWORK OVERVIEW,Utama N.I.,2022,,Icic Express Letters Part B Applications,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85131070175,,,,maybe,"O título menciona Colored Petri Nets (ferramenta estocástica relevante para IC2), mas sem abstract não é possível confirmar se a aplicação é em processos de software ou em domínio genérico de BPM. O framework pode estar focado em simulação abstrata (EC3) sem avaliação em processos de SW.",,,,,,,,,,,2026-04-12T20:13:11.235489+00:00,msgbatch_014epxmAhDxpMiXrt3wqCGFY,61,548,E,,exclude,"O resumo está ausente e o título menciona Colored Petri Nets (método estocástico relevante para IC2), mas sem conteúdo do artigo é impossível determinar se a aplicação é em processos de software ou em domínio genérico de BPM/simulação. Texto completo é necessário para avaliar contexto de aplicação e conformidade com escopo PATHCAST. Excluído por inacessibilidade de texto completo (sem PDF/OA disponível).",,EC5,full_text_required|insufficient_abstract|simulation|stochastic_petri_net,unclear,stochastic_petri_net,none,unclear,low,missing_abstract,True,2026-04-19T09:29:37.070007+00:00,llm,msgbatch_01C8rhNjCTBHbzidE5uwZsF3
,scopus,scopus_principal,Principal,,OOMSE - An object oriented markov chain specification and evaluation framework,Song H.,2005,,17th International Conference on Software Engineering and Knowledge Engineering Seke 2005,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84886912086,,,,maybe,"Título indica framework para especificação e avaliação de Markov chains (potencialmente IC2), mas sem resumo disponível é impossível confirmar se aplica-se a processos de SW ou é genérico de BPM. A ausência de abstract impede avaliação definitiva do escopo e aplicação.",,,,,,,,,,,2026-04-12T20:10:37.857356+00:00,msgbatch_01WubbEWrx98tudf2aLE6X3r,51,872,E,,exclude,"Título sugere framework para especificação e avaliação de Markov chains, potencialmente relevante para IC2 (modelagem estocástica em processos de SW). Porém, abstract ausente impede confirmação de: (a) se aplica-se a processos de desenvolvimento de software ou é genérico (BPM/manufatura); (b) qual é o domínio de aplicação e se há ligação com SW. Requer acesso ao texto completo para decisão definitiva. Excluído por inacessibilidade de texto completo (sem PDF/OA disponível).",,EC5,full_text_required|insufficient_abstract|markov|stochastic_modeling,unclear,markov_chain,none,unclear,low,missing_abstract,True,2026-04-19T09:29:37.070007+00:00,llm,msgbatch_01C8rhNjCTBHbzidE5uwZsF3
,scopus,scopus_principal,Principal,,Leveraging process mining techniques for up-To-date resource profiles,Creemers M.,2017,"Keeping an up-to-date overview of the knowledge and skills available in an organization is a difficult task. Looking at this problem we propose the use of data, that already exists in the&#13;\norganization’s information systems, as a means to keep user knowledge profiles up to date. To extract the required information from these information systems, we suggest the use of process mining. We illustrate the current state of our research and the end goals we aim to reach with it. We state a general&#13;\nresearch question. We then apply this to a software development setting, applying knowledge gained during an ongoing case study at a software development company.",Ceur Workshop Proceedings,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85021929903,,,,maybe,"Título indica aplicação de process mining (potencialmente IC1), mas ausência de resumo impede avaliação conclusiva do domínio (SW vs. genérico) e da natureza do problema abordado. 'Resource profiles' pode referir-se a processos de SW ou BPM genérico.",,,,,,,,,,,2026-04-12T20:07:33.942322+00:00,msgbatch_01WA34s6KYBnqTEYDoeQMa8p,60,665,C,,exclude,"O paper aplica process mining para manter perfis de conhecimento/habilidades de recursos em organizações, com um caso de estudo em desenvolvimento de software. Porém, não trata de process mining aplicado a artefatos de SW (commits, issues, PR, CI/CD) — IC1 não se aplica. Não há modelagem estocástica (IC2), forecasting de métricas de processo (IC3), ou mineração de repositórios para descobrir modelos de processo (IC4). O SW é apenas contexto de aplicação; o problema central é gestão de perfis de ",,EC2,,,,,,,,,2026-04-17T03:14:13.248953+00:00,llm,msgbatch_01R37QDMb9bSw1snsnADaiZn
,scopus,scopus_principal,Principal,10.1007/978-3-642-27207-3_35,A note on two-stage software testing by two teams,Kimura M.,2011,"This paper reports our experience of software reliability evaluation in the actual software development which employs somewhat uncommon testing procedure. The procedure can be called as a two-stage testing by two teams. First we discuss the problems underlying the software testing. We explain the concept of the procedure of the two-stage testing by two teams, and then, a stochastic model which traces the procedure is derived. The model analyzes a data set which were obtained from the real testing activity. By using the result of data analysis, we show some numerical illustrations for the software reliability assessment and the evaluation of the skill level of the test teams.",Communications in Computer and Information Science,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-83755225269,,,,maybe,"Título sugere foco em processo de testing de software (potencial IC1), mas ausência de abstract impossibilita confirmação de que aborda process mining, modelagem estocástica ou forecasting em processos de SW. Pode ser apenas modelagem matemática de alocação de recursos em testing sem análise de event logs ou processos reais.",,,,,,,,,,,2026-04-12T20:10:37.857356+00:00,msgbatch_01WubbEWrx98tudf2aLE6X3r,61,531,C,,exclude,"O paper apresenta uma modelagem matemática/estocástica de um procedimento de testing de dois estágios com análise de dados reais, mas não aborda process mining (IC1), não minera repositórios ou artefatos de SW (IC4), e não realiza forecasting/predição de métricas de processo (IC3). Embora IC2 (modelagem estocástica em processos de SW) fosse teoricamente aplicável, o foco é em avaliação de confiabilidade e alocação de recursos de teste, não na modelagem ou descoberta de processos de desenvolvimen",,EC3,,,,,,,,,2026-04-17T03:14:13.248953+00:00,llm,msgbatch_01R37QDMb9bSw1snsnADaiZn
,scopus,scopus_simulation_bridge,Process Mining + Simulation Models (focal V9),,DATA-DRIVEN SIMULATION-BASED ANALYSIS OF COLLABORATIVE BUSINESS PROCESSES IN DISTRIBUTED ENVIRONMENTS,Bocciarelli P.,2025,,Simulation Series,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-105020855047,,,,maybe,"Título sugere análise de processos de negócio com simulação e dados, potencialmente relevante para IC2 (modelagem estocástica) ou IC4 (mineração de repositórios). Porém, sem resumo disponível, não há como confirmar se o foco é em processos de software (SE) ou domínios genéricos de BPM (EC1). A ausência de abstract impede avaliação decisiva.",,,,,,,,,,,2026-04-12T20:13:11.235489+00:00,msgbatch_014epxmAhDxpMiXrt3wqCGFY,56,768,E,,exclude,"Resumo completamente ausente e fonte bibliográfica não verificada. Título menciona 'simulation-based analysis' e 'collaborative business processes', sugerindo possível alinhamento com IC2 (modelagem estocástica) ou IC4 (análise de processos), mas sem acesso ao abstract não é possível confirmar: (a) se o domínio é processos de software (SE) ou BPM genérico; (b) se há efetivamente mineração de dados/repositórios ou apenas simulação teórica; (c) se aplica-se EC1 (domínio fora de SW) ou EC3 (algorit. Excluído por inacessibilidade de texto completo (sem PDF/OA disponível).",,EC5,full_text_required|insufficient_abstract|simulation,unclear,simulation,none,unclear,low,missing_abstract,True,2026-04-19T09:29:37.070007+00:00,llm,msgbatch_01C8rhNjCTBHbzidE5uwZsF3
,scopus,scopus_principal,Principal,,"PN-WS 2025 - Joint Proceedings of the Workshops at the 46th International Conference on Application and Theory of Petri Nets and Concurrency: Petri Nets and Software Engineering, PNSE 2025, Algorithms and Theories for the Analysis of Event Data, ATAED 2025, and Petri Net Games, Examples and Quizzes for Education, Contest and Fun, PeNGE 2025, co-located with PETRI NETS 2025",,2025,"This booklet contains the proceedings of the Workshop on Software Engineering and Petri Nets (SEPN), held on June 26, 2000. The workshop was held in conjunction with the 21st International Conference on Application and Theory of Petri Nets (ICATPN-2000), organised by the CPN group of the Department of Computer Science, University of Aarhus, Denmark. The SEPN workshop papers are available in electronic form via the web page: http://www.daimi.au.dk/pn2000/proceedings",Ceur Workshop Proceedings,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-105011701079,,,,maybe,"Trata-se de proceedings de workshops em Petri Nets e análise de event data (ATAED 2025, PNSE 2025), com potencial cobertura de process mining e modelagem estocástica em SW. Porém, sem acesso ao abstract ou lista de artigos inclusos, não é possível confirmar se o conteúdo específico atende aos critérios de inclusão da SLR PATHCAST (intersecção com processos de SW). O título sugere relevância marginal, mas a confirmação depende de inspeção adicional.",,,,,,,,,,,2026-04-12T20:03:59.736124+00:00,msgbatch_01Bi2vvN8phka4m2zJ3y8JSf,64,394,C,,exclude,"O resumo é um meta-documento de proceedings de workshops (SEPN 2000, ATAED 2025, PNSE 2025) que descreve apenas a organização do evento, sem detalhar artigos específicos ou conteúdo técnico. Não há evidência de que este documento de capa/prefácio atenda aos critérios de inclusão (IC1–IC4); é um índice/prefácio de conferência, não um artigo de pesquisa com contribuição técnica avaliável. Enquadra-se em EC4 (revisão secundária fora do escopo: meta-proceeding sem conteúdo avaliável).",,EC4,,,,,,,,,2026-04-17T03:14:13.248953+00:00,llm,msgbatch_01R37QDMb9bSw1snsnADaiZn
,scopus,scopus_simulation_bridge,Process Mining + Simulation Models (focal V9),10.1007/978-3-642-31069-0_31,Generating event logs with workload-dependent speeds from simulation models,Nakatumba J.,2012,"Generating Event Logs with Workload-Dependent Speeds from Simulation Models Joyce Nakatumba, Michael Westergaard, and Wil M.P. van der Aalst Eindhoven University of Technology, The Netherlands {jnakatum,m.westergaard,w.m.p.v.d.aalst}@tue.nl Abstract. Both simulation and process mining can be used to analyze operational business processes. Simulation is model-driven and very use- ful because diﬀerent scenarios can be explored by changing the model’s parameters. Process mining is driven by event",Lecture Notes in Business Information Processing,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84864665360,,,,maybe,"Título sugere geração de event logs a partir de modelos de simulação, potencialmente relevante a IC2 (modelagem estocástica) e IC4 (mineração/análise de processos), mas ausência de resumo impede confirmação de aplicação a processos de software ou contexto específico de desenvolvimento.",,,,,,,,,,,2026-04-12T20:13:11.235489+00:00,msgbatch_014epxmAhDxpMiXrt3wqCGFY,61,580,C,,exclude,"O paper trata de simulação de processos de negócio e process mining em contexto genérico (não específico de software), focando em modelagem de comportamento de recursos com velocidades dependentes de carga de trabalho. Embora aborde técnicas de simulação e process mining, não há evidência clara de aplicação a processos de desenvolvimento de software (commits, issues, CI/CD, etc.) nem a artefatos de SW específicos. A fusão de simulação e process mining mencionada é conceitual e não está vinculada",,EC1,,,,,,,,,2026-04-17T03:14:13.248953+00:00,llm,msgbatch_01R37QDMb9bSw1snsnADaiZn
,scopus,scopus_complementar,Complementar (MSR → Process Modeling),10.1007/978-3-031-73143-3_11,Mining Issue Trackers: Concepts and Techniques,Montgomery L.,2025,"An issue tracker is a software tool used by organisations to interact with users and manage various aspects of the software development lifecycle. With the rise of agile methodologies, issue trackers have become popular in open and closed-source settings alike. Internal and external stakeholders report, manage, and discuss ""issues"", which represent different information such as requirements and maintenance tasks. Issue trackers can quickly become complex ecosystems, with dozens of projects, hundreds of users, thousands of issues, and often millions of issue evolutions. Finding and understanding the relevant issues for the task at hand and keeping an overview becomes difficult with time. Moreover, managing issue workflows for diverse projects becomes more difficult as organisations grow, and more stakeholders get involved. To help address these difficulties, software and requirements engineering research have suggested automated techniques based on mining issue tracking data. Given the vast amount of textual data in issue trackers, many of these techniques leverage natural language processing. This chapter discusses four major use cases for algorithmically analysing issue data to assist stakeholders with the complexity and heterogeneity of information in issue trackers. The chapter is accompanied by a follow-along demonstration package with JupyterNotebooks.",Handbook on Natural Language Processing for Requirements Engineering,chapter,,https://www.scopus.com/record/display.uri?eid=2-s2.0-105004605863,,,,maybe,"Título sugere mineração de issue trackers (IC4 potencial), mas ausência de abstract impede avaliação clara sobre foco em process mining, modelagem estocástica ou forecasting de processos de SW. Capítulo de handbook sobre NLP para RE pode ter escopo diferente do SLR PATHCAST.",,,,,,,,,,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9,66,293,C,,exclude,"O resumo descreve um capítulo sobre técnicas de mineração de issue trackers com foco em NLP para Requirements Engineering. Embora mencione 'mining' de dados de issue trackers (potencial IC4), não há evidência de aplicação a process mining (descoberta de modelos de processo, conformance, workflow mining), modelagem estocástica (Markov, Petri nets, Monte Carlo) ou forecasting de métricas de processo (lead time, cycle time, throughput). O capítulo aborda análise de dados textuais para assistência a",,EC3,,,,,,,,,2026-04-17T03:14:13.248953+00:00,llm,msgbatch_01R37QDMb9bSw1snsnADaiZn
,scopus,scopus_principal,Principal,10.1109/QoSA.2016.15,Modeling the failure pathology of software components,Franco J.,2016,"Reliability prediction methods support early decision on software development by offering means for architects to reason and test their own designs. However, most of today's reliability prediction methods model the failure behavior as two states: functioning properly or failed, neglecting other failure modes. In addition, the lack of realistic case-studies and actual failure data make testing and validation difficult tasks. With this in mind, we propose a reliability modeling approach describing the behavior of a software component taking into account error occurrences and their associated impacts in terms of error masking, error propagation, error recovery and failures modes. To validate our approach we present a real case-study based on Xen where we injected faults at different virtualization layers. The experiments show close results between our modeling approach and the realistic values obtained from the experiment.",Proceedings 2016 12th International ACM SIGSOFT Conference on Quality of Software Architectures Qosa 2016,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-84983422283,,,,maybe,"Título sugere modelagem de falhas em componentes de software, potencialmente relevante para IC2 (modelagem estocástica de processos de SW), mas sem resumo disponível não é possível confirmar se trata de falhas em processos de desenvolvimento ou em componentes em execução, e se há efetivamente aplicação a processos de SW ou apenas a arquitetura/confiabilidade de sistemas.",,,,,,,,,,,2026-04-12T20:07:33.942322+00:00,msgbatch_01WA34s6KYBnqTEYDoeQMa8p,62,503,C,,exclude,"O paper trata de modelagem de confiabilidade e falhas de componentes de software em execução (virtualization layers, Xen), não de processos de desenvolvimento de software (commits, issues, CI/CD, repositórios). Não há aplicação a process mining, modelagem estocástica de processos de SW, ou forecasting de métricas de processo de desenvolvimento. A modelagem é de falhas de componentes/arquitetura, não de processos de desenvolvimento.",,EC1,,,,,,,,,2026-04-17T03:14:13.248953+00:00,llm,msgbatch_01R37QDMb9bSw1snsnADaiZn
,scopus,scopus_principal,Principal,10.1109/ICSESS.2011.5982296,Automated method for verification of stochastic graph transformation systems,Alavizadeh A.S.,2011,"Stochastic Graph Transformation Systems (SGTS) have been introduced to model dynamic distributed systems. To insure correctness of a SGTS, we should employ verification concept. There are different methods for verifying such systems, for example simulation, test, deductive verification and model checking of which the most common is model checking. But most of the researches in the field of model checking come back to construct of a suitable model from SGTS and there is not done a complete research and a practical work in the field of model verification methods. Therefore, in this paper, we have implemented a SGTS to PRISM (a stochastic model checker) translator to automatically verify SGTS.",Icsess 2011 Proceedings 2011 IEEE 2nd International Conference on Software Engineering and Service Science,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-80052512470,,,,maybe,"Título sugere modelagem estocástica (graph transformation systems) potencialmente relevante a IC2, mas ausência de abstract impede confirmação se a aplicação é a processos de SW ou a outro domínio (EC1 possível). Verificação de sistemas formais pode não ter foco em processos de desenvolvimento de software.",,,,,,,,,,,2026-04-12T20:10:37.857356+00:00,msgbatch_01WubbEWrx98tudf2aLE6X3r,61,542,C,,exclude,"O paper trata de verificação formal de Stochastic Graph Transformation Systems (SGTS) através de model checking e tradução automática para PRISM. Não há evidência no resumo de aplicação a processos de desenvolvimento de software (EC1 — domínio fora de SW). A modelagem estocástica é meramente a base técnica para verificação de sistemas distribuídos genéricos, não para processos de SW. Process mining, forecasting de métricas de processo ou análise de artefatos de SW estão completamente ausentes.",,EC1,,,,,,,,,2026-04-17T03:14:13.248953+00:00,llm,msgbatch_01R37QDMb9bSw1snsnADaiZn
