internal_id,title,doi,year,source_db,abstract,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,raw
59e1b494,Phylogenetic Analysis of Reticulate Software Evolution,10.1109/MSR59073.2023.00074,2023,ieee,"In this paper, we apply techniques from phylogenetics for uncovering evolutionary dependencies among software versions. Phylogenetics is a part of computational molecular biology that addresses the inference of evolution among organisms based on differences/similarities in DNA sequences and morphology. We apply a tree differencing technique to abstract syntax trees to calculate a distance matrix, which is then used by a distance-based phylogenetic algorithm to infer an evolution network. Such a network allows us to identify merging and branching among versions without manually looking into the details of the source code. Experiments on ancient versions of the Emacs editor and the open source 3D printer firmware show that we can reproduce the evolution of the software and identify code import/merging across different lineages. We also discuss how the techniques identify the feature models among software variations. To the best of our knowledge, this paper is the first to report on a reticulate phylogenetic analysis of the software. It may offer a helpful method for gaining information on the evolution of the software.",exclude,"O artigo aplica análise filogenética a versões de software para descobrir dependências evolutivas entre versões, mas não aborda process mining, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios para descoberta/melhoria de processos de desenvolvimento de SW. Foca em evolução estrutural de código (AST) e genealogia de versões, não em modelagem ou predição de pro",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aplica análise filogenética a versões de software para descobrir dependências evolutivas entre versões, mas não aborda process mining, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios para descoberta/melhoria de processos de desenvolvimento de SW. Foca em evolução estrutural de código (AST) e genealogia de versões, não em modelagem ou predição de processos de desenvolvimento."",
  ""matched_ic"": [],
"
808e8ac2,Architecture Enforcement Concerns and Activities - An Expert Study,10.1007/978-3-319-48992-6_19,2016,springer,,exclude,"O título trata de 'Architecture Enforcement Concerns and Activities', focando em arquitetura de software, não em process mining, modelagem estocástica, forecasting de processos ou mineração de repositórios para descoberta/predição de processos de desenvolvimento de software. Sem abstract disponível e baseado apenas no título, não há evidência clara de atender aos critérios de inclusão IC1-IC4. O t",,,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título trata de 'Architecture Enforcement Concerns and Activities', focando em arquitetura de software, não em process mining, modelagem estocástica, forecasting de processos ou mineração de repositórios para descoberta/predição de processos de desenvolvimento de software. Sem abstract disponível e baseado apenas no título, não há evidência clara de atender aos critérios de inclusão IC1-IC4. O tema é architecture compliance, não análise/prediç"
a3927884,Enhancing version control with domain-specific semantics,10.1109/MiSE.2013.6595293,2013,ieee,"As Domain-Specific Modeling Languages (DSML) become more widespread, it is now possible for non-computer scientists to design complex systems. Not only do DSMLs make modeling more accessible to domain experts, they also improve their efficiency. Using such models, the problem of their maintenance and evolution arises, with common software engineering issues, such as reversibility and traceability of developments. In this article we present the integration of a collaborative edition process into a model-driven engineering (MDE) simulation platform defining its own DSML, which includes a serialization procedure. Our novel approach defines a collaborative work and version control process. This process uses the concrete textual syntax defined by this DSML, which allows us to use the features of existing Version Control Systems (VCS) to work with serialized models, and helps calculate the differences between two versions of a model, merge versions of these models, and detect merge conflicts.",exclude,"O artigo trata de integração de controle de versão com linguagens de modelagem específicas de domínio (DSML), focando em versionamento de modelos e detecção de conflitos de merge. Não aborda process mining, modelagem estocástica, forecasting de métricas de processo, ou mineração de repositórios para descoberta/análise de processos de desenvolvimento de software. É um trabalho de engenharia de soft",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de integração de controle de versão com linguagens de modelagem específicas de domínio (DSML), focando em versionamento de modelos e detecção de conflitos de merge. Não aborda process mining, modelagem estocástica, forecasting de métricas de processo, ou mineração de repositórios para descoberta/análise de processos de desenvolvimento de software. É um trabalho de engenharia de software orientado a modelos, não de análise ou previ"
a26c7f77,Learning Scatter Artifact Correction in Cone-Beam X-Ray CT Using Incomplete Projections with Beam Hole Array,10.1007/s10921-024-01113-5,2024,springer,,exclude,"O artigo trata de processamento de imagens médicas (cone-beam X-ray CT) e não possui qualquer conexão com processos de desenvolvimento de software, process mining, modelagem estocástica de processos de SW ou forecasting em engenharia de software. Claramente enquadrado em EC1 (domínio fora de SW).",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de processamento de imagens médicas (cone-beam X-ray CT) e não possui qualquer conexão com processos de desenvolvimento de software, process mining, modelagem estocástica de processos de SW ou forecasting em engenharia de software. Claramente enquadrado em EC1 (domínio fora de SW)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""f"
e6734171,"Distribution Transformer's Loss of Life Considering Residential Prosumers Owning Solar Shingles, High-Power Fast Chargers and Second-Generation Battery Energy Storage",10.1109/TII.2018.2845416,2019,ieee,"In this study, the effect of the electric vehicle high-power fast chargers in the residential sector on the aging of distribution transformers is probabilistically quantified. This work takes into consideration the presence of the traditional rooftop solar photovoltaic panels and the most recent technology namely rooftop solar shingles used in residential prosumers (power producers and consumers). Moreover, the effectiveness of the second-generation residential home and community battery energy storage, installed in the residential prosumers and in the electric utilities' premises, in preserving the distribution transformer's lifetime is discussed and conclusions are drawn.",exclude,"O artigo trata de engenharia de potência e sistemas elétricos residenciais (transformadores de distribuição, painéis solares, carregadores de veículos elétricos), não abordando processos de desenvolvimento de software ou process mining em contexto de SW. Claramente fora do escopo da SLR PATHCAST.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de engenharia de potência e sistemas elétricos residenciais (transformadores de distribuição, painéis solares, carregadores de veículos elétricos), não abordando processos de desenvolvimento de software ou process mining em contexto de SW. Claramente fora do escopo da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""f"
87482f5a,"Leveraging LLM-based data augmentation for automatic classification of
recurring tasks in software development projects",10.1016/j.jss.2025.112641,2026,wos,"Background: Issue tracking systems (ITS) store project task data that is
valuable for analytics and simulation. Projects typically include two
types of tasks: stateful and recurring. While stateful tasks can be
automatically categorized with relative ease, categorizing recurring
tasks remains challenging. Prior research indicates that a key
difficulty may lie in the underrepresentation of certain task types,
which leads to severely imbalanced training datasets and hampers the
accuracy of machine-learning models for task categorization. Aims: The
goal of this study is to evaluate whether leveraging large language
models (LLM) for data augmentation can enhance the
machine-learning-based categorization of recurring tasks in software
projects. Method: We conduct our study on a dataset from six industrial
projects comprising 9,589 tasks. To address class imbalance, we
up-sample minority classes during training via data augmentation using
LLMs and several prompting strategies, assessing their impact on
prediction quality. For each project, we perform time-series 5-fold
cross-validation and evaluate the classifiers using state-of-the-art
metrics - Accuracy, Precision, Recall, F1-score, and MCC - as well as
practice-inspired metric called Monthly Classification Error (MCE) that
assess the impact of task misclassification on project planning and
resource allocation. Our machine-learning pipeline employs
Transformer-based sentence embeddings and XGBoost classifiers. Results:
The model automatically classifies software process tasks into 14
classes, achieving MCC values between 0.71 and 0.76. We observed higher
prediction quality for the largest projects in the dataset and for those
managed using ``traditional″ project management methodologies.
Moreover, employing intra-project data augmentation strategies reduced
the MCE error by up to 43%. Conclusions: Our findings indicate that
large language models (LLMs) can be used to mitigate the impact of
imbalanced task categories, thereby enhancing the performance of
classification models even with limited training data.",exclude,"O paper trata de classificação de tarefas em sistemas de rastreamento de problemas usando LLMs e machine learning, mas não aborda process mining, modelagem estocástica, forecasting de métricas de processo ou descoberta de modelos de processo. A categorização automática de tarefas não corresponde aos critérios de inclusão da SLR PATHCAST.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de classificação de tarefas em sistemas de rastreamento de problemas usando LLMs e machine learning, mas não aborda process mining, modelagem estocástica, forecasting de métricas de processo ou descoberta de modelos de processo. A categorização automática de tarefas não corresponde aos critérios de inclusão da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [""issue_tracking""],
  ""software_context"": """
b55c5db2,Combining Risk Analysis and Security Testing,10.1007/978-3-662-45231-8_23,2014,springer,,exclude,"O título sugere foco em análise de risco e testes de segurança, domínios tipicamente desvinculados de process mining, modelagem estocástica de processos de SW ou forecasting de métricas de processo. Sem abstract disponível e com terminologia que aponta para segurança de software (não processo de desenvolvimento), não há evidência suficiente de enquadramento nos critérios de inclusão.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título sugere foco em análise de risco e testes de segurança, domínios tipicamente desvinculados de process mining, modelagem estocástica de processos de SW ou forecasting de métricas de processo. Sem abstract disponível e com terminologia que aponta para segurança de software (não processo de desenvolvimento), não há evidência suficiente de enquadramento nos critérios de inclusão."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC3""
  ],
  ""evid"
1c4606b9,PCGD: Principal components-based great deluge method for solving CNOP,10.1109/CEC.2015.7257067,2015,ieee,"Conditional nonlinear optimal perturbation (CNOP) is an initial perturbation evolving into the largest nonlinear evolution at the prediction time. It has become a useful tool in meteorology and oceanography. The common method for solving the CNOP is the adjoint-based method which is always referred to as the benchmark. Unfortunately, many numerical models have no corresponding adjoint models, and developing a new one is usually a huge engineering, which consequently limits the application of the CNOP. In order to avoid adjoint models, we propose a principal components-based great deluge method to solve the CNOP. Through extracting principal components, the original problem is reduced into a low-dimensional space to hunt the coordinate of the optimal CNOP with the great deluge method. A regeneration strategy is also designed for the great deluge method to break away from local optimal positions. In addition, the proposed method can be parallelized to improve the computing efficiency. To demonstrate the validity, the proposed method has been studied in the Zebiak-Cane model to solve the CNOP. Experimental results show that the proposed method can efficiently obtain a satisfactory CNOP, approximate to the one computed with the adjoint-based method, and the parallelizing version can reach the speedup of 9.7 times with 12 cores.",exclude,"O artigo trata de otimização de perturbações em modelos meteorológicos e oceanográficos (Zebiak-Cane model), sem qualquer conexão com processos de desenvolvimento de software, process mining ou engenharia de software. Claramente enquadrado em EC1 (domínio fora de SW).",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de otimização de perturbações em modelos meteorológicos e oceanográficos (Zebiak-Cane model), sem qualquer conexão com processos de desenvolvimento de software, process mining ou engenharia de software. Claramente enquadrado em EC1 (domínio fora de SW)."",
  ""matched_ic"": [],
  ""matched_ec"": [
    ""EC1""
  ],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""non"
d2972d40,Synthesis and Implementation of Distributed Supervisory Controllers with Communication Delays,10.1109/CASE49439.2021.9551519,2021,ieee,"This paper discusses a method to distribute a synthesized supervisory controller for implementation on multiple physical controllers. Dependency structure matrices are used to determine a distribution of a discrete event system. The supervisor is then distributed accordingly, using an existing localization method. Communication delays between the distributed components of a supervisor may affect its behavior, due to changes in the order of events. Therefore, a delay-robustness check is performed and where needed mutex locks are employed to make the distributed supervisor delay-robust. A case study demonstrates the method, and hardware-in-the-loop testing is used to validate the distributed supervisor.",exclude,"O artigo trata de síntese e distribuição de controladores supervisórios em sistemas de eventos discretos, domínio da teoria de controle e automação industrial. Não há evidência de aplicação a processos de software, repositórios, event logs de SW ou modelagem de desenvolvimento de software. Atende EC1 (domínio fora de SW) e não atende nenhum IC.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de síntese e distribuição de controladores supervisórios em sistemas de eventos discretos, domínio da teoria de controle e automação industrial. Não há evidência de aplicação a processos de software, repositórios, event logs de SW ou modelagem de desenvolvimento de software. Atende EC1 (domínio fora de SW) e não atende nenhum IC."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_softw"
c3463d1c,Runtime Verification for Generic Classes with ConGu 2,10.1007/978-3-642-19829-8_3,2011,springer,,exclude,"O artigo trata de verificação de runtime para classes genéricas em linguagens de programação, um tópico de métodos formais e verificação de software, não process mining, modelagem estocástica ou forecasting de processos de desenvolvimento de software. Nenhum critério de inclusão é atendido.",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo trata de verificação de runtime para classes genéricas em linguagens de programação, um tópico de métodos formais e verificação de software, não process mining, modelagem estocástica ou forecasting de processos de desenvolvimento de software. Nenhum critério de inclusão é atendido."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC3""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecas"
