row_idx,internal_id,title,doi,ta_decision_primary,ta_decision_verifier,verifier_model,raw
0,97f3c4ea,Monte Carlo and molecular dynamics simulations using p4,,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica simulações de Monte Carlo e dinâmica molecular em contexto de computação paralela/científica (provavelmente física/química), sem qualquer relação com processos de desenvolvimento de software. EC1 (domínio fora de SW) e EC2 (software como ferramenta) se aplicam claramente."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""monte_carlo""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""monte_carlo"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}"
1,6156e60d,Definition and solution of a stochastic inverse problem for the Manning's n parameter field in hydrodynamic models,10.1016/j.advwatres.2015.01.011,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de modelagem estocástica inversa para parâmetros hidrológicos (Manning's n) em modelos hidrodinâmicos, domínio completamente fora de software. Não há qualquer relação com processos de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""stochastic_modeling""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""other_stochastic"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
3,e5f8b32c,An analytical method for reliability analysis of hardware-software co-design system,10.1002/qre.2389,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de confiabilidade de sistemas hardware-software co-design (ex: automação, telecomunicações), onde 'software' é um componente do sistema físico, não o processo de desenvolvimento de software. Aplica-se EC1 (domínio fora de SW) e EC2 (software como ferramenta/componente, não processo sendo estudado)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""markov"", ""reliability""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""reliability"",
  ""process_dat"
2,a31cb460,Bayesian inference of airfoil icing condition from simulated ice shapes,10.1007/s42401-024-00281-6,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica claramente um domínio de engenharia aeroespacial (inferência bayesiana de condições de gelo em aerofólios), sem qualquer relação com processos de desenvolvimento de software. O critério EC1 (domínio fora de SW) se aplica de forma inequívoca."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""bayesian_model""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""bayesian_model"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
4,908999dd,Integrated modeling and statistical analysis of 3-d fracture network of the midale field,10.2523/iptc-12165-ms,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de modelagem de redes de fraturas em campos de petróleo (domínio de geociências/engenharia de petróleo), sem qualquer relação com processos de desenvolvimento de software. EC1 se aplica claramente."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
5,81c0893f,Identification and validation of markov models with continuous emission distributions for execution times,10.1109/RTCSA50079.2020.9203594,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O estudo aplica modelos de Markov ocultos (HMM) para modelar tempos de execução em aplicações robóticas e sistemas embarcados em tempo real, não em processos de desenvolvimento de software. O domínio é de sistemas embarcados/robótica, não de processos de SW (EC1), e o software (Raspberry Pi, ffmpeg) é apenas a plataforma/ferramenta de avaliação, não o processo sendo estudado (EC2)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""hidden_markov_model"", ""markov"", ""stochastic_modeling""],
  ""software_context"": ""not_softwa"
6,45de7b4a,Language independent POS-tagging using automatically generated Markov chains,10.18293/SEKE2019-097,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica aplicação de cadeias de Markov para POS-tagging (etiquetagem morfossintática em linguística computacional/NLP), sem relação com mineração de processos ou processos de desenvolvimento de software. Mesmo sem abstract, o tema é claramente fora do escopo da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [""markov""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
7,c149eaf0,Managing performance vs. accuracy trade-offs with loop perforation,10.1145/2025113.2025133,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica um estudo sobre trade-offs de desempenho vs. precisão via 'loop perforation', uma técnica de approximate computing em software, não relacionada a process mining, modelagem estocástica de processos de SW ou forecasting de métricas de processo. Não há indício de atendimento a qualquer IC da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""med"
8,321c61b3,Process Mining and Analytics for Care Pathways: Proposal for a Tutorial at ICHI2017,10.1109/ICHI.2017.104,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica explicitamente aplicação de process mining a 'care pathways' no domínio de saúde (Healthcare Informatics), caracterizando domínio fora de software. Mesmo sem abstract disponível, o contexto é inequivocamente healthcare, atendendo EC1."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""high""
}
```"
9,9991f651,Imperfect debugging in software reliability: A Bayesian approach,10.1016/j.ejor.2012.11.056,exclude,maybe,claude-sonnet-4-6,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título menciona 'software reliability' com abordagem Bayesiana, o que pode se relacionar com IC2 (modelagem estocástica em processos de SW) ou IC3 (forecasting de métricas), mas sem abstract disponível não é possível confirmar se o foco é no processo de desenvolvimento de software ou apenas na confiabilidade do produto/sistema (EC2). O venue 'European Journal of Operational Research' sugere orientação mais quantitativa/operacional, aumentando a ambiguidade."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""bayesian_mod"
