nome_do_artigo,nome_do_arquivo,doi_cod,abstract,resultados,avaliacao_codex_chatgpt,relevancia_para_slr,metodo,tipo_de_evidencia,ameacas_limitacoes,decisao_slr,motivo_da_decisao,contexto,fonte_dos_dados,tecnica_principal,rq_atendida,ic_ec_acionados,fase_do_sdlc,nivel_de_integracao,prioridade_de_leitura
A Data-Centric Approach to Evaluate Requirements Engineering in Multidisciplinary Projects,A_Data-Centric_Approach_to_Evaluate_Requirements_Engineering_in_Multidisciplinary_Projects.pdf,10.1109/SMC53654.2022.9945270,"Multidisciplinary teams are often a necessity for software projects as they provide the required expertise to effectively solve complex problems. However, efficient collaboration between teams with different disciplines is challenging due to several factors such as considering gaps in knowledge areas, establishing a development process, and understanding different requirements from various groups or stakeholders. The agile methodology, such as scrum, offers a powerful approach to managing the software development process effectively. As part of the agile methodology, some techniques and tools are used to manage requirements change, which is a common practice in multidisciplinary teams. This research aims to leverage process-mining techniques to analyze data from Jira and GitHub to analyze the efficacy of software development process, particularly in multidisciplinary teams. This approach is applied to a case study of a virtual healthcare intervention system to measure the team’s productivity. The results indicate several deficiencies in the process with respect to requirements engineering task that cause loss of time and increase rework rates. Results indicate that there are some challenges in the development process that contribute to some deficiencies. The rework rate is high and the number of tasks that are intended to be completed is less than what was planned. These factors can contribute to the lengthening of the software development process. Most of these challenges can be addressed by improving the requirement engineering process in order to obtain the requirements and manage change requests more efficiently.","Multidisciplinary teams are often a necessity for software projects as they provide the required expertise to effectively solve complex problems. The agile methodology, such as scrum, offers a powerful approach to managing the software development process effectively. The results indicate several deficiencies in the process with respect to requirements engineering task that cause loss of time and increase rework rates.",Relevância média-alta para a revisão. Traz validação empírica.,Média-alta: analisa processos ou artefatos de desenvolvimento com aderência prática ao tema.,"Apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; forte dependência da qualidade e cobertura dos logs/dados.,talvez,"Relaciona-se a software, mas a técnica principal extraída não evidencia com clareza mineração de processos ou modelagem estocástica.","Engenharia de requisitos, contexto aplicado específico.","Issue tracker, repositório/vcs, logs de ide.",IA/NLP/aprendizado de máquina.,RQ1,IC4d,"Requisitos, Desenvolvimento",L0,Média
A Stochastic Petri net Model of Continuous Integration and Continuous Delivery,A_Stochastic_Petri_net_Model_of_Continuous_Integration_and_Continuous_Delivery (1).pdf,10.1109/ISSREW55968.2022.00050,,"While modern software practices improve the SURGXFW WR WKH XVHU :KLOH PRGHUQ VRIWZDUH SUDFWLFHV LPSURYH WKH performance of software life also increase the SHUIRUPDQFH RI the WKH VRIWZDUH OLIH cycle, F\FOH they WKH\ DOVR LQFUHDVH WKH complexity of this process. Past studies make improvements to the FRPSOH[LW\ RI WKLV SURFHVV 3DVW VWXGLHV PDNH LPSURYHPHQWV WR WKH performance of the &, &' CI/CD pipeline. are fewer SHUIRUPDQFH RI WKH SLSHOLQH However, +RZHYHU there WKHUH DUH IHZHU formal models to quantitatively guide process and product quality IRUPDO PRGHOV WR TXDQWLWDWLYHO\ JXLGH SURFHVV DQG SURGXFW TXDOLW\ improvement automated and human LPSURYHPHQW or RU characterize FKDUDFWHUL]H how KRZ DXWRPDWHG DQG KXPDQ activities FRPSRVH compose DQG and interact asynchronously.",Relevância alta para a revisão. Propõe método reutilizável.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Rede de petri, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Qualidade e testes, entrega e devops.","Pipeline ci/cd, logs de ide.",Rede de Petri estocástica.,"RQ1, RQ2, RQ3","IC4b, IC4d","Qualidade/Testes, Entrega/DevOps",L1,Alta
A Systematic Approach to Process Enactment Analysis as Input to Software Process Improvement or Tailoring,A_Systematic_Approach_to_Process_Enactment_Analysis_as_Input_to_Software_Process_Improvement_or_Tailoring.pdf,10.1109/APSEC.2006.14,Software process improvement has been a focus of industry for many years. To assist the procedure and implementation of process improvement we provide a software process recovery method based on mining project enactment data. The goal of the method is to uncover the actual process used in order to provide input to improve the quality of a defined software process. The recovered model (or patterns) is at the same level of abstraction as the predefined process model. This provides an easy and clear way to identify the gap between the planned process model and the real enactment. We investigate the enactment of a defined software process from the view of understanding the appropriateness and fitness for purpose of the process model from the viewpoint of the project managers in the context of a small software development organization. We collected data from organizations and applied our method to a pilot case study. The main contribution of our work is to provide a software process model recovery method which supports software process change and improvement.,Software process improvement has been a focus of industry for many years. To assist the procedure and implementation of process improvement we provide a software process recovery method based on mining project enactment data. The goal of the method is to uncover the actual process used in order to provide input to improve the quality of a defined software process.,Relevância média-alta para a revisão. Traz validação empírica.,"Média: relação indireta com a SLR, mais útil como contexto, método adjacente ou estudo complementar.","Apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; dependência de modelagem e premissas do autor.,talvez,"Relaciona-se a software, mas a técnica principal extraída não evidencia com clareza mineração de processos ou modelagem estocástica.",Qualidade e testes.,Logs de ide.,IA/NLP/aprendizado de máquina.,RQ1,EC3?,Qualidade/Testes,L0,Média
A User Evaluation of Process Discovery Algorithms in a Software Engineering Company,6cb59310_a_user_evaluation_of_process_discovery_algorithms.pdf,10.1109/EDOC.2019.00026,"Process mining methods allow analysts to use logs of historical executions of business processes in order to gain knowledge about the actual behavior of these processes. One of the most widely studied process mining operations is automated process discovery. An event log is taken as input by an automated process discovery method and produces a business process model as output that captures the control-flow relations between tasks that are described by the event log. In this setting, this paper provides a systematic comparative evaluation of existing implementations of automated process discovery methods with domain experts by using a real life event log extracted from an international software engineering company and four quality metrics: understandability, correctness, precision, and usefulness. The evaluation results highlight gaps and unexplored trade-offs in the field and allow researchers to improve the lacks in the automated process discovery methods in terms of usability of process discovery techniques in industry.",The evaluation results highlight gaps and unexplored trade-offs in the field and allow researchers to improve the lacks in the automated process discovery methods in terms of usability of process discovery techniques in industry.,Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Avaliação experimental.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Qualidade e testes.,Logs de ide.,Mineração de processos.,RQ2,IC4a,Qualidade/Testes,L1,Alta
A stochastic petri net model of continuous integration and continuous delivery,A_Stochastic_Petri_net_Model_of_Continuous_Integration_and_Continuous_Delivery.pdf,10.1109/RAMS51473.2023.10088212,,"While modern software practices improve the SURGXFW WR WKH XVHU :KLOH PRGHUQ VRIWZDUH SUDFWLFHV LPSURYH WKH performance of software life also increase the SHUIRUPDQFH RI the WKH VRIWZDUH OLIH cycle, F\FOH they WKH\ DOVR LQFUHDVH WKH complexity of this process. Past studies make improvements to the FRPSOH[LW\ RI WKLV SURFHVV 3DVW VWXGLHV PDNH LPSURYHPHQWV WR WKH performance of the &, &' CI/CD pipeline. are fewer SHUIRUPDQFH RI WKH SLSHOLQH However, +RZHYHU there WKHUH DUH IHZHU formal models to quantitatively guide process and product quality IRUPDO PRGHOV WR TXDQWLWDWLYHO\ JXLGH SURFHVV DQG SURGXFW TXDOLW\ improvement automated and human LPSURYHPHQW or RU characterize FKDUDFWHUL]H how KRZ DXWRPDWHG DQG KXPDQ activities FRPSRVH compose DQG and interact asynchronously.",Relevância alta para a revisão. Propõe método reutilizável.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Rede de petri, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Qualidade e testes, entrega e devops.","Pipeline ci/cd, logs de ide.",Rede de Petri estocástica.,"RQ1, RQ2, RQ3","IC4b, IC4d","Qualidade/Testes, Entrega/DevOps",L1,Alta
A structured stochastic model for software project estimation in Waterfall models,9e341b7f_a_structured_stochastic_model_for_software_project.pdf,10.18293/SEKE2018-033,"Evaluate team’s performance on long-duration projects can be a challenge. It relies on human expertise to perform estimations, which can generate uncertainty and dependency of experienced specialists. Statistical techniques, such as modeling and simulations, are suitable options as tools to support projects estimations. Our goal in this paper is a formal mapping of the main Waterfall model characteristics to stochastic model to predict performance indices of teams such as the real working time.","Our model target is the state W since it represents when a team member is performing useful work. Thus, a total working time, Ω, is multiplied by the probability of the stationary probabilities of W . We previously have the real project time and the estimated time, which were given by the project members. Example, for the Requirements phase, the estimated total time was 179.7 hours and the real, observed, time was 192.8 hours.",Relevância alta para a revisão. Propõe método reutilizável.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Simulação, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Estudo empírico com dados reais.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Engenharia de requisitos.,Fonte dos dados não identificada com clareza na extração automática.,Simulação.,"RQ1, RQ2",IC4b,Requisitos,L1,Alta
An AI-Enhanced Process Mining Framework for Software Process Insights,An_AI-Enhanced_Process_Mining_Framework_for_Software_Process_Insights.pdf,10.1109/KSE59128.2023.10299475,"Using process mining to gain insight of software processes presents several challenges, especially in preparing good-quality input data for the mining algorithm from the low-level data recorded by non-process-aware systems, such as version control systems. This paper proposes a process mining framework integrating AI techniques to enhance and simplify the execution of process mining tasks in this context. First, we implement a learning process to build an ontology capturing the knowledge of the analyzed processes' domain. Then this domain ontology is used in constructing an event log that enables an effective process discovery and analysis. The domain ontology plays the role of a domain expert in matching low-level events to high-abstraction and meaningful process activities. We implemented and experienced the proposed framework to extract process knowledge of e-commerce web applications development.",Then this domain ontology is used in constructing an event log that enables an effective process discovery and analysis.,Relevância alta para a revisão. Propõe método reutilizável.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor; forte dependência da qualidade e cobertura dos logs/dados.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Qualidade e testes, entrega e devops.",Repositório/vcs.,Mineração de processos.,"RQ1, RQ2, RQ3","IC4a, IC4d","Desenvolvimento, Qualidade/Testes, Entrega/DevOps",L1,Alta
An Intelligent Methodology to Enhance Requirements Engineering in Multidisciplinary Projects,An_Intelligent_Methodology_to_Enhance_Requirements_Engineering_in_Multidisciplinary_Projects.pdf,10.1109/CCECE49351.2022.9918286,"The multidisciplinary nature of a team has been identified as one of the success criteria of both user-centric approaches and agile methods. Stakeholder involvement is considered to be essential for agile processes in order to meet project objectives and ensure results are aligned with stakeholder expectations. However, establishing a collaborative process involving designers, programmers, stakeholders, and users can be challenging; particularly during the requirements engineering stage. Agile methodologies, such as scrum, offer a powerful way of effectively managing software projects and generates a great deal of useful data through tools such as Jira and GitHub. The aim of this research is two folds: 1) analyze the project data from aforementioned sources using process mining techniques to discover deficiencies in the software development process, and 2) propose an automated effort estimation process to address the identified challenges in this study and provide decision support in the development process. This approach is applied to a case study of a virtual healthcare intervention system. The results are indicative that these enhancements helped boost the decision-making and release planning processes by providing the development team a more clear picture, which ultimately mitigated the number of change requests.","Stakeholder involvement is considered to be essential for agile processes in order to meet project objectives and ensure results are aligned with stakeholder expectations. Agile methodologies, such as scrum, offer a powerful way of effectively managing software projects and generates a great deal of useful data through tools such as Jira and GitHub. The results are indicative that these enhancements helped boost the decision-making and release planning processes by providing the development team a more clear picture, which ultimately mitigated the number of change requests.",Relevância alta para a revisão. Traz validação empírica.,Alta: trata diretamente de mineração de processos aplicada ao desenvolvimento de software.,"Mineração de processos, apoio de ia/nlp/ontologia, estudo de caso, proposta de framework/modelo.",Estudo empírico com dados reais.,Escopo empírico possivelmente restrito; forte dependência da qualidade e cobertura dos logs/dados.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Engenharia de requisitos, entrega e devops, contexto aplicado específico.","Issue tracker, repositório/vcs, logs de ide.",Mineração de processos.,"RQ1, RQ2","IC4a, IC4d","Requisitos, Design/Arquitetura, Desenvolvimento, Entrega/DevOps",L1,Alta
An analysis of Monte Carlo simulations for forecasting software projects,3412841.3442030.pdf,10.1145/3412841.3442030,"CCS CONCEPTS Forecasts of the effort or delivery date can play an important role in managing software projects, but the estimates provided by development teams are often inaccurate and time-consuming to produce. This is not surprising given the uncertainty that underlies this activity. This work studies the use of Monte Carlo simulations for generating forecasts based on project historical data. We have designed and run experiments comparing these forecasts against what happened in practice and to estimates provided by developers, when available. Comparisons were made based on the mean magnitude of relative error (MMRE).","In this section, we evaluate the delivery and effort forecasting approaches described in the previous section through a few experiments. For each approach, we discuss positive and negative points,",Relevância alta para a revisão. Traz validação empírica.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Simulação, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Avaliação experimental.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.",Contexto de processo de software não identificado com clareza na extração automática.,Logs de ide.,Simulação.,RQ2,"IC4b, IC4c",Design/Arquitetura,L1,Alta
Analysis of software fault removal policies using a non-homogeneous continuous time Markov chain,sw_qual_journal.pdf,10.1023/B:SQJO.0000034709.63615.8b,"Software reliability is an important metric that quantifies the quality of a software product and is inversely related to the residual number of faults in the system. Fault removal is a critical process in achieving desired level of quality before software deployment in the field. Conventional software reliability models assume that the time to remove a fault is negligible and that the fault removal process is perfect. In this paper we examine various kinds of fault removal policies, and analyze their effect on the residual number of faults at the end of the testing process, using a non-homogeneous continuous time Markov chain. The fault removal rate is initially assumed to be constant, and it is subsequently extended to cover time and state dependencies.","In this paper we examine various kinds of fault removal policies, and analyze their effect on the residual number of faults at the end of the testing process, using a non-homogeneous continuous time Markov chain.",Relevância alta para a revisão. Propõe método reutilizável.,Alta: aborda modelagem ou simulação de processos de software com potencial analítico forte para a SLR.,"Cadeia de markov, apoio de ia/nlp/ontologia, proposta de framework/modelo.",Proposta metodológica com evidência limitada.,Dependência de modelagem e premissas do autor.,incluir,"Alinha-se ao escopo da SLR por combinar contexto de desenvolvimento de software com técnica de processo, mineração ou modelagem estocástica.","Qualidade e testes, entrega e devops.",Fonte dos dados não identificada com clareza na extração automática.,Cadeia de Markov.,RQ2,IC4b,"Qualidade/Testes, Entrega/DevOps",L1,Alta
