internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,publisher,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,ta_screened_at,ta_batch_id
829f8c13,acm,acm_principal,ACM Principal,10.1145/2590748.2590749,"Nirikshan: Mining Bug Report History for Discovering Process Maps, Inefficiencies and Inconsistencies","Gupta, Monika; Sureka, Ashish",2014,,Proceedings of the 7th India Software Engineering Conference (ISEC '14),conference paper,,,ACM,maybe,"Título indica mining de bug reports para descobrir process maps e ineficiências, o que alinha com IC1 e IC4. Porém, sem abstract disponível, não é possível confirmar se (a) aplica process mining formal a artefatos de SW, (b) o foco é realmente em processos de desenvolvimento de software (vs. apenas análise de bugs), ou (c) atende critérios de exclusão.",IC1|IC4,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
3f99a9fa,acm,acm_principal,ACM Principal,10.1145/3695750.3695822,Automatic Generation of Logical Specifications for Behavioural Models,"Klimek, Radoslaw; Witek, Julia",2024,,Proceedings of the 2024 Workshop on Replications and Negative Results (RENE '24),conference paper,,,ACM,maybe,"O título sugere geração automática de especificações lógicas para modelos comportamentais, potencialmente relevante para modelagem de processos de SW, mas sem abstract disponível não é possível confirmar se aplica process mining, modelagem estocástica ou forecasting em contexto de desenvolvimento de software. Pode tratar apenas de BPM genérico ou especificação formal sem ligação a processos de SW.",,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
d1ed6154,acm,acm_principal,ACM Principal,10.1145/2591062.2591080,"Nirikshan: Process Mining Software Repositories to Identify Inefficiencies, Imperfections, and Enhance Existing Process Capabilities","Gupta, Monika",2014,,Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,ACM,maybe,"O título indica claramente process mining em repositórios de software (alinhado com IC1 e IC4), mas sem resumo disponível não é possível confirmar se o trabalho realmente aborda processos de desenvolvimento de SW ou se mantém foco puramente em descoberta de padrões/ineficiências técnicas. A relevância é potencial mas incerta.",IC1|IC4,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
6fd30d7e,acm,acm_principal,ACM Principal,10.1145/2591062.2591152,Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course,"Mittal, Megha; Sureka, Ashish",2014,,Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,ACM,maybe,"Título fortemente indica Process Mining aplicado a repositórios de SW (IC1 e IC4), mas ausência de resumo impede confirmação de escopo, metodologia e profundidade. Necessária consulta ao artigo completo para validação.",IC1|IC4,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
2ee3dc10,acm,acm_principal,ACM Principal,10.1145/2723742.2723763,Ahaan: Software Process Intelligence: Mining Software Process Data for Extracting Actionable Information,"Sureka, Ashish; Kumar, Atul; Gupta, Shrinath",2015,,Proceedings of the 8th India Software Engineering Conference (ISEC '15),conference paper,,,ACM,maybe,"Título altamente relevante para process mining em software ('Software Process Intelligence' e 'Mining Software Process Data'), alinhado diretamente com IC1 e IC4. Porém, sem resumo disponível não é possível confirmar se o trabalho efetivamente aplica técnicas de process mining a artefatos de SW (commits, issues, logs) ou se trata apenas de análise genérica de dados de processo.",IC1|IC4,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
8c42d0fe,acm,acm_principal,ACM Principal,10.1145/2600821.2600842,Agile Development with Software Process Mining,"Rubin, Vladimir; Lomazova, Irina; van der Aalst, Wil M. P.",2014,,Proceedings of the 2014 International Conference on Software and System Process (ICSSP '14),conference paper,,,ACM,maybe,"Título altamente relevante sugere aplicação de process mining a desenvolvimento ágil de software (IC1), porém a ausência de resumo impede confirmação definitiva do escopo e metodologia. Revista (ICSSP) é apropriada para o tema.",IC1,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
50d875ff,acm,acm_principal,ACM Principal,10.1145/3275245.3275286,Kanban and Process Mining in the Task Management,"Mendes, Vitor; Faria Junior, Elio Ribeiro; Garcia, Cleiton; Malucelli, Andreia",2018,"In a world continuously changing with markets that are in permanent evolution and in contend, the companys must inovate, be more flexible, offer quality and respond swiftly. These factors do not apply for product manufacture processes only, but for software development processes aswell. This paper describes an account of experiences with the use of Kanban to improve the activities management in an ERP's development. To do this, a mapping of the current process was carried out, so to propose a set of improvements in the management of activities. As a result, a set of tools were implemented to enable a clear view and control over the activities, as well as to integrate the Issue Tracking System with the Kanban board. Furthermore, a process mining technique was used to estimate the time of conclusion of the activities and to detect performance problem.",Proceedings of the XVII Brazilian Symposium on Software Quality (SBQS '18),conference paper,,,ACM,include,O paper atende IC1 (aplica process mining a artefatos de SW - Issue Tracking System e Kanban board em desenvolvimento de ERP) e IC3 (usa process mining para estimar tempo de conclusão de atividades e detectar problemas de performance em processos de desenvolvimento de software). Não há aplicação clara de critérios de exclusão.,IC1|IC3,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
e23bbc10,acm,acm_principal,ACM Principal,10.1145/2695664.2696046,Mining Software Development Process Variations,"Santos, Renata M. S.; Oliveira, Toacy C.; Abreu, Fernando Brito e",2015,,Proceedings of the 30th Annual ACM Symposium on Applied Computing (SAC '15),conference paper,,,ACM,maybe,"Título fortemente indicativo de process mining em SW (IC1: 'Mining Software Development Process'), mas sem resumo disponível para confirmar se realmente aplica técnicas de PM (descoberta, conformance, event logs) ou apenas análise descritiva de variações de processo.",IC1,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
803096b6,acm,acm_principal,ACM Principal,10.1145/3486622.0000004,Modular Design Patterns for Systems that Learn and Reason,"van Harmelen, Frank",2022,"The combination of data-driven techniques from machine learning with symbolic techniques from knowledge representation is recognised as one of the grand challenges of modern AI. We propose a set of compositional design patterns to describe a large variety of systems that combine statistical techniques from machine learning with symbolic techniques from knowledge representation. As in other areas of computer science (knowledge engineering, software engineering, ontology engineering, process mining and others), such design patterns help to systematize the literature, clarify which combinations of techniques serve which purposes, and encourage re-use of software components. We have validated our set of compositional design patterns against a large body of recent literature.",IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT '21),conference paper,,,ACM,exclude,"O artigo propõe padrões de design para sistemas que combinam machine learning com knowledge representation. Embora mencione 'process mining' como uma área relacionada, o foco principal é em padrões de design para sistemas de IA genéricos, não em aplicação de process mining, modelagem estocástica ou forecasting de métricas em processos de desenvolvimento de software. Process mining é citado apenas como exemplar de aplicação de padrões de design, não como objeto de estudo.",,EC3,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
0803f194,acm,acm_principal,ACM Principal,10.1145/2904354.2904368,Exploring the Impact of Situational Context: A Case Study of a Software Development Process for a Microservices Architecture,"O'Connor, Rory V.; Elger, Peter; Clarke, Paul M.",2016,,Proceedings of the International Conference on Software and Systems Process (ICSSP '16),conference paper,,,ACM,maybe,"O título sugere foco em processo de desenvolvimento de software (microservices), mas sem resumo disponível não é possível confirmar se há aplicação de process mining, modelagem estocástica ou forecasting. Pode ser um estudo de caso sobre processo de SW sem as técnicas específicas do escopo PATHCAST.",,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
37b22a16,acm,acm_principal,ACM Principal,10.1145/2889160.2889267,Mining Software Process Lines,"Rojas Blum, Fabian",2016,,Proceedings of the 38th International Conference on Software Engineering Companion (ICSE '16),conference paper,,,ACM,maybe,"O título 'Mining Software Process Lines' sugere fortemente mineração de processos de software (IC1), mas sem resumo disponível não é possível confirmar se trata efetivamente de process mining aplicado a artefatos/logs de SW ou se é sobre software product lines. A ambiguidade terminológica ('process lines' pode referir-se a linhas de processos ou variabilidade de processos) requer verificação do conteúdo completo.",,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
b7022ac2,acm,acm_principal,ACM Principal,10.1145/3387904.3389294,Understanding What Software Engineers Are Working on: The Work-Item Prediction Challenge,"Lämmel, Ralf; Kerber, Alvin; Praza, Liane",2020,"Understanding what a software engineer (a developer, an incident responder, a production engineer, etc.) is working on is a challenging problem - especially when considering the more complex software engineering workflows in software-intensive organizations: i) engineers rely on a multitude (perhaps hundreds) of loosely integrated tools; ii) engineers engage in concurrent and relatively long running workflows; ii) infrastructure (such as logging) is not fully aware of work items; iv) engineering processes (e.g., for incident response) are not explicitly modeled. In this paper, we explain the corresponding’ work-item prediction challenge’ on the grounds of representative scenarios, report on related efforts at Facebook, discuss some lessons learned, and review related work to call to arms to leverage, advance, and combine techniques from program comprehension, mining software repositories, process mining, and machine learning.",Proceedings of the 28th International Conference on Program Comprehension (ICPC '20),conference paper,,,ACM,include,"O paper aborda predição de work items em processos de engenharia de software, combinando process mining, mining software repositories e machine learning para modelar fluxos de trabalho complexos em organizações de software. Atende claramente IC1 (process mining aplicado a artefatos de SW) e IC4 (mineração de repositórios para descobrir modelos de processo de desenvolvimento).",IC1|IC4,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
0f5a8ea4,acm,acm_principal,ACM Principal,,Fourth Annual Workshop on Data-Driven Knowledge Mobilization,"Noei, Ehsan; Lyons, Kelly; Stroulia, Eleni; Andritsos, Periklis",2019,,Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering (CASCON '19),conference paper,,,,maybe,"Título genérico de workshop sem resumo disponível. 'Data-Driven Knowledge Mobilization' pode ser relevante a process mining em SW, mas sem abstract não é possível confirmar se atende aos critérios de inclusão ou se trata apenas de um evento editorial.",,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9
