internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,volume,issue,pages,publisher,is_duplicate,duplicate_of,selected,abstract_source,abstract_match_type
829f8c13,acm,acm_principal,ACM Principal,10.1145/2590748.2590749,"Nirikshan: Mining Bug Report History for Discovering Process Maps, Inefficiencies and Inconsistencies","Gupta, Monika; Sureka, Ashish",2014,"Issue tracking systems such as Bugzilla, Mantis and JIRA are Process Aware Information Systems to support business process of issue (defect and feature enhancement) reporting and resolution. The process of issue reporting to resolution consists of several steps or activities performed by various roles (bug reporter, bug triager, bug fixer, developers, and quality assurance manager) within the software maintenance team. Project teams define a workflow or a business process (design time process model and guidelines) to streamline and structure the issue management activities. However, the runtime process (reality) may not conform to the design time model and can have imperfections or inefficiencies. We apply business process mining tools and techniques to analyze the event log data (bug report history) generated by an issue tracking system with the objective of discovering runtime process maps, inefficiencies and inconsistencies. We conduct a case-study on data extracted from Bugzilla issue tracking system of the popular open-source Firefox browser project. We present and implement a process mining framework, Nirikshan, consisting of various steps: data extraction, data transformation, process discovery, performance analysis and conformance checking. We conduct a series of process mining experiments to study self-loops, back-and-forth, issue reopen, unique traces, event frequency, activity frequency, bottlenecks and present an algorithm and metrics to compute the degree of conformance between the design time and the runtime process.",Proceedings of the 7th India Software Engineering Conference (ISEC '14),conference paper,,,,,1--10,ACM,False,,,openalex,doi_exact
3f99a9fa,acm,acm_principal,ACM Principal,10.1145/3695750.3695822,Automatic Generation of Logical Specifications for Behavioural Models,"Klimek, Radoslaw; Witek, Julia",2024,"Logical specifications for behavioural models are crucial for the formal analysis of complex system designs. The automation of obtaining such a specification is essential particularly for promoting logical and deductive methods in software development. This article replicates earlier methods for automatically generating logical specifications equivalent to behavioural models, while also extending the approach to include workflow mining processes. Various and effective interactions with existing theorem provers are also proposed. We conducted straightforward, yet comprehensive, experiments covering multiple stages, which include workflow extraction, automatic logical specification generation, and theorem prover based analysis and the evaluation of these specifications.",Proceedings of the 2024 Workshop on Replications and Negative Results (RENE '24),conference paper,,,,,1--7,ACM,False,,,openalex,doi_exact
d1ed6154,acm,acm_principal,ACM Principal,10.1145/2591062.2591080,"Nirikshan: Process Mining Software Repositories to Identify Inefficiencies, Imperfections, and Enhance Existing Process Capabilities","Gupta, Monika",2014,"Process mining is to extract knowledge about business processes from data stored implicitly in ad-hoc way or explicitly by information systems. The aim is to discover runtime process, analyze performance and perform conformance verification, using process mining tools like ProM and Disco, for single software repository and processes spanning across multiple repositories. Application of process mining to software repositories has recently gained interest due to availability of vast data generated during software development and maintenance. Process data are embodied in repositories which can be used for analysis to improve the efficiency and capability of process, however, involves a lot of challenges which have not been addressed so far. Project team defines workflow, design process and policies for tasks like issue tracking (defect or feature enhancement), peer code review (review the submitted patch to avoid defects before they are injected) etc. to streamline and structure the activities. The reality may not be the same as defined because of imperfections so the extent of non-conformance needs to be measured. We propose a research framework `Nirikshan' to process mine the data of software repositories from multiple perspectives like process, organizational, data and time. We apply process mining on software repositories to derive runtime process map, identify and remove inefficiencies and imperfections, extend the capabilities of existing software engineering tools to make them more process aware, and understand interaction pattern between various contributors to improve the efficiency of project.",Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,,,658--661,ACM,False,,,openalex,doi_exact
6fd30d7e,acm,acm_principal,ACM Principal,10.1145/2591062.2591152,Process Mining Software Repositories from Student Projects in an Undergraduate Software Engineering Course,"Mittal, Megha; Sureka, Ashish",2014,"An undergraduate level Software Engineering courses generally consists of a team-based semester long project and emphasizes on both technical and managerial skills. Software Engineering is a practice-oriented and applied discipline and hence there is an emphasis on hands-on development, process, usage of tools in addition to theory and basic concepts. We present an approach for mining the process data (process mining) from software repositories archiving data generated as a result of constructing software by student teams in an educational setting. We present an application of mining three software repositories: team wiki (used during requirement engineering), version control system (development and maintenance) and issue tracking system (corrective and adaptive maintenance) in the context of an undergraduate Software Engineering course. We propose visualizations, metrics and algorithms to provide an insight into practices and procedures followed during various phases of a software development life-cycle. The proposed visualizations and metrics (learning analytics) provide a multi-faceted view to the instructor serving as a feedback tool on development process and quality by students. We mine the event logs produced by software repositories and derive insights such as degree of individual contributions in a team, quality of commit messages, intensity and consistency of commit activities, bug fixing process trend and quality, component and developer entropy, process compliance and verification. We present our empirical analysis on a software repository dataset consisting of 19 teams of 5 members each and discuss challenges, limitations and recommendations.",Companion Proceedings of the 36th International Conference on Software Engineering (ICSE Companion 2014),conference paper,,,,,344--353,ACM,False,,,openalex,doi_exact
2ee3dc10,acm,acm_principal,ACM Principal,10.1145/2723742.2723763,Ahaan: Software Process Intelligence: Mining Software Process Data for Extracting Actionable Information,"Sureka, Ashish; Kumar, Atul; Gupta, Shrinath",2015,"Software Processes consist of a structured set of activities performed during creation and maintenance of software products. The construction and subsequent maintenance of a software is facilitated by several applications and tools. Some of the tools such as Issue Tracking System (ITS) and Version Control System (VCS) can be classified as Process Aware Information System (PAIS) logging data consisting of events, activities, time-stamp, user or actor and context specific information. Such events or trace data generated by information systems used during software construction (as part of the software development process) contains valuable information which can be mined for gaining useful insights and actionable information. Software Process Intelligence (SPI) is an emerging and evolving discipline involving mining and analysis of software processes. This is modeled on the lines of Business Process Intelligence (BPI), but with the focus on software processes and its applicability in software systems. In this paper, we present a generic framework for Software Process Intelligence and some of its applications.",Proceedings of the 8th India Software Engineering Conference (ISEC '15),conference paper,,,,,198--199,ACM,False,,,openalex,doi_exact
8c42d0fe,acm,acm_principal,ACM Principal,10.1145/2600821.2600842,Agile Development with Software Process Mining,"Rubin, Vladimir; Lomazova, Irina; van der Aalst, Wil M. P.",2014,"Modern companies continue investing more and more in the creation, maintenance and change of software systems, but the proper specification and design of such systems continues to be a challenge. The majority of current approaches either ignore real user and system runtime behavior or consider it only informally. This leads to a rather prescriptive top-down approach to software development.",Proceedings of the 2014 International Conference on Software and System Process (ICSSP '14),conference paper,,,,,70--74,ACM,False,,,openalex,doi_exact
50d875ff,acm,acm_principal,ACM Principal,10.1145/3275245.3275286,Kanban and Process Mining in the Task Management,"Mendes, Vitor; Faria Junior, Elio Ribeiro; Garcia, Cleiton; Malucelli, Andreia",2018,"In a world continuously changing with markets that are in permanent evolution and in contend, the companys must inovate, be more flexible, offer quality and respond swiftly. These factors do not apply for product manufacture processes only, but for software development processes aswell. This paper describes an account of experiences with the use of Kanban to improve the activities management in an ERP's development. To do this, a mapping of the current process was carried out, so to propose a set of improvements in the management of activities. As a result, a set of tools were implemented to enable a clear view and control over the activities, as well as to integrate the Issue Tracking System with the Kanban board. Furthermore, a process mining technique was used to estimate the time of conclusion of the activities and to detect performance problem.",Proceedings of the XVII Brazilian Symposium on Software Quality (SBQS '18),conference paper,,,,,269--278,ACM,False,,,,
e23bbc10,acm,acm_principal,ACM Principal,10.1145/2695664.2696046,Mining Software Development Process Variations,"Santos, Renata M. S.; Oliveira, Toacy C.; Abreu, Fernando Brito e",2015,"Process tailoring aims to customize a software process to better suit the specific needs of an organization when executing a software project or due to a social context in which the process is inserted. Tailoring happens, in general, through variations in the process elements, such as activities, artifacts, and control flows. This paper aims to introduce a technique that uses process mining to uncover elements from the software process that are candidates for tailoring. The proposed approach analyzes the execution logs from several process instances that share a common standard process. As a result, execution traces that differ from the standard process flow are identified and assessed to uncover their variable elements. The proposed technique was evaluated with data extracted from a real software development scenario when a large system was under development for a set of Brazilian Federal Institutes of Education, Science and Technology.",Proceedings of the 30th Annual ACM Symposium on Applied Computing (SAC '15),conference paper,,,,,1657--1660,ACM,False,,,openalex,doi_exact
803096b6,acm,acm_principal,ACM Principal,10.1145/3486622.0000004,Modular Design Patterns for Systems that Learn and Reason,"van Harmelen, Frank",2022,"The combination of data-driven techniques from machine learning with symbolic techniques from knowledge representation is recognised as one of the grand challenges of modern AI. We propose a set of compositional design patterns to describe a large variety of systems that combine statistical techniques from machine learning with symbolic techniques from knowledge representation. As in other areas of computer science (knowledge engineering, software engineering, ontology engineering, process mining and others), such design patterns help to systematize the literature, clarify which combinations of techniques serve which purposes, and encourage re-use of software components. We have validated our set of compositional design patterns against a large body of recent literature.",IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT '21),conference paper,,,,,4,ACM,False,,,,
0803f194,acm,acm_principal,ACM Principal,10.1145/2904354.2904368,Exploring the Impact of Situational Context: A Case Study of a Software Development Process for a Microservices Architecture,"O'Connor, Rory V.; Elger, Peter; Clarke, Paul M.",2016,"Over the decades, a variety of software development processes have been proposed, each with their own advantages and disadvantages. It is however widely accepted that there is no single process that is perfectly suited to all settings, thus a software process should be molded to the needs of its situational context. In previous work, we have consolidated a substantial body of related research into an initial reference framework of the situational factors affecting the software development process. Practitioners can consult this framework in order to profile their context, a step necessary for effective software process decision making. In this paper, we report on the findings from a case study involving process discovery in a small but successful and growing software development firm. In this organization, which has a focus on continuous software evolution and delivery, we also applied the situational factors reference framework, finding that context is a complex and key informant for software process decisions. Studies of this type highlight the role of situational context in software process definition and evolution, and they raise awareness not just of the importance of situational context, but also of the complexity surrounding software process contexts, a complexity which may not be fully appreciated in all software development settings.",Proceedings of the International Conference on Software and Systems Process (ICSSP '16),conference paper,,,,,6--10,ACM,False,,,openalex,doi_exact
