row_idx,internal_id,title,ta_decision_primary,ta_decision_verifier,verifier_model,raw
1,808e8ac2,Architecture Enforcement Concerns and Activities - An Expert Study,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica um estudo sobre enforcement de arquitetura de software, sem qualquer sinal de process mining, modelagem estocástica, forecasting ou mineração de repositórios. O tema central parece ser prática de arquitetura de SW (EC2/EC4), não o processo de desenvolvimento analisado via event logs ou modelos estocásticos."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": "
0,59e1b494,Phylogenetic Analysis of Reticulate Software Evolution,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica filogenia computacional (biologia molecular) para analisar evolução de versões de software via diferenciação de árvores sintáticas abstratas, não utilizando process mining, modelagem estocástica, forecasting de métricas de processo ou mineração de repositórios para descoberta/melhoria de processos de desenvolvimento de software. O 'software' aqui é o objeto de estudo evolutivo (código-fonte), não o processo de desenvolvimento sendo minerado ou previsto."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"", ""EC3""],
  ""evidence_tags"": [""v"
3,a26c7f77,Learning Scatter Artifact Correction in Cone-Beam X-Ray CT Using Incomplete Projections with Beam Hole Array,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título refere-se claramente a correção de artefatos de dispersão em tomografia computadorizada de raios X (CT), domínio de imagens médicas, sem qualquer relação com process mining, modelagem estocástica de processos de SW ou repositórios de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
2,a3927884,Enhancing version control with domain-specific semantics,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de controle de versão e edição colaborativa de modelos em ambientes MDE/DSML, usando VCS para serialização e merge de modelos. O foco é em 'software' como ferramenta/plataforma, não na mineração ou análise do processo de desenvolvimento de software; não há process mining, modelagem estocástica, forecasting ou mineração de repositórios para descoberta de processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""version_control""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"""
4,e6734171,"Distribution Transformer's Loss of Life Considering Residential Prosumers Owning Solar Shingles, High-Power Fast Chargers and Second-Generation Battery Energy Storage",exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata do envelhecimento de transformadores de distribuição elétrica no contexto de veículos elétricos e energia solar residencial, sem qualquer relação com processos de desenvolvimento de software, mineração de repositórios ou process mining."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""probabilistic_model"",
  ""forecast_target"": ""reliability"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
5,87482f5a,"Leveraging LLM-based data augmentation for automatic classification of
recurring tasks in software development projects",exclude,include,claude-sonnet-4-6,"```json
{
  ""decision"": ""include"",
  ""rationale"": ""O estudo usa issue tracking systems para classificar tarefas de projetos de software, aplicando ML sobre dados de repositórios de projetos industriais (IC4), e aborda planejamento de recursos e simulação de processos de SW (IC2/IC3 marginalmente). O foco é na categorização automatizada de tarefas de processos de desenvolvimento de software a partir de dados de ITS, atendendo IC4."",
  ""matched_ic"": [""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""issue_tracking"", ""forecasting"", ""repository_mining""],
  ""software_context"": ""i"
6,b55c5db2,Combining Risk Analysis and Security Testing,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título 'Combining Risk Analysis and Security Testing' não apresenta indicadores de process mining, modelagem estocástica de processos de SW ou forecasting de métricas de processo; o foco aparente é em segurança/testes, sem evidência de atendimento a nenhum IC. A ausência de abstract impede reavaliação, mas o título é suficientemente claro para excluir."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""software_testing"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"
7,1c4606b9,PCGD: Principal components-based great deluge method for solving CNOP,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de meteorologia/oceanografia (CNOP para previsão climática no modelo Zebiak-Cane), sem qualquer relação com processos de desenvolvimento de software ou mineração de repositórios. Nenhum critério de inclusão da SLR PATHCAST é atendido."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""other_stochastic"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
8,d2972d40,Synthesis and Implementation of Distributed Supervisory Controllers with Communication Delays,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de controle supervisório distribuído para sistemas de eventos discretos industriais/de controle, sem qualquer relação com processos de desenvolvimento de software, mineração de repositórios ou forecasting de métricas de processo de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
9,c3463d1c,Runtime Verification for Generic Classes with ConGu 2,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica foco em verificação de runtime para classes genéricas com uma ferramenta específica (ConGu 2), o que se enquadra em software como ferramenta/implementação, sem relação com process mining, modelagem estocástica ou forecasting de processos de SW. A ausência de abstract não oferece evidência de relevância para o escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""pro"
10,da02d8ce,Model Checking PBFT Consensus Mechanism in Healthcare Blockchain Network,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica CTMC para modelar o desempenho de redes blockchain no contexto de saúde (healthcare), não em processos de desenvolvimento de software. O domínio é claramente fora do escopo da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""stochastic_modeling"", ""markov"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""simulated_process"",
  ""confidence"": ""high""
}
```"
12,e5ce99f3,Research on visualization techniques in data mining,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de técnicas de visualização em data mining de forma genérica, sem relação com process mining, processos de desenvolvimento de software ou modelagem estocástica. Nenhum critério de inclusão é atendido e o foco é em visualização de dados, não em processos de SW."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"", ""EC3""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
11,a287b44a,Related Work,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título 'Related Work' não identifica um paper independente, sendo provavelmente uma seção de capítulo ou livro, sem abstract disponível e sem qualquer evidência de atender aos critérios de inclusão da SLR."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""low""
}
```"
14,c053252a,Hydrological Response to Climate and Land Use Changes in the Dry–Warm Valley of the Upper Yangtze River,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de processos hidrológicos e mudanças climáticas/uso do solo em bacia hidrográfica, sem qualquer relação com processos de desenvolvimento de software. O domínio é claramente hidrologia/geociências, não engenharia de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""markov""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""high""
}
```"
13,a019b2cb,Dynamic Property Preservation in AIoT: A Machine Learning Approach for Data-Efficient Model Transformation,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aplica Markov chains para preservação de propriedades em transformações de modelos no domínio AIoT (model-driven development), onde o 'software' é ferramenta/implementação e não o processo de desenvolvimento em si sendo estudado. Não há aplicação a event logs, repositórios ou processos de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2"", ""EC3""],
  ""evidence_tags"": [""markov"", ""reliability"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": ""n"
15,91e32835,Exploring How Students Test Models in Conceptual Modelling,exclude,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O estudo aplica process mining a logs de interação de estudantes com uma ferramenta de simulação de modelos conceituais em contexto educacional, não a processos de desenvolvimento de software. O 'software' aqui é ferramenta/objeto de estudo educacional, não o processo de SW sendo analisado (EC2)."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""simulation""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""event_"
