internal_id,title,doi,year,source_db,ta_decision,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,raw
6fd0b9b2,Examining Case Management Demand using Event Log Complexity Metrics,10.1109/EDOCW.2014.25,2014,wos,maybe,exclude,"O paper trata de process mining e métricas de qualidade de event logs, atendendo IC1 formalmente. Porém, o domínio é case management genérico (BPM) sem evidência explícita de aplicação a software development processes. EC1 se aplica: o trabalho não trata processos de desenvolvimento de software, mas processos de negócio estruturados (case management). A ênfase em descoberta de modelos de processo ",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper trata de process mining e métricas de qualidade de event logs, atendendo IC1 formalmente. Porém, o domínio é case management genérico (BPM) sem evidência explícita de aplicação a software development processes. EC1 se aplica: o trabalho não trata processos de desenvolvimento de software, mas processos de negócio estruturados (case management). A ênfase em descoberta de modelos de processo e qualidade de logs não estabelece nexo com SE."","
6ea2a63e,A decision model for software maintenance,10.1287/isre.1040.0037,2004,wos,maybe,exclude,"O artigo apresenta um modelo estocástico teórico para decisão de manutenção de software, sem evidência clara de que o modelo seja aplicado a dados reais de processos de desenvolvimento (event logs, repositórios, VCS). Não atende IC1 (sem process mining), não atende IC4 (sem mineração de repositórios), e IC2/IC3 requerem aplicação empírica a processos de SW reais ou descoberta de padrões em dados —",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo apresenta um modelo estocástico teórico para decisão de manutenção de software, sem evidência clara de que o modelo seja aplicado a dados reais de processos de desenvolvimento (event logs, repositórios, VCS). Não atende IC1 (sem process mining), não atende IC4 (sem mineração de repositórios), e IC2/IC3 requerem aplicação empírica a processos de SW reais ou descoberta de padrões em dados — o resumo sugere framework teórico puro com uma i"
141ea507,"Hybrid modeling and simulation for trustworthy software process
management: a stakeholder-oriented approach",10.1002/smr.480,2012,wos,maybe,exclude,"O artigo aborda modelagem e simulação de processos de software usando técnicas híbridas (discrete e continuous), mas não apresenta evidência clara de aplicação de process mining, forecasting de métricas de processo, ou análise de event logs. O foco é em framework conceitual de gestão de processos com perspectiva de stakeholders, sem mineração de dados reais de repositórios ou predição de métricas ",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aborda modelagem e simulação de processos de software usando técnicas híbridas (discrete e continuous), mas não apresenta evidência clara de aplicação de process mining, forecasting de métricas de processo, ou análise de event logs. O foco é em framework conceitual de gestão de processos com perspectiva de stakeholders, sem mineração de dados reais de repositórios ou predição de métricas de processo."",
  ""matched_ic"": [],
  ""matched_ec"""
0232276d,Software Process Modeling Support for Management Planning and Control,10.1109/icsp.1991.664337,2005,snowball,maybe,exclude,"O paper aborda modelagem de processos de software com simulações estocásticas para planejamento gerencial, atendendo IC2 em teoria. Porém, não há evidência no resumo de aplicação a dados reais de processos de software (event logs, repositórios, commits, issues), nem de forecasting de métricas específicas de processo (lead time, cycle time, etc.). Trata-se de abordagem teórica/metodológica de simul",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aborda modelagem de processos de software com simulações estocásticas para planejamento gerencial, atendendo IC2 em teoria. Porém, não há evidência no resumo de aplicação a dados reais de processos de software (event logs, repositórios, commits, issues), nem de forecasting de métricas específicas de processo (lead time, cycle time, etc.). Trata-se de abordagem teórica/metodológica de simulação aplicada a um 'exemplo realista' fictício, s"
263de40a,Mining message sequence graphs,10.1145/1985793.1985807,2011,ieee,include,exclude,"Embora o paper aplique mining a traces de programas, o foco é em descoberta de especificações e compreensão de comportamento de programas concorrentes, não em processos de desenvolvimento de software (CI/CD, repositórios, issue tracking, etc.). Não há qualquer menção a forecasting, modelagem estocástica ou métricas de processo de desenvolvimento. O escopo é mining de comportamento dinâmico de sist",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o paper aplique mining a traces de programas, o foco é em descoberta de especificações e compreensão de comportamento de programas concorrentes, não em processos de desenvolvimento de software (CI/CD, repositórios, issue tracking, etc.). Não há qualquer menção a forecasting, modelagem estocástica ou métricas de processo de desenvolvimento. O escopo é mining de comportamento dinâmico de sistemas distribuídos em tempo de execução, não proce"
cb3f5728,Process Mining of Event Logs from Horde Helpdesk,10.1007/978-3-030-01659-3_35,2019,springer,maybe,exclude,"O título indica process mining de event logs, porém em contexto de Horde Helpdesk (sistema de suporte técnico genérico), não de processos de desenvolvimento de software. Sem abstract disponível e com domínio claramente fora de SW (EC1), não há evidência confiável de IC1, IC2, IC3 ou IC4 aplicados a SW. A aplicação é a BPM/helpdesk, não engenharia de software.",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica process mining de event logs, porém em contexto de Horde Helpdesk (sistema de suporte técnico genérico), não de processos de desenvolvimento de software. Sem abstract disponível e com domínio claramente fora de SW (EC1), não há evidência confiável de IC1, IC2, IC3 ou IC4 aplicados a SW. A aplicação é a BPM/helpdesk, não engenharia de software."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1""],
  ""evidence_tags"": [""process_mining"", ""e"
857a548f,Agents and Organization Studies,10.1007/978-3-030-98816-6_3,2022,springer,maybe,exclude,"Resumo ausente e título genérico ('Agents and Organization Studies') não fornece evidência suficiente de relação com processos de software, process mining ou modelagem estocástica aplicada a SW. A menção anterior a 'simulação de processo de negócios baseada em agentes' sugere contexto organizacional geral, não especificamente de desenvolvimento de software. Sem abstract, não há confirmação de que ",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Resumo ausente e título genérico ('Agents and Organization Studies') não fornece evidência suficiente de relação com processos de software, process mining ou modelagem estocástica aplicada a SW. A menção anterior a 'simulação de processo de negócios baseada em agentes' sugere contexto organizacional geral, não especificamente de desenvolvimento de software. Sem abstract, não há confirmação de que algum IC (IC1–IC4) se aplique ao domínio de engen"
4d9e0781,OER-Miner: One-Off Episode Rule Mining for Process Event Logs,10.1109/tetc.2025.3607892,2025,snowball,include,exclude,"Embora o paper trate de episode mining em event logs de processos, não há evidência no resumo de que o contexto seja especificamente processos de desenvolvimento de software (IC1 requer aplicação a artefatos de SW como commits, issues, PR, CI/CD). O abstract menciona 'fault reports', 'web navigation logs' e 'production process' (manufatura/operacional), sem qualquer link explícito a SW development",,EC1,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o paper trate de episode mining em event logs de processos, não há evidência no resumo de que o contexto seja especificamente processos de desenvolvimento de software (IC1 requer aplicação a artefatos de SW como commits, issues, PR, CI/CD). O abstract menciona 'fault reports', 'web navigation logs' e 'production process' (manufatura/operacional), sem qualquer link explícito a SW development. EC1 (domínio fora de SW) aplica-se."",
  ""matche"
8d00806a,"Predicting software reliability via completely monotone nonparametric
estimator with grouped data",10.1016/j.jss.2016.03.047,2016,wos,include,exclude,"O artigo foca exclusivamente em modelagem de confiabilidade de software (software reliability models) baseada em dados de falhas, sem aplicação de process mining, análise de event logs de processos de desenvolvimento, ou forecasting de métricas de processo de SW (lead time, cycle time, throughput). Não há evidência de mineração de repositórios, artefatos de desenvolvimento (commits, issues, PRs) o",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo foca exclusivamente em modelagem de confiabilidade de software (software reliability models) baseada em dados de falhas, sem aplicação de process mining, análise de event logs de processos de desenvolvimento, ou forecasting de métricas de processo de SW (lead time, cycle time, throughput). Não há evidência de mineração de repositórios, artefatos de desenvolvimento (commits, issues, PRs) ou processos de engenharia de software real. O esc"
b8eef6e0,"Knowledge acquisition and process guidance for building system dynamics
simulation models: An experience report from software industry",10.1142/S0218194000000213,2000,wos,maybe,exclude,"O paper apresenta System Dynamics como ferramenta prescritiva para guidance na construção de modelos de processos de software, mas não aplica process mining, análise de event logs, ou forecasting de métricas de processo. Foca em metodologia e knowledge acquisition para SD modeling, não em descoberta/predição baseada em dados reais de processos de SW. Não atende IC1, IC3 ou IC4; apenas tangencia IC",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper apresenta System Dynamics como ferramenta prescritiva para guidance na construção de modelos de processos de software, mas não aplica process mining, análise de event logs, ou forecasting de métricas de processo. Foca em metodologia e knowledge acquisition para SD modeling, não em descoberta/predição baseada em dados reais de processos de SW. Não atende IC1, IC3 ou IC4; apenas tangencia IC2 sem evidência de modelagem estocástica rigorosa"
ae2ea93f,Using Sysml to Describe a New Methodology for Semiautomatic Software Generation from Inferred Behavioral and Data Models,10.1109/ICONS.2009.50,2009,ieee,maybe,exclude,"O artigo aplica process mining (business process mining) para inferência de comportamento visando geração semiautomática de software usando SysML. Porém, o foco primário é em geração automática de código e design de software (EC2 — software como ferramenta/implementação), não na análise ou modelagem de processos de desenvolvimento de SW existentes. O 'process mining' aqui é um meio para gerar arte",,EC2,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O artigo aplica process mining (business process mining) para inferência de comportamento visando geração semiautomática de software usando SysML. Porém, o foco primário é em geração automática de código e design de software (EC2 — software como ferramenta/implementação), não na análise ou modelagem de processos de desenvolvimento de SW existentes. O 'process mining' aqui é um meio para gerar artefatos, não para estudar ou melhorar processos de "
8dea6481,Using influence diagrams for PERT,10.1109/PICMET.1997.653430,1997,ieee,maybe,exclude,"Embora o artigo trate de modelagem estocástica (Bayesian networks, influence diagrams, Monte Carlo) aplicada a projetos de software, não atende aos critérios de inclusão da SLR PATHCAST. O trabalho aplica PERT e técnicas de decisão estocástica ao planejamento de projeto, mas não há evidência de: (1) process mining (descoberta, conformance ou análise de event logs reais), (2) forecasting de métrica",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o artigo trate de modelagem estocástica (Bayesian networks, influence diagrams, Monte Carlo) aplicada a projetos de software, não atende aos critérios de inclusão da SLR PATHCAST. O trabalho aplica PERT e técnicas de decisão estocástica ao planejamento de projeto, mas não há evidência de: (1) process mining (descoberta, conformance ou análise de event logs reais), (2) forecasting de métricas de processo baseado em dados históricos/logs, ("
ec09271c,"Software process evaluation: a machine learning framework with
application to defect management process",10.1007/s10664-013-9254-z,2014,wos,maybe,exclude,"O paper aborda avaliação de processo de software (defect management) usando machine learning para classificação de sequências, mas não aplica process mining (descoberta, conformance, workflow mining), não usa modelagem estocástica explícita (Markov, Monte Carlo, Petri nets), não realiza forecasting de métricas de processo (lead time, cycle time, etc.), e não minera repositórios. Trata-se de classi",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper aborda avaliação de processo de software (defect management) usando machine learning para classificação de sequências, mas não aplica process mining (descoberta, conformance, workflow mining), não usa modelagem estocástica explícita (Markov, Monte Carlo, Petri nets), não realiza forecasting de métricas de processo (lead time, cycle time, etc.), e não minera repositórios. Trata-se de classificação genérica de sequências com ML para avalia"
40b18c35,Mining and Creating a Software Repositories Dataset,10.1109/NICS51282.2020.9335894,2020,ieee,maybe,exclude,"Embora o artigo trate de mineração de repositórios de software (IC4), o resumo indica foco em detecção de forks/duplicatas e análise de correlações com saúde/risco, sem evidência de descoberta de modelos de processo de SW, forecasting de métricas de processo ou modelagem estocástica. A mineração realizada é de natureza estática/descritiva, não processual ou preditiva conforme exigido pelo escopo P",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o artigo trate de mineração de repositórios de software (IC4), o resumo indica foco em detecção de forks/duplicatas e análise de correlações com saúde/risco, sem evidência de descoberta de modelos de processo de SW, forecasting de métricas de processo ou modelagem estocástica. A mineração realizada é de natureza estática/descritiva, não processual ou preditiva conforme exigido pelo escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [
"
d1f25d35,"A case study in modeling a human-intensive, corporate software process",10.1109/spcon.1994.344418,2002,snowball,maybe,exclude,"O paper descreve modelagem de processo de software usando Marvel 3.1 com foco em simulação e rastreamento, mas não atende aos critérios IC da SLR PATHCAST. Não há evidência de process mining (descoberta de eventos, análise de event logs), modelagem estocástica (Markov, Monte Carlo, Petri nets), forecasting de métricas de processo, ou mineração de repositórios. Trata-se de modelagem de processos tr",,EC3,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O paper descreve modelagem de processo de software usando Marvel 3.1 com foco em simulação e rastreamento, mas não atende aos critérios IC da SLR PATHCAST. Não há evidência de process mining (descoberta de eventos, análise de event logs), modelagem estocástica (Markov, Monte Carlo, Petri nets), forecasting de métricas de processo, ou mineração de repositórios. Trata-se de modelagem de processos tradicional com ferramenta de suporte, fora do esco"
0817c61a,An Alternative Issue Tracking Dataset of Public Jira Repositories,10.1145/3524842.3528486,2022,ieee,maybe,exclude,"Embora o paper contribua para repository mining (IC4), o resumo não fornece evidências de aplicação de process mining, modelagem estocástica ou forecasting a processos de desenvolvimento de SW. Trata-se primariamente de um dataset paper descritivo sem análise ou modelagem de processos, não atendendo aos critérios de inclusão de forma suficiente para a fase de texto completo.",,EC2,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Embora o paper contribua para repository mining (IC4), o resumo não fornece evidências de aplicação de process mining, modelagem estocástica ou forecasting a processos de desenvolvimento de SW. Trata-se primariamente de um dataset paper descritivo sem análise ou modelagem de processos, não atendendo aos critérios de inclusão de forma suficiente para a fase de texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC2""],
  ""evidence_tags"": [""rep"
0f90dee2,Simulation modelling practices of ProSim03 participants: a survey,10.1049/ic:20040445,2004,snowball,maybe,exclude,"Este é um survey sobre práticas de desenvolvimento de modelos de simulação de processos de software, não uma aplicação empírica de modelagem estocástica ou forecasting em processos de SW. O artigo relata percepções de participantes sobre práticas informais, mas não implementa, avalia ou demonstra técnicas de modelagem estocástica (Markov, Monte Carlo, etc.) em dados reais de processos de software.",,EC4,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""Este é um survey sobre práticas de desenvolvimento de modelos de simulação de processos de software, não uma aplicação empírica de modelagem estocástica ou forecasting em processos de SW. O artigo relata percepções de participantes sobre práticas informais, mas não implementa, avalia ou demonstra técnicas de modelagem estocástica (Markov, Monte Carlo, etc.) em dados reais de processos de software. Não atende claramente nenhum IC, pois não há (IC"
