internal_id,title,doi,year,source_db,source_query_id,source_query_label,ta_decision,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,ft_screened_by
9ea592cd,“Bottleneck Analysis in Software Development: A Case Study Using Process Mining”,10.1007/978-3-032-03708-4_22,2026,scopus,scopus_principal,Principal,maybe,include,"O paper aplica claramente Process Mining (descoberta de processo, conformance checking, modelagem preditiva) a artefatos e workflows de desenvolvimento de software (IDEs, task management systems), atendendo IC1. O abstract detalha identificação de bottlenecks, análise de event logs de processos de SW, e modelo preditivo para antecipar ineficiências futuras. Nenhum critério de exclusão se aplica.",IC1,,llm_pdf
2c1f1193,Continuous software monitoring backed by process mining: a systematic literature review,10.1007/s41060-025-01000-w,2026,scopus,scopus_principal,Principal,maybe,include,"O paper é uma SLR que foca explicitamente em process mining aplicado a monitoramento contínuo de software, atendendo IC1 (Process Mining em Software) e IC4 (Mineração de Repositórios/Artefatos para Processo). O resumo confirma aplicação de process mining a execuções de programas e sistemas de software, com design de sistema de monitoramento baseado em PM. Embora focado em observabilidade em runtime vs. processos de desenvolvimento, a intersecção com PM em contexto de SW é clara e não há EC decis",IC1|IC4,,llm_pdf
f7a54d4c,Architecting software monitors for control-flow anomaly detection through large language models and conformance checking,10.1016/j.infsof.2026.108133,2026,scopus,scopus_principal,Principal,include,include,"O paper aplica conformance checking (técnica nuclear em process mining) para análise de event logs gerados a partir de execução de software, com foco explícito em detecção de anomalias de control-flow. Atende claramente IC1: process mining (conformance checking) aplicado a artefatos de SW (event logs de execução, source code instrumentation). Nenhum critério de exclusão se aplica — o domínio é SW/sistemas de software, o estudo não trata software como ferramenta (é o objeto de análise), e a avali",IC1,,llm
e3d6d00e,Towards Streamlining Auditing for Compliance with Requirements in Open-Source Software at NASA,10.1109/DASC66011.2025.11257352,2025,ieee,ieee_manual_01,IEEE Manual 01,include,include,"O artigo aplica repository mining (Kaiaulu) a artefatos de software (version control, issue tracking, CI/CD) para analisar conformidade de processos de desenvolvimento em projeto real (NASA Copilot), atendendo claramente IC1 (process mining em software) e IC4 (mineração de repositórios para descobrir/modelar processos de SW). Nenhum critério de exclusão se aplica.",IC1|IC4,,llm
03b0c494,Stochastic conformance checking based on variable-length Markov chains,10.1016/j.is.2025.102561,2025,scopus,scopus_markov_testing,Markov + Software Testing (focal V6),include,include,"O paper atende claramente IC1 (conformance checking é core de process mining, aplicado a event logs) e IC2 (modelagem estocástica via Variable-length Markov Chains para síntese de processos estocásticos). A proposta usa VLMC para verificação de conformidade estocástica em logs, combinando técnicas de process mining e software performance engineering. Nenhum critério de exclusão se aplica — o foco é processo de software/programa (program runs), não domínio externo, e a avaliação é em benchmark da",IC1|IC2,,llm
69029db6,Process mining for agile software process assessment and improvement,10.1016/j.infsof.2025.107680,2025,scopus,scopus_principal,Principal,maybe,include,"O resumo confirma claramente IC1: aplica process mining (algoritmos de descoberta, análise de fluxo procedural, técnicas declarativas de business process) a artefatos de processos de desenvolvimento de software ágil, utilizando event logs de 3.418 projetos. Nenhum EC se aplica — o domínio é software, a ferramenta (process mining) é aplicada ao processo de desenvolvimento, e há avaliação empírica com validação de especialistas.",IC1,,llm_pdf
ed0ab009,PRIMAD: Building Digital Twins for Software Development Lifecycle within an Evolutionary Architecture,10.1109/SWC65939.2025.00261,2025,ieee,ieee_manual_01,IEEE Manual 01,include,include,"O artigo propõe PRIMAD, uma metodologia que claramente atende IC1 (minera issue-tracking systems como JIRA para descobrir processos de SDLC), IC2 (usa simulação estocástica e modelagem de atores para processos de SW) e IC3 (realiza forecasting de métricas de processo via machine learning). Nenhum critério de exclusão se aplica: o domínio é exclusivamente software engineering, o foco é o processo de desenvolvimento (não software como ferramenta), e a avaliação inclui componentes práticos (pm4py, ",IC1|IC2|IC3,,llm
bf72ff27,Mining and Assessing Issue Resolution Processes in Open Source Software Repositories,10.1109/CSCWD64889.2025.11033176,2025,scopus,scopus_principal,Principal,include,include,"O paper aplica process mining (Direct Follow Graphs, event log analysis de issues) a artefatos de software (repositórios GitHub/OSS) e minera repositórios para descobrir modelos de processo de resolução de issues e melhorar eficiência, atendendo claramente IC1 e IC4. Nenhum critério de exclusão se aplica.",IC1|IC4,,llm
43e84ac4,MINDS: An NLP-Driven Process Mining Framework for Superior Microservices Decomposition,10.1109/ACCESS.2025.3639460,2025,ieee,ieee_manual_01,IEEE Manual 01,include,include,"O paper aplica claramente process mining (inductive mining, event log analysis de user traces) a um artefato e processo de software (decomposição de microsserviços em arquitetura de SW). Atende IC1 (PM em SW via event logs) e IC4 (mineração de repositórios/traces para descobrir modelos de processo de SW). Não há violação de critérios de exclusão — o foco é no processo de desenvolvimento/arquitetura, não em SW como ferramenta ou domínio externo.",IC1|IC4,,llm
fa2cb37b,Enhanced What-If Scenarios Generation by Bridging Generative Models and Process Simulation,10.1109/ICPM66919.2025.11220730,2025,scopus,scopus_simulation_bridge,Process Mining + Simulation Models (focal V9),maybe,include,"O paper atende claramente IC1 ao aplicar process mining (geração e análise de event logs) com foco em simulação de cenários what-if em processos de software/business. Além disso, atende IC3 ao abordar forecasting e predição de comportamentos de processos através de modelos generativos integrados com simulação. A abordagem WISDOM combina descoberta de padrões em logs com geração de traces sintéticas, ambas atividades centrais em process mining aplicado a processos de desenvolvimento. Nenhum crité",IC1|IC3,,llm
