internal_id,source_db,source_query_id,source_query_label,doi,title,authors,year,abstract,venue,doc_type,keywords,url,publisher,abstract_source,abstract_match_type,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,ta_evidence_tags,ta_software_context,ta_stochastic_method,ta_forecast_target,ta_process_data_source,ta_confidence,ta_evidence_status,ta_manual_review_required,ta_screened_at,ta_batch_id,ft_priority_score,ft_priority_rank,ft_priority_band,ft_oa_url,ft_decision,ft_rationale,ft_matched_ic,ft_matched_ec,ft_evidence_tags,ft_software_context,ft_stochastic_method,ft_forecast_target,ft_process_data_source,ft_confidence,ft_evidence_status,ft_manual_review_required,ft_screened_at,ft_screened_by,ft_batch_id
,scopus,scopus_principal,Principal,10.24138/JCOMSS-2021-0046,Application of Constructive Modeling and Process Mining Approaches to the Study of Source Code Development in Software Engineering Courses,Shynkarenko V.,2021,"—We present an approach of constructing a source code history for a modern code review. Practically, it is supposed to be used in programming training, especially within initial stages. The developed constructor uses constructive-synthesizing modeling tools to classify a source code history by fine-grained changes and to construct an event log file aimed to provide information on students’ coding process. Current research applies Process Mining techniques to the software engineering domain to identify software engineering skills. By better understanding of the way students design programs, we will help novices learn programming. This research provides an innovative method of using code and development process review in teaching programming skills and is aimed to encourage using code review and monitoring coding practice in educational purposes. The standard method of evaluation takes into consideration only a final result, which doesn’t meet modern requirements of teaching programming.",Journal of Communications Software and Systems,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85122460621,,,,include,"O paper aplica process mining diretamente a artefatos de desenvolvimento de software (source code history, event logs) e usa modelagem construtiva para analisar processos de codificação de estudantes. Atende IC1 (process mining em software) e potencialmente IC2 (modelagem de processos de SW). Sem exclusões decisivas.",IC1|IC2,,,,,,,,,,2026-04-12T20:03:59.736124+00:00,msgbatch_01Bi2vvN8phka4m2zJ3y8JSf,131,1,A,https://jcoms.fesb.unist.hr/pdfs/v17n4_2021-0046_shynkarenko.pdf,include,"O paper aplica explicitamente process mining (descoberta de event logs a partir de source code history) a artefatos de desenvolvimento de software (commits, mudanças de código). Atende claramente IC1 — process mining em software. Usa modelagem construtiva-sintetizante para classificar mudanças e construir event logs, alinhado a IC2. Nenhum critério de exclusão se aplica: domínio é engenharia de software (ensino de programação), o foco é o processo de desenvolvimento, não software como ferramenta",IC1|IC2,,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_principal,Principal,10.1109/ACCESS.2021.3115941,Assessing the risk of software development in agile methodologies using simulation,Lunesu M.I.,2021,"Agile methodologies aim to reduce software development risk using short iterations, feature-driven development, continuous integration, testing automation, and other practices. However, the risk of project failure or time and budget overruns is still a relevant problem. This paper aims to present and discuss a new approach to model some key risk factors in agile development, using software process simulation modeling (SPSM), which can complement other approaches, and whose usage is particularly suited for agile development. We introduce a new approach to modeling some key risk factors – namely project duration, number of implemented issues, and key statistics of issue completion time – using a simulator of agile development, which we developed for this purpose. The approach includes modeling the agile process, gathering data from the tool used for project management, and performing Monte Carlo simulations of the process, to get insights about the expected time and effort to complete the project, and about their distributions. The model’s parameters that can cause risk are errors in effort estimation of the features to develop, variations in developers’ assignment to these features, impediments related to developers’ availability and work completion. To validate the simulator, and to demonstrate how the method can be used, we analyzed three open-source projects, gathering their data from JIRA repositories. We ran Monte Carlo simulations of these projects, showing that the simulator can well approximate the progress of the real project, then varying the identified risk factors and statistically evaluating their effects on the risk parameters. The proposed approach is relevant for project managers, being able to quantitatively evaluate the risks, provided that the process and the project’s data are properly modeled and gathered. As for the future, we are working to improve our risk assessment method, evaluating it on more case studies, scaling the model from a single team to multiple teams involved in one or more projects.",IEEE Access,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85117029269,,,,include,"O paper atende IC2 (modelagem estocástica em processos de SW usando Monte Carlo para modelar processo ágil) e IC3 (forecasting de métricas de processo como project duration, issue completion time). Utiliza dados de repositórios JIRA para validar o modelo em projetos reais, sem violações dos critérios de exclusão.",IC2|IC3,,,,,,,,,,2026-04-12T20:03:59.736124+00:00,msgbatch_01Bi2vvN8phka4m2zJ3y8JSf,131,2,A,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09548910.pdf,include,"O paper atende claramente IC2 (modelagem estocástica em processos de SW: uso de Monte Carlo para simular processo ágil com parâmetros estocásticos) e IC3 (forecasting de métricas de processo: predição de project duration, issue completion time, e effort distribution). Valida a abordagem com dados reais de repositórios JIRA de três projetos open-source. Nenhum critério de exclusão se aplica: o domínio é desenvolvimento de software (não EC1), o foco é o processo de desenvolvimento, não software co",IC2|IC3,,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_principal,Principal,10.1109/SANER60148.2024.00057,Comparative Study of Reinforcement Learning in GitHub Pull Request Outcome Predictions,Joshi R.,2024,"In the rapidly evolving field of software development, pull-based development models, facilitated by tools such as GitHub, are essential for collaboration. This study explores factors that influence pull request (PR) outcomes and employs two Reinforcement Learning (RL) formalizations, modeled as Markov Decision Processes, for PR outcome prediction. The first model leverages 72 PR features and achieves a G-mean score of 0.82664, while the second focuses solely on PR discussions, resulting in a G-mean of 0.88372. Using a specially designed reward function, these RL formalizations strategically address data imbalance and excel in mimicking both single-stage and multi-stage PR review processes. They outperform baseline models (Random Forest, X G Boost, and a Naive Bayes baseline) across various data splits-namely 80/20, 50/50, and 20/80-and are particularly effective at predicting PR rejections. The study also makes its datasets publicly available for future research.",Proceedings 2024 IEEE International Conference on Software Analysis Evolution and Reengineering Saner 2024,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85199810749,,,,include,"O artigo aplica modelagem estocástica (Markov Decision Processes via Reinforcement Learning) para prever outcomes de pull requests em processos de desenvolvimento de software, minerando dados de repositórios GitHub. Atende simultaneamente IC2 (modelagem estocástica em processos de SW), IC3 (forecasting de métricas de processo - PR outcomes) e IC4 (mineração de repositórios para processo).",IC2|IC3|IC4,,,,,,,,,,2026-04-12T20:03:59.736124+00:00,msgbatch_01Bi2vvN8phka4m2zJ3y8JSf,131,3,A,,include,"O paper aplica claramente Markov Decision Processes (modelagem estocástica) para prever outcomes de pull requests em processos de desenvolvimento de software, minerando dados de repositórios GitHub. Atende simultaneamente IC2 (modelagem estocástica em processos de SW via MDPs), IC3 (forecasting de métricas de processo - PR outcomes) e IC4 (mineração de repositórios GitHub para processo). Nenhum critério de exclusão se aplica.",IC2|IC3|IC4,,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_simulation_bridge,Process Mining + Simulation Models (focal V9),10.7717/PEERJ-CS.577,Discovering Generative Models From Event Logs: Data-driven Simulation Vs Deep Learning,Camargo M.,2021,"A generative model is a statistical model capable of generating new data instances from previously observed ones. In the context of business processes, a generative model creates new execution traces from a set of historical traces, also known as an event log. Two types of generative business process models have been developed in previous work: data-driven simulation models and deep learning models. Until now, these two approaches have evolved independently, and their relative performance has not been studied. This paper fills this gap by empirically comparing a data-driven simulation approach with multiple deep learning approaches for building generative business process models. The study sheds light on the relative strengths of these two approaches and raises the prospect of developing hybrid approaches that combine these strengths.",Peerj Computer Science,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85111778661,,,,include,"O paper compara abordagens de modelagem generativa em processos de negócio a partir de event logs, incluindo simulação dirigida por dados e deep learning. Atende IC1 (process mining em artefatos de SW via event logs) e IC2 (modelagem estocástica de processos), sem violações claras de EC.",IC1|IC2,,,,,,,,,,2026-04-12T20:13:11.235489+00:00,msgbatch_014epxmAhDxpMiXrt3wqCGFY,131,4,A,https://doi.org/10.7717/peerj-cs.577,exclude,"O paper foca em modelagem generativa de processos de negócio a partir de event logs, comparando simulação data-driven com deep learning. Porém, o resumo não evidencia aplicação específica a processos de desenvolvimento de software (commits, issues, PR, CI/CD) — aborda 'business processes' genéricos. Sem confirmação de que os event logs ou experimentos envolvem artefatos de SW ou processos de eng. de software, não há atendimento conclusivo de IC1 (que exige 'artefatos de SW'). IC2 (modelagem esto",,EC3,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_simulation_bridge,Process Mining + Simulation Models (focal V9),10.1109/ICPM60904.2023.10271965,Discovery and Simulation of Business Processes with Probabilistic Resource Availability Calendars,Lopez-Pintado O.,2023,"In the field of business process simulation, the availability of resources is captured by assigning a calendar to each resource, e.g., Monday-Friday 9:00-18:00. Resources are assumed to be always available to perform activities during their calendar. This assumption often does not hold due to interruptions, breaks, or because resources time-share across multiple processes. A simulation model that captures availability via crisp time slots (a resource is either on or off during a slot) does not capture these behaviors, leading to inaccuracies in the simulation output. This paper presents a simulation approach wherein resource availability is modeled probabilistically. In this approach, each availability time slot is associated with a probability, allowing us to capture, for example, that a resource is available on Fridays between 14:00-15:00 with 90% probability and between 17:00-18:00 with 50% probability. The paper proposes an algorithm to discover probabilistic availability calendars from event logs. An empirical evaluation shows that simulation models with probabilistic calendars discovered from event logs, replicate the temporal distribution of activity instances and cycle times of a process more closely than simulation models with crisp calendars.",Proceedings 2023 5th International Conference on Process Mining Icpm 2023,conference paper,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85175461995,,,,include,"O paper atende IC1 (aplica process mining com descoberta de calendários probabilísticos a partir de event logs) e IC2 (usa modelagem estocástica com probabilidades para disponibilidade de recursos em processos de negócio). Adicionalmente, aborda simulação de processos com foco em distribuições temporais e cycle times, alinhado com IC3. Não há indicadores de EC aplicáveis.",IC1|IC2|IC3,,,,,,,,,,2026-04-12T20:13:11.235489+00:00,msgbatch_014epxmAhDxpMiXrt3wqCGFY,131,5,A,,include,O paper atende claramente IC1 (descobre calendários de disponibilidade de recursos probabilísticos a partir de event logs usando process mining) e IC2 (modela a disponibilidade de recursos como variáveis estocásticas com probabilidades para capturar comportamentos reais em processos de negócio). A avaliação empírica valida que modelos de simulação com calendários probabilísticos replicam melhor distribuições temporais e cycle times. Nenhum critério de exclusão se aplica.,IC1|IC2,,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_principal,Principal,10.1109/ACCESS.2021.3136138,Extending the Space of Software Test Monitoring: Practical Experience,Lasynskyi M.,2021,"Software reliability depends on the performed tests. Bug detection and diagnosis are based on test outcome (oracle) analysis. Most practical test reports do not provide sufficient information for localizing and correcting bugs. We have found the need to extend the space of test result observation in data and time perspectives. This resulted in tracing supplementary test result features in event logs. They are explored with combined text mining and log parsing techniques. Another important point is correlating test life cycle with project development history journaled in issue tracking and software version control repositories. Dealing with the outlined problems, neglected in the literature, we have introduced original analysis schemes. They focus on assessing test coverage, reasons of low diagnosability, and test result profiles. Multidimensional investigation of test features and their management is supported with the developed test infrastructure. This assures a holistic insight into the test efficiency to identify test scheme deficiencies (e.g., functional inadequacy, aging, insufficient coverage) and possible improvements (test set updates). Our studies have been verified in relevance to a real commercial project (industrial case study) and confronted with the experience of testers engaged in other projects.",IEEE Access,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85121802326,,,,include,"O paper aplica análise de event logs e técnicas de mining (text mining e log parsing) a artefatos de software (test reports, issue tracking, repositórios de controle de versão) para descobrir padrões e características de processos de teste e desenvolvimento de software, atendendo IC1 e IC4. Não se identifica exclusões decisivas.",IC1|IC4,,,,,,,,,,2026-04-12T20:03:59.736124+00:00,msgbatch_01Bi2vvN8phka4m2zJ3y8JSf,131,6,A,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09652520.pdf,exclude,"Embora o paper aplique técnicas de mining (text mining, log parsing) a artefatos de software (event logs, issue tracking, repositórios), o foco central é em **test monitoring e análise de test coverage**, não em **process mining de processos de desenvolvimento de software**. O mining de logs é instrumental para diagnóstico de testes, não para descoberta, conformance ou modelagem estocástica de processos de SW. Não há evidência de modelagem estocástica (IC2), forecasting de métricas de processo (",,EC3,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_principal,Principal,10.1016/j.heliyon.2024.e26969,LPMSAEF: Lightweight process mining-based software architecture evaluation framework for security and performance analysis,Sahlabadi M.,2024,"The article discusses the need for a lightweight software architecture evaluation framework that can address practitioners' concerns. Specifically, the proposed framework uses process mining and Petri nets to analyze security and performance in software development's early and late stages. Moreover, the framework has been implemented in six case studies, and the results show that it is a feasible and effective solution that can detect security and performance issues in complex and heterogeneous architecture with less time and effort. Furthermore, the article provides a detailed explanation of the framework's features, factors, and evaluation criteria. Additionally, this article discusses the challenges associated with traditional software architecture documentation methods using Unified Modeling Language diagrams and the limitations of code alone for creating comprehensive Software Architecture models. Various methods have been developed to extract implicit Software Architecture from code artifacts, but they tend to produce code-oriented diagrams instead of Software Architecture diagrams. Therefore, to bridge the model-code gap, the article proposes a framework that considers existing Software Architecture in the source code as architectural components and focuses on Software Architecture behaviors for analyzing performance and security. The proposed framework also suggests comparing Software Architecture extracted by different Process Mining algorithms to achieve consensus on architecture descriptions, using visualizations to understand differences and similarities. Finally, the article suggests that analyzing the previous version of a system's Software Architecture can lead to improvements and deviations from planned Software Architecture can be detected using traceability approaches to aid software architects in detecting inconsistencies.",Heliyon,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85186607263,,,,include,"O artigo aplica process mining e Petri nets para analisar processos de desenvolvimento de software (IC1 e IC2). Embora o foco seja arquitetura, a análise de comportamentos e padrões de artefatos de código através de process mining e modelagem estocástica (Petri nets) em contexto de SW atende aos critérios de inclusão. Nenhum critério de exclusão se aplica decisivamente.",IC1|IC2,,,,,,,,,,2026-04-12T20:03:59.736124+00:00,msgbatch_01Bi2vvN8phka4m2zJ3y8JSf,131,7,A,https://www.cell.com/article/S2405844024030007/pdf,exclude,"Embora o resumo mencione process mining e Petri nets, o foco central é análise de arquitetura de software (segurança e performance de componentes arquiteturais), não modelagem ou predição de processos de desenvolvimento de software. O framework extrai arquitetura do código e analisa comportamentos arquiteturais, o que não caracteriza IC1 (process mining em artefatos de SW como commits, issues, PR, CI/CD), IC2 (modelagem estocástica de processos de desenvolvimento), IC3 (forecasting de métricas d",,EC3,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_complementar,Complementar (MSR → Process Modeling),10.1109/TSE.2019.2892956,Mining Treatment-Outcome Constructs from Sequential Software Engineering Data,Nayebi M.,2021,"Many investigations in empirical software engineering look at sequences of data resulting from development or management processes. In this paper, we propose an analytical approach called the Gandhi-Washington Method (GWM) to investigate the impact of recurring events in software projects. GWM takes an encoding of events and activities provided by a software analyst as input. It uses regular expressions to automatically condense and summarize information and infer treatments. Relating the treatments to the outcome through statistical tests, treatment-outcome constructs are automatically mined from the data. The output of GWM is a set of treatment-outcome constructs. Each treatment in the set of mined constructs is significantly different from the other treatments considering the impact on the outcome and/or is structurally different from other treatments considering the sequence of events. We describe GWM and classes of problems to which GWM can be applied. We demonstrate the applicability of this method for empirical studies on sequences of file editing, code ownership, and release cycle time.",IEEE Transactions on Software Engineering,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85100909033,,,,include,"O paper atende IC1 (process mining em SW) ao aplicar técnicas de mineração de dados sequenciais a artefatos de desenvolvimento (file editing, code ownership, release cycles) e IC4 (mineração de repositórios) ao descobrir padrões de tratamento-resultado em dados de processos de engenharia de software. Não há aplicação clara de EC1-EC4.",IC1|IC4,,,,,,,,,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9,131,8,A,https://arxiv.org/pdf/1901.05604,exclude,"Embora o paper analise sequências de dados de processos de SW (file editing, code ownership, release cycles), ele não aplica process mining tradicional (descoberta de processos, conformance checking, workflow mining) nem modelagem estocástica explícita. O método GWM é uma abordagem estatística de mineração de padrões tratamento-resultado via expressões regulares, sem construir modelos de processos, event logs estruturados ou previsões de métricas de processo. Não atende claramente IC1 (PM em SW)",,EC3,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,ieee,ieee_manual_01,IEEE Manual 01,10.1109/SWC65939.2025.00261,PRIMAD: Building Digital Twins for Software Development Lifecycle within an Evolutionary Architecture,"Guinea-Cabrera, Miguel Ángel; Holgado-Terriza, Juan Antonio; Pico-Valencia, Pablo A.",2025,"Current Digital Twin (DT) adoption in the Software Development Lifecycle (SDLC) faces significant hurdles, including a lack of standardized methods, limited research, and isolated use cases. Optimizing value streams is crucial for modern software organizations, which are increasingly characterized by diverse and evolving roles. Implementing a digital twin in this context can significantly enhance the ability to identify opportunities for improvement and explore potential change scenarios. To overcome these adoption barriers, we propose PRIMAD, a progressive methodology for building an SDLC DT that delivers incremental benefits by leveraging existing empirical data from issue-tracking systems, such as JIRA. This approach resolves the ""cold start"" problem, enabling simulations to emerge directly from real-world behavior. Our methodology integrates a Python-based simulation core with an Akka actor system for modeling issues and resources, enriched by supervised machine learning for context-aware predictions. Preliminary results validating PRIMAD components independently (using pm4py, Akka, and LightGBM) show promising outcomes. This paper details our methodology, presents preliminary component-wise results, and outlines future work.",2025 IEEE Smart World Congress (SWC),conference paper,Buildings; Standards organizations; Machine learning; Organizations; Predictive models; Software agents; Digital twins; Software development management; Context modeling; Software engineering; digital twin; software agents; actor model; software engineering; machine learning,,,,,include,"O artigo propõe PRIMAD, uma metodologia para construir Digital Twins do SDLC usando dados de issue-tracking (JIRA) e simulação, integrando process mining (pm4py), modelagem estocástica (simulação) e forecasting de processos de desenvolvimento de software. Atende claramente IC1 (mineração de repositórios/issue-tracking para processo de SW), IC2 (modelagem estocástica via simulação para processos de SW) e IC3 (forecasting de métricas de processo).",IC1|IC2|IC3,,,,,,,,,,2026-04-12T20:01:56.462945+00:00,msgbatch_012oLPExHALeSFoTt5jvCfo9,131,9,A,,include,"O artigo propõe PRIMAD, uma metodologia que claramente atende IC1 (minera issue-tracking systems como JIRA para descobrir processos de SDLC), IC2 (usa simulação estocástica e modelagem de atores para processos de SW) e IC3 (realiza forecasting de métricas de processo via machine learning). Nenhum critério de exclusão se aplica: o domínio é exclusivamente software engineering, o foco é o processo de desenvolvimento (não software como ferramenta), e a avaliação inclui componentes práticos (pm4py, ",IC1|IC2|IC3,,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
,scopus,scopus_principal,Principal,10.3390/app14031260,Probabilistic Model Checking GitHub Repositories for Software Project Analysis,Jo S.,2024,"GitHub serves as a platform for collaborative software development, where contributors engage, evolve projects, and shape the community. This study presents a novel approach to analyzing GitHub activity that departs from traditional methods. Using Discrete-Time Markov Chains and probabilistic Computation Tree Logic for model checking, we aim to uncover temporal dynamics, probabilities, and key factors influencing project behavior. By explicitly modeling state transitions, our approach provides transparency and explainability for sequential properties. The application of our method to five repositories demonstrates its feasibility and scalability and provides insights into the long-term probabilities of various activities. In particular, the analysis provides valuable perspectives for project managers to optimize team dynamics and resource allocation. The query specifications developed for model checking allow users to generate and execute queries for specific aspects, demonstrating scalability beyond the queries we present. In conclusion, our analysis provides an understanding of GitHub repository properties, branch management, and subscriber behavior. We anticipate its applicability to various open-source projects, revealing trends among contributors based on the unique characteristics of repositories.",Applied Sciences Switzerland,article,,https://www.scopus.com/record/display.uri?eid=2-s2.0-85192460109,,,,include,"O artigo aplica Markov Chains (modelagem estocástica) e model checking para analisar repositórios GitHub, descobrindo dinâmicas temporais e probabilidades de atividades em processos de desenvolvimento de software. Atende IC2 (modelagem estocástica em processos de SW) e IC4 (mineração de repositórios para descoberta de processo), sem exclusões decisivas.",IC2|IC4,,,,,,,,,,2026-04-12T20:03:59.736124+00:00,msgbatch_01Bi2vvN8phka4m2zJ3y8JSf,131,10,A,https://www.mdpi.com/2076-3417/14/3/1260/pdf?version=1707119169,include,"O artigo aplica Discrete-Time Markov Chains e Probabilistic CTL para modelo e análise de repositórios GitHub, minerando dados de atividade para descobrir dinâmicas temporais e propriedades de processos de desenvolvimento de software. Atende claramente IC2 (modelagem estocástica em processos de SW via Markov Chains) e IC4 (mineração de repositórios GitHub para descoberta e análise de padrões de processo). Nenhum critério de exclusão se aplica.",IC2|IC4,,,,,,,,,,2026-04-12T21:13:39.514577+00:00,llm,msgbatch_0118tBZ4cKzvEAFGN35fnYSf
