internal_id,title,doi,year,source_db,ft_matched_ic,abstract,research_question,study_type,research_contribution,pm_technique,stochastic_technique,software_artifact,software_process,dataset_source,dataset_public,tool_used,main_finding,limitations,replication_package,origin,origin
3ddbfd94,Process mining framework for software processes,10.1007/978-3-540-72426-1_15,2007,scopus,IC1,,Como extrair e analisar modelos de processos de software a partir de informações armazenadas em sistemas de gerenciamento de configuração de software (SCM)?,tool,discovery | framework,alpha | inductive_miner | heuristic,none,vcs | commits,development,not_specified,não_mencionado,"ProM, CVS, Subversion","O framework ProM pode ser utilizado para extrair modelos de processos de software a partir de dados de SCM, permitindo que engenheiros identifiquem, entendam, analisem e otimizem seus processos de desenvolvimento através de process mining em múltiplas perspectivas (controle, informação e organização).",não_mencionado,não_mencionado,working_set,working_set
ddeca0e6,Using process mining metrics to measure noisy process fidelity,10.14236/ewic/ease2009.16,2009,scopus,IC1,"Background: When teams follow a software development process they do not follow the process consistently. We need a method to measure their fidelity to that process. Objective: To evaluate Rozinat and Aalst's metrics for process conformance to a state based model on noisy data (Rozinat and van der Aalst, 2008). Method: We instructed 14 teams that were developing a software system using Extreme Programming (XP) to record the events of their project (for example writing code, or testing). We calculated the values of the proposed metrics by comparing the data collected to a process model of XP. Results: 13 teams recoded data that we treat as a multiple case study. The fitness metric gave varying results over the teams that corresponded to the number of event types used in the correct order. The appropriateness metrics measured the same values for all teams. Conclusion: The fitness metric is useful for measuring fidelity, but the appropriateness metrics do not measure over fitting well with noisy data. In addition neither metric gave useful information about other aspects like iteration.",Métricas de conformance propostas para avaliar modelos de processos minerados são válidas para medir fidelidade a um processo desejado em dados reais e ruidosos de engenharia de software?,case_study,conformance | enhancement,conformance_checking,none,other,development,academic,não_mencionado,não_mencionado,"A métrica de fitness é útil para medir fidelidade ao processo, mostrando variações que correspondem ao uso correto de tipos de eventos na ordem esperada. As métricas de apropriabilidade não se mostraram eficazes em detectar overfitting em dados ruidosos e não forneceram informações sobre outros aspectos como iteração.","O estudo foi conduzido com 14 equipes em contexto acadêmico desenvolvendo com Extreme Programming, o que pode limitar a generalização. As métricas avaliadas não capturam adequadamente aspectos importantes do processo além da conformance simples.",não_mencionado,working_set,working_set
ee5ccaa2,Discovering changes of the change control board process during a software development project using process mining,10.1007/978-3-642-04133-4_11,2009,scopus,IC1,,Como o processo de Change Control Board (CCB) real desvia do processo documentado durante as diferentes fases do desenvolvimento de software e quais são as implicações dessas deviações para atividades de melhoria de processo?,case_study,discovery | conformance | enhancement,alpha | inductive_miner,none,jira | other,development | code_review,industrial,não,não_mencionado,"O estudo revelou que o processo CCB real diverge significativamente do processo documentado em 70% dos casos. A aplicação de process mining permitiu identificar atalhos e desvios causados por pressão de tempo e falta de disciplina durante diferentes fases do projeto, possibilitando propostas de melhoria de processo baseadas na prática real.",O estudo é específico para uma organização e um tipo particular de projeto de software (middleware embedded-software). Limitações sobre generalização dos resultados para outros contextos não são extensivamente discutidas.,não_mencionado,working_set,working_set
917f238d,Applicability of Process Discovery Algorithms for Software Organizations,10.1109/SEAA.2009.87,2009,ieee,IC1,,Qual é a aplicabilidade de algoritmos de descoberta de processos para identificar processos as-is em organizações de software? Como os resultados desses algoritmos se comparam com os processos realmente executados?,case_study,discovery | conformance,alpha | heuristic | declarative,markov_chain,vcs,code_review,industrial,não_mencionado,não_mencionado,"O estudo aplicou quatro algoritmos de descoberta de processos (RNet, Ktail, Markov Models e Heuristic Mining) em dados de processos de review de uma organização de software CMMI Nível 3. Os resultados foram comparados com processos realmente executados e definições escritas, evidenciando discrepâncias e fraquezas dos algoritmos, especialmente na modelagem de processos não estruturados.","Os algoritmos de process mining não são muito bem-sucedidos com processos não estruturados, gerando modelos tipo spaghetti e demasiadamente detalhados. A extração de dados foi realizada apenas do processo de review utilizando ferramentas de controle de configuração.",não_mencionado,working_set,working_set
c24db118,Toward objective software process information: Experiences from a case study,10.1007/s11219-010-9105-8,2011,scopus,IC1,"A critical problem in software development is the monitoring, control and improvement in the processes of software developers. Software processes are often not explicitly modeled, and manuals to support the development work contain abstract guidelines and procedures. Consequently, there are huge differences between ‘actual’ and ‘official’ processes: “the actual process is what you do, with all its omissions, mistakes, and oversights. The official process is what the book, i.e., a quality manual, says you are supposed to do” (Humphrey in A discipline for software engineering. Addison-Wesley, New York, 1995). Software developers lack support to identify, analyze and better understand their processes. Consequently, process improvements are often not based on an in-depth understanding of the ‘actual’ processes, but on organization-wide improvement programs or ad hoc initiatives of individual developers. In this paper, we show that, based on particular data from software development projects, the underlying software development processes can be extracted and that automatically more realistic process models can be constructed. This is called software process mining (Rubin et al. in Process mining framework for software processes. Software process dynamics and agility. Springer Berlin, Heidelberg, 2007). The goal of process mining is to better understand the development processes, to compare constructed process models with the ‘official’ guidelines and procedures in quality manuals and, subsequently, to improve development processes. This paper reports on process mining case studies in a large industrial company in The Netherlands. The subject of the process mining is a particular process: the change control board (CCB) process. The results of process mining are fed back to practice in order to subsequently improve the CCB process.","Como extrair e modelar automaticamente processos reais de desenvolvimento de software a partir de dados de sistemas de configuração, e como esses modelos se comparam com os processos oficiais documentados?",case_study,discovery | conformance | enhancement,alpha | heuristic,none,vcs | other,development | code_review | other,industrial,não_mencionado,não_mencionado,"O artigo demonstra que process mining pode ser aplicado com sucesso a processos de software rotineiros e estruturados, particularmente ao process Change Control Board (CCB), extraindo modelos de processo reais a partir de dados de SCM. Os modelos descobertos revelam diferenças significativas entre os processos 'oficiais' documentados e os processos 'reais' executados, fornecendo insights objetivos para melhorias de processo.","O estudo foca em processos rotineiros e estruturados de software, limitando a aplicabilidade a atividades criativas menos estruturadas. A qualidade dos resultados de process mining depende fortemente da preparação adequada dos dados.",não_mencionado,working_set,working_set
ad250ae5,Unsupervised discovery of intentional process models from event logs,10.1145/2597073.2597101,2014,scopus,IC1,,Como descobrir automaticamente modelos de processos intencionais a partir de logs de eventos de atividades de usuários em plataformas de software?,tool,discovery | framework,other,markov_chain,ide_logs | other,development | other,open_source,sim,Hidden Markov Models (HMMs),"O MapMinerMethod (MMM) automatiza a construção de modelos intencionais a partir de logs de eventos usando Hidden Markov Models para modelar estratégias de usuários. O método infere intenções e constrói modelos intencionais em granularidades finas e grosseiras usando a notação Map, gerando modelos que oferecem nova compreensão de processos de software e podem ser utilizados em sistemas de recomendação.",não_mencionado,não_mencionado,working_set,working_set
e58074e0,Applied process mining in software development,10.1109/SACI.2014.6840098,2014,ieee,IC1,,Qual é o modelo de processo real em um desenvolvimento de software terceirizado e quais são as diferenças entre o modelo teórico e o modelo real? Quais melhorias podem ser identificadas no processo para evitar retrabalho?,case_study,discovery | conformance | enhancement,heuristic,none,jira | other,development | requirements,industrial,não_mencionado,ProM 6.3,"O estudo aplicou técnicas de process mining para extrair o modelo real de processo de desenvolvimento de software de uma empresa automotiva, identificando desvios do modelo teórico inicial. O framework ProM foi utilizado para descobrir o processo, analisar a rede organizacional e extrair informações estatísticas, permitindo a identificação de gargalos e formulação de um plano de ação para melhoria.","A qualidade incompleta e inconsistente dos dados de log de eventos, oriundos de diferentes fontes com granularidades distintas, representa uma limitação. Outro desafio é o fator humano na implementação do processo, onde atividades podem ser executadas de forma diferente conforme o conhecimento e experiência de quem as realiza.",não_mencionado,working_set,working_set
e23bbc10,Mining Software Development Process Variations,10.1145/2695664.2696046,2015,acm,IC1,,Como usar process mining para identificar variações na execução de processos de software que são candidatas a tailoring? Quais elementos do processo diferem do fluxo padrão em execuções reais?,case_study,discovery | enhancement,alpha | inductive_miner | conformance_checking,none,other,development,industrial,não_mencionado,não_mencionado,"A técnica proposta utiliza process mining para descobrir e analisar variações em traces de execução que divergem do processo padrão definido, identificando elementos candidatos a tailoring. A abordagem foi validada em um cenário real de desenvolvimento de um grande sistema para institutos federais brasileiros de educação, ciência e tecnologia.",não_mencionado,não_mencionado,working_set,working_set
4f816525,"Software Development Process Mining: Discovery, Conformance Checking and Enhancement",10.1109/QUATIC.2016.061,2016,ieee,IC1,,"Como aplicar técnicas de process mining para descoberta, verificação de conformance e melhoria de processos de desenvolvimento de software?",theoretical,discovery | conformance | enhancement | framework,alpha | inductive_miner | heuristic | conformance_checking | other,none,vcs | commits | jira | other,development | testing | maintenance | code_review,not_specified,não_mencionado,não_mencionado,"A dissertação propõe uma abordagem integrada de process mining para descoberta automática de processos de desenvolvimento de software, verificação de conformidade com processos definidos e sugestões de melhorias baseadas em análise de dados históricos de repositórios de controle de versão.",Não mencionado nas páginas iniciais fornecidas.,não_mencionado,working_set,working_set
00ce8cfe,Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models Generated by Mining Event-Log Data in Issue Tracking Systems,10.1109/COMPSAC.2016.64,2016,scopus,IC1,"Issue Tracking Systems (ITS) such as Bugzilla can be viewed as Process Aware Information Systems (PAIS) generating event-logs during the life-cycle of a bug report. Process Mining consists of mining event logs generated from PAIS for process model discovery, conformance and enhancement. We apply process map discovery techniques to mine event trace data generated from ITS of open source Firefox browser project to generate and study process models. Bug life-cycle consists of diversity and variance. Therefore, the process models generated from the event-logs are spaghetti-like with large number of edges, inter-connections and nodes. Such models are complex to analyse and difficult to comprehend by a process analyst. We improve the Goodness (fitness and structural complexity) of the process models by splitting the event-log into homogeneous subsets by clustering structurally similar traces. We adapt the K-Medoid clustering algorithm with two different distance metrics: Longest Common Subsequence (LCS) and Dynamic Time Warping (DTW). We evaluate the goodness of the process models generated from the clusters using complexity and fitness metrics. We study back-forth and self-loops, bug reopening, and bottleneck in the clusters obtained and show that clustering enables better analysis. We also propose an algorithm to automate the clustering process-the algorithm takes as input the event log and returns the best cluster set.",Como melhorar a qualidade (fitness e complexidade estrutural) dos modelos de processo de software gerados pela mineração de logs de eventos em sistemas de rastreamento de issues através de clustering de traces?,case_study,discovery | enhancement,inductive_miner | other,none,issues | jira,bug_fixing | maintenance,open_source,sim,"Disco, Bugzilla REST API, MySQL","O algoritmo Anvaya baseado em clustering de K-Medoid com métricas de distância LCS e DTW reduz a complexidade estrutural dos modelos de processo spaghetti gerados a partir de logs de rastreamento de issues. O clustering de traces homogêneas melhora a compreensibilidade dos modelos e permite melhor análise de padrões como back-forth, self-loops, reabertura de issues e gargalos.",O estudo foi conduzido em um único projeto open-source (Firefox) e não especifica comparações quantitativas detalhadas entre as métricas de distância ou validação cruzada com outros datasets.,não_mencionado,working_set,working_set
