internal_id,ft_priority_band,title,doi,year,source_db,ta_decision,ta_matched_ic,ft_rationale,ft_screened_by
8c42d0fe,C,Agile Development with Software Process Mining,10.1145/2600821.2600842,2014,acm,maybe,IC1,"O resumo disponível é extremamente curto e não descreve a metodologia, resultados ou aplicação específica de process mining. Embora o título seja fortemente sugestivo de IC1 (process mining em desenvolvimento ágil de software) e a venue seja apropriada, o resumo não fornece evidência suficiente sobre o escopo real do trabalho, se efetivamente aplica técnicas de PM a artefatos de SW, ou se a abordagem é apenas conceitual/prescritiva. Requer acesso ao texto completo para decisão conclusiva.",llm
44d6a32e,D,An Approach Based on Process Mining Techniques to Support Software Development,10.1007/978-3-031-08246-7_2,2023,scopus,maybe,IC1,"PDF inacessível: não disponível em Unpaywall, Semantic Scholar nem OpenAlex. Capítulo de livro Springer atrás de paywall sem versão OA.",manual_oa_search
6778e0d5,D,Analyzing Side-Tracking of Developers Using Object-Centric Process Mining,10.1007/978-3-031-96841-9_2,2026,scopus,maybe,IC1,"PDF inacessível: não disponível em Unpaywall, Semantic Scholar nem OpenAlex. Capítulo de livro Springer atrás de paywall sem versão OA.",manual_oa_search
e69d723f,C,Process mining can be applied to software too!,10.1145/2652524.2652583,2014,scopus,maybe,,"O título é altamente sugestivo de aplicação de process mining a software (IC1), publicado em venue de grande relevância (ESEM 2014). Porém, o resumo disponível é extremamente genérico, descrevendo apenas o escopo geral de process mining em negócios sem confirmar a aplicação concreta a artefatos de SW (commits, issues, PR, CI/CD) ou processos de desenvolvimento de software. É necessário acesso ao texto completo para validar se há avaliação ou case study em contexto de software.",llm
1303e41e,D,Scheduling quality related activities in incremental software development projects based on Monte Carlo simulation,10.3923/itj.2012.751.759,2012,scopus,maybe,IC2,"O título indica fortemente uso de Monte Carlo (IC2 — modelagem estocástica) em atividades de qualidade em desenvolvimento incremental de software, sugerindo relevância ao escopo PATHCAST. Porém, a ausência completa de resumo impede confirmação de que o paper realmente modela processos de SW (versus usar simulação como ferramenta auxiliar) e não há evidência textual de que analisa descoberta, conformance ou otimização de processos. Texto completo é necessário para validar se o foco está em proces",llm_pdf
7d24e94c,E,COLORED PETRI NETS SIMULATION ON THE CLOUD WITH PYTHON: A FRAMEWORK OVERVIEW,10.24507/icicelb.13.07.725,2022,scopus,maybe,,"O resumo está ausente e o título menciona Colored Petri Nets (método estocástico relevante para IC2), mas sem conteúdo do artigo é impossível determinar se a aplicação é em processos de software ou em domínio genérico de BPM/simulação. Texto completo é necessário para avaliar contexto de aplicação e conformidade com escopo PATHCAST.",llm
5c0f6282,E,Concept drift detection and localization framework based on behavior replacement,10.1007/s10489-022-04341-2,2023,scopus,maybe,,"O resumo está ausente e a fonte bibliográfica não foi verificada. O título menciona 'concept drift detection' e 'behavior replacement', terminologia potencialmente relevante para process mining dinâmico, mas sem acesso ao conteúdo é impossível confirmar se o trabalho se aplica a processos de software (IC1/IC4) ou se é genérico (manufatura, BPM, healthcare). Dado que a fase 1 registrou 'maybe' e o título sugere relevância marginal a análise de comportamento/processos, justifica-se 'pending' com e",llm
140c9afd,E,Continuous build outcome prediction: an experimental evaluation and acceptance modelling,10.1007/s10489-023-04523-6,2023,scopus,maybe,,"O título sugere predição de outcomes de builds em CI/CD (potencialmente IC3), mas o abstract está ausente. Sem acesso ao texto completo, não é possível confirmar: (1) se utiliza process mining ou modelagem estocástica de processos de SW, (2) se analisa event logs de processo, ou (3) se é meramente classificação de falhas de build sem análise de processo. A relevância marginal justifica 'pending' em vez de exclusão imediata, mas requer acesso ao texto completo para decisão fundamentada.",llm
6ef49a7b,E,Extracting high-level activities from low-level program execution logs,10.1007/s10515-024-00441-0,2024,scopus,maybe,,"Resumo ausente e conteúdo completo não fornecido. O título sugere extração de atividades de alto nível a partir de logs de execução, potencialmente relevante para IC1 (process mining em software) ou IC4 (mineração de artefatos), mas a ambiguidade entre análise de logs de programas em geral versus processos de desenvolvimento de software não pode ser resolvida sem o texto completo. A publicação em Automated Software Engineering reforça possível relevância, justificando pending em vez de exclusão ",llm
a909cbd7,E,Hidden Markov Model Approach for Software Reliability Estimation with Logic Error,10.1007/s11633-019-1214-7,2020,scopus,maybe,,"Título indica aplicação de Hidden Markov Model (HMM) a confiabilidade de software, alinhado potencialmente com IC2 (modelagem estocástica em processos de SW). Contudo, ausência completa de abstract impede confirmação se: (1) o escopo é processo de desenvolvimento de software ou estimativa de confiabilidade de código/sistema (potencialmente fora de escopo); (2) utiliza event logs ou dados de repositório; (3) foca em dinâmica de processo ou apenas em artefatos finais. Necessário acesso ao texto co",llm
d6bdf278,E,"Interactive creation, visualization, and exploration of process model collections",10.1007/s10270-025-01346-6,2026,scopus,maybe,,"Resumo ausente e conteúdo do texto completo não fornecido. O título sugere foco em visualização e exploração de modelos de processo, potencialmente relevante para process mining, mas sem acesso ao texto completo é impossível determinar se aborda processos de software, se aplica modelagem estocástica, forecasting ou se trata de BPM genérico desconectado do escopo PATHCAST.",llm
9f28655a,E,Linear and non-linear bayesian regression methods for software fault prediction,10.1007/s13198-021-01582-1,2022,scopus,maybe,,"Resumo ausente impede avaliação definitiva. Título sugere predição de falhas em software (potencialmente IC3), mas não esclarece se trata de falhas em processos de desenvolvimento com dados de event logs, ou apenas predição de defeitos em código/produto. Contexto PATHCAST requer certeza sobre aplicação a processos de SW e fonte de dados; sem abstract, a distinção entre defect prediction (fora do escopo) e process-aware forecasting (dentro do escopo) não pode ser estabelecida.",llm
ecc17ad4,E,Markov model based coverage testing of deep learning software systems,10.1016/j.infsof.2024.107628,2025,scopus,maybe,,"O abstract está ausente, impedindo avaliação rigorosa contra critérios de inclusão. O título menciona 'Markov model' (sugestivo de IC2) e 'software systems', mas não esclarece se o modelo é aplicado a processos de desenvolvimento de SW ou apenas a testes/validação de sistemas de deep learning. A relevância ao escopo PATHCAST (process mining + estocástico + forecasting em processos de SW) permanece incerta sem o texto completo.",llm
