internal_id,title,doi,year,source_db,ft_matched_ic,ft_screened_by,authors,venue,journal_name,volume,pages,publication_type,abstract,pdf_available,pdf_file,research_question,study_type,research_contribution,pm_technique,stochastic_technique,software_artifact,software_process,dataset_source,dataset_public,tool_used,main_finding,limitations,replication_package,quality_score,extraction_notes
3ddbfd94,Process mining framework for software processes,10.1007/978-3-540-72426-1_15,2007,scopus,IC1,llm,V. Rubin; C. Günther; Wil M.P. van der Aalst; E. Kindler; B. V. Dongen; Wilhelm Schäfer,International Conference on the Software Process,,,169-181,JournalArticle,,sim,3ddbfd94_process_mining_framework_for_software_processes.pdf,Como extrair e analisar modelos de processos de software a partir de informações armazenadas em sistemas de gerenciamento de configuração de software (SCM)?,tool,discovery | framework,alpha | inductive_miner | heuristic,none,vcs | commits,development,not_specified,não_mencionado,"ProM, CVS, Subversion","O framework ProM pode ser utilizado para extrair modelos de processos de software a partir de dados de SCM, permitindo que engenheiros identifiquem, entendam, analisem e otimizem seus processos de desenvolvimento através de process mining em múltiplas perspectivas (controle, informação e organização).",não_mencionado,não_mencionado,,
ddeca0e6,Using process mining metrics to measure noisy process fidelity,10.14236/ewic/ease2009.16,2009,scopus,IC1,llm,C. Thomson; M. Gheorghe,International Conference on Evaluation & Assessment in Software Engineering,,,132-135,JournalArticle,"Background: When teams follow a software development process they do not follow the process consistently. We need a method to measure their fidelity to that process. Objective: To evaluate Rozinat and Aalst's metrics for process conformance to a state based model on noisy data (Rozinat and van der Aalst, 2008). Method: We instructed 14 teams that were developing a software system using Extreme Programming (XP) to record the events of their project (for example writing code, or testing). We calculated the values of the proposed metrics by comparing the data collected to a process model of XP. Results: 13 teams recoded data that we treat as a multiple case study. The fitness metric gave varying results over the teams that corresponded to the number of event types used in the correct order. The appropriateness metrics measured the same values for all teams. Conclusion: The fitness metric is useful for measuring fidelity, but the appropriateness metrics do not measure over fitting well with noisy data. In addition neither metric gave useful information about other aspects like iteration.",sim,ddeca0e6_using_process_mining_metrics_to_measure_noisy_proc.pdf,Métricas de conformance propostas para avaliar modelos de processos minerados são válidas para medir fidelidade a um processo desejado em dados reais e ruidosos de engenharia de software?,case_study,conformance | enhancement,conformance_checking,none,other,development,academic,não_mencionado,não_mencionado,"A métrica de fitness é útil para medir fidelidade ao processo, mostrando variações que correspondem ao uso correto de tipos de eventos na ordem esperada. As métricas de apropriabilidade não se mostraram eficazes em detectar overfitting em dados ruidosos e não forneceram informações sobre outros aspectos como iteração.","O estudo foi conduzido com 14 equipes em contexto acadêmico desenvolvendo com Extreme Programming, o que pode limitar a generalização. As métricas avaliadas não capturam adequadamente aspectos importantes do processo além da conformance simples.",não_mencionado,,
ee5ccaa2,Discovering changes of the change control board process during a software development project using process mining,10.1007/978-3-642-04133-4_11,2009,scopus,IC1,llm,Jana Samalikova; J. Trienekens; R. Kusters; J.Samalikova; A.J.M.M.Weijters; Nl,European Conference on Software Process Improvement,,,128-136,JournalArticle,,sim,Discovering_Changes_of_the_Change_Contro.pdf,Como o processo de Change Control Board (CCB) real desvia do processo documentado durante as diferentes fases do desenvolvimento de software e quais são as implicações dessas deviações para atividades de melhoria de processo?,case_study,discovery | conformance | enhancement,alpha | inductive_miner,none,jira | other,development | code_review,industrial,não,não_mencionado,"O estudo revelou que o processo CCB real diverge significativamente do processo documentado em 70% dos casos. A aplicação de process mining permitiu identificar atalhos e desvios causados por pressão de tempo e falta de disciplina durante diferentes fases do projeto, possibilitando propostas de melhoria de processo baseadas na prática real.",O estudo é específico para uma organização e um tipo particular de projeto de software (middleware embedded-software). Limitações sobre generalização dos resultados para outros contextos não são extensivamente discutidas.,não_mencionado,,
917f238d,Applicability of Process Discovery Algorithms for Software Organizations,10.1109/SEAA.2009.87,2009,ieee,IC1,llm,Burcu Akman; Onur Demirörs,EUROMICRO Conference on Software Engineering and Advanced Applications,2009 35th Euromicro Conference on Software Engineering and Advanced Applications,,195-202,JournalArticle; Conference,,sim,Applicability_of_Process_Discovery_Algorithms_for_Software_Organizations.pdf,Qual é a aplicabilidade de algoritmos de descoberta de processos para identificar processos as-is em organizações de software? Como os resultados desses algoritmos se comparam com os processos realmente executados?,case_study,discovery | conformance,alpha | heuristic | declarative,markov_chain,vcs,code_review,industrial,não_mencionado,não_mencionado,"O estudo aplicou quatro algoritmos de descoberta de processos (RNet, Ktail, Markov Models e Heuristic Mining) em dados de processos de review de uma organização de software CMMI Nível 3. Os resultados foram comparados com processos realmente executados e definições escritas, evidenciando discrepâncias e fraquezas dos algoritmos, especialmente na modelagem de processos não estruturados.","Os algoritmos de process mining não são muito bem-sucedidos com processos não estruturados, gerando modelos tipo spaghetti e demasiadamente detalhados. A extração de dados foi realizada apenas do processo de review utilizando ferramentas de controle de configuração.",não_mencionado,,
c24db118,Toward objective software process information: Experiences from a case study,10.1007/s11219-010-9105-8,2011,scopus,IC1,llm,Jana Samalikova; R. Kusters; J. Trienekens; Ton Weijters; Paul Siemons,Software quality journal,Software Quality Journal,19,101-120,JournalArticle,"A critical problem in software development is the monitoring, control and improvement in the processes of software developers. Software processes are often not explicitly modeled, and manuals to support the development work contain abstract guidelines and procedures. Consequently, there are huge differences between ‘actual’ and ‘official’ processes: “the actual process is what you do, with all its omissions, mistakes, and oversights. The official process is what the book, i.e., a quality manual, says you are supposed to do” (Humphrey in A discipline for software engineering. Addison-Wesley, New York, 1995). Software developers lack support to identify, analyze and better understand their processes. Consequently, process improvements are often not based on an in-depth understanding of the ‘actual’ processes, but on organization-wide improvement programs or ad hoc initiatives of individual developers. In this paper, we show that, based on particular data from software development projects, the underlying software development processes can be extracted and that automatically more realistic process models can be constructed. This is called software process mining (Rubin et al. in Process mining framework for software processes. Software process dynamics and agility. Springer Berlin, Heidelberg, 2007). The goal of process mining is to better understand the development processes, to compare constructed process models with the ‘official’ guidelines and procedures in quality manuals and, subsequently, to improve development processes. This paper reports on process mining case studies in a large industrial company in The Netherlands. The subject of the process mining is a particular process: the change control board (CCB) process. The results of process mining are fed back to practice in order to subsequently improve the CCB process.",sim,c24db118_toward_objective_software_process_information_expe.pdf,"Como extrair e modelar automaticamente processos reais de desenvolvimento de software a partir de dados de sistemas de configuração, e como esses modelos se comparam com os processos oficiais documentados?",case_study,discovery | conformance | enhancement,alpha | heuristic,none,vcs | other,development | code_review | other,industrial,não_mencionado,não_mencionado,"O artigo demonstra que process mining pode ser aplicado com sucesso a processos de software rotineiros e estruturados, particularmente ao process Change Control Board (CCB), extraindo modelos de processo reais a partir de dados de SCM. Os modelos descobertos revelam diferenças significativas entre os processos 'oficiais' documentados e os processos 'reais' executados, fornecendo insights objetivos para melhorias de processo.","O estudo foca em processos rotineiros e estruturados de software, limitando a aplicabilidade a atividades criativas menos estruturadas. A qualidade dos resultados de process mining depende fortemente da preparação adequada dos dados.",não_mencionado,,
ad250ae5,Unsupervised discovery of intentional process models from event logs,10.1145/2597073.2597101,2014,scopus,IC1,llm,G. Khodabandelou; Charlotte Hug; R. Deneckère; C. Salinesi,IEEE Working Conference on Mining Software Repositories,,,282-291,JournalArticle,,sim,ad250ae5_unsupervised_discovery_of_intentional_process_mode.pdf,Como descobrir automaticamente modelos de processos intencionais a partir de logs de eventos de atividades de usuários em plataformas de software?,tool,discovery | framework,other,markov_chain,ide_logs | other,development | other,open_source,sim,Hidden Markov Models (HMMs),"O MapMinerMethod (MMM) automatiza a construção de modelos intencionais a partir de logs de eventos usando Hidden Markov Models para modelar estratégias de usuários. O método infere intenções e constrói modelos intencionais em granularidades finas e grosseiras usando a notação Map, gerando modelos que oferecem nova compreensão de processos de software e podem ser utilizados em sistemas de recomendação.",não_mencionado,não_mencionado,,
e58074e0,Applied process mining in software development,10.1109/SACI.2014.6840098,2014,ieee,IC1,llm,Maria Laura Sebu; H. Ciocarlie,International Symposium on Applied Computational Intelligence and Informatics,2014 IEEE 9th IEEE International Symposium on Applied Computational Intelligence and Informatics (SACI),,55-60,JournalArticle,,sim,Applied_process_mining_in_software_devel.pdf,Qual é o modelo de processo real em um desenvolvimento de software terceirizado e quais são as diferenças entre o modelo teórico e o modelo real? Quais melhorias podem ser identificadas no processo para evitar retrabalho?,case_study,discovery | conformance | enhancement,heuristic,none,jira | other,development | requirements,industrial,não_mencionado,ProM 6.3,"O estudo aplicou técnicas de process mining para extrair o modelo real de processo de desenvolvimento de software de uma empresa automotiva, identificando desvios do modelo teórico inicial. O framework ProM foi utilizado para descobrir o processo, analisar a rede organizacional e extrair informações estatísticas, permitindo a identificação de gargalos e formulação de um plano de ação para melhoria.","A qualidade incompleta e inconsistente dos dados de log de eventos, oriundos de diferentes fontes com granularidades distintas, representa uma limitação. Outro desafio é o fator humano na implementação do processo, onde atividades podem ser executadas de forma diferente conforme o conhecimento e experiência de quem as realiza.",não_mencionado,,
e23bbc10,Mining Software Development Process Variations,10.1145/2695664.2696046,2015,acm,IC1,llm,Renata M. S. Santos; T. Oliveira; Fernando Brito e Abreu,ACM Symposium on Applied Computing,Proceedings of the 30th Annual ACM Symposium on Applied Computing,,,JournalArticle; Book,,sim,e23bbc10_mining_software_development_process_variations.pdf,Como usar process mining para identificar variações na execução de processos de software que são candidatas a tailoring? Quais elementos do processo diferem do fluxo padrão em execuções reais?,case_study,discovery | enhancement,alpha | inductive_miner | conformance_checking,none,other,development,industrial,não_mencionado,não_mencionado,"A técnica proposta utiliza process mining para descobrir e analisar variações em traces de execução que divergem do processo padrão definido, identificando elementos candidatos a tailoring. A abordagem foi validada em um cenário real de desenvolvimento de um grande sistema para institutos federais brasileiros de educação, ciência e tecnologia.",não_mencionado,não_mencionado,,
4f816525,"Software Development Process Mining: Discovery, Conformance Checking and Enhancement",10.1109/QUATIC.2016.061,2016,ieee,IC1,llm,João Caldeira; Fernando Brito e Abreu,Quality of Information and Communications Technology,2016 10th International Conference on the Quality of Information and Communications Technology (QUATIC),,254-259,JournalArticle; Conference,,sim,4f816525_software_development_process_mining_discovery_conf.pdf,"Como aplicar técnicas de process mining para descoberta, verificação de conformance e melhoria de processos de desenvolvimento de software?",theoretical,discovery | conformance | enhancement | framework,alpha | inductive_miner | heuristic | conformance_checking | other,none,vcs | commits | jira | other,development | testing | maintenance | code_review,not_specified,não_mencionado,não_mencionado,"A dissertação propõe uma abordagem integrada de process mining para descoberta automática de processos de desenvolvimento de software, verificação de conformidade com processos definidos e sugestões de melhorias baseadas em análise de dados históricos de repositórios de controle de versão.",Não mencionado nas páginas iniciais fornecidas.,não_mencionado,,
00ce8cfe,Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models Generated by Mining Event-Log Data in Issue Tracking Systems,10.1109/COMPSAC.2016.64,2016,scopus,IC1,llm,Prerna Juneja; D. Kundra; A. Sureka,Annual International Computer Software and Applications Conference,2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC),1,53-62,JournalArticle; Conference,"Issue Tracking Systems (ITS) such as Bugzilla can be viewed as Process Aware Information Systems (PAIS) generating event-logs during the life-cycle of a bug report. Process Mining consists of mining event logs generated from PAIS for process model discovery, conformance and enhancement. We apply process map discovery techniques to mine event trace data generated from ITS of open source Firefox browser project to generate and study process models. Bug life-cycle consists of diversity and variance. Therefore, the process models generated from the event-logs are spaghetti-like with large number of edges, inter-connections and nodes. Such models are complex to analyse and difficult to comprehend by a process analyst. We improve the Goodness (fitness and structural complexity) of the process models by splitting the event-log into homogeneous subsets by clustering structurally similar traces. We adapt the K-Medoid clustering algorithm with two different distance metrics: Longest Common Subsequence (LCS) and Dynamic Time Warping (DTW). We evaluate the goodness of the process models generated from the clusters using complexity and fitness metrics. We study back-forth and self-loops, bug reopening, and bottleneck in the clusters obtained and show that clustering enables better analysis. We also propose an algorithm to automate the clustering process-the algorithm takes as input the event log and returns the best cluster set.",sim,anvaya.pdf,Como melhorar a qualidade (fitness e complexidade estrutural) dos modelos de processo de software gerados pela mineração de logs de eventos em sistemas de rastreamento de issues através de clustering de traces?,case_study,discovery | enhancement,inductive_miner | other,none,issues | jira,bug_fixing | maintenance,open_source,sim,"Disco, Bugzilla REST API, MySQL","O algoritmo Anvaya baseado em clustering de K-Medoid com métricas de distância LCS e DTW reduz a complexidade estrutural dos modelos de processo spaghetti gerados a partir de logs de rastreamento de issues. O clustering de traces homogêneas melhora a compreensibilidade dos modelos e permite melhor análise de padrões como back-forth, self-loops, reabertura de issues e gargalos.",O estudo foi conduzido em um único projeto open-source (Firefox) e não especifica comparações quantitativas detalhadas entre as métricas de distância ou validação cruzada com outros datasets.,não_mencionado,,
ca6989c0,Test Case Generation and Prioritization: A Process-Mining Approach,10.1109/ICSTW.2017.11,2017,ieee,IC1,llm,Andrea Janes,"International Conference on Software Testing, Verification and Validation Workshops","2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",,38-39,JournalArticle; Conference,,sim,Test_Case_Generation_and_Prioritization_A_Process-Mining_Approach.pdf,Como usar process mining para gerar e priorizar casos de teste baseado no comportamento real dos usuários com o software?,case_study,discovery | enhancement,inductive_miner | other,none,ide_logs | other,testing,industrial,não_mencionado,não_mencionado,"Process mining pode ser aplicado para minerar modelos de processos a partir de logs de interação do usuário com a interface, permitindo identificar quais funcionalidades são mais utilizadas e com qual frequência para priorizar casos de teste e gerar novos testes baseados em padrões de comportamento real.",O paper é preliminar e apresenta um estudo inicial; a decisão de reestruturação de elementos de interface depende de mais aspectos além do número de cliques para atingir uma funcionalidade.,não_mencionado,,
6f9a5a08,Monitoring the Software Development Process with Process Mining,10.1007/978-3-319-94214-8_34,2018,scopus,IC1,llm_pdf,Saimir Bala; J. Mendling,International Symposium on Business Modeling and Software Design,,,432-442,JournalArticle,,sim,6f9a5a08_monitoring_the_software_development_process_with_p.pdf,Como o Process Mining pode ser aplicado para monitorar e analisar o processo de desenvolvimento de software em tempo real?,theoretical,framework | enhancement,other,none,vcs | ci_cd | other,development | code_review | deployment,not_specified,não_mencionado,não_mencionado,"O paper apresenta uma abordagem para aplicar Process Mining no monitoramento de processos de desenvolvimento de software, integrando conceitos de modelagem empresarial com engenharia de software para melhor compreensão e otimização dos processos.",não_mencionado,não_mencionado,,
04ab260e,Assessing Agile Software Development Processes with Process Mining: A Case Study,10.1109/CBI.2018.00021,2018,ieee,IC1,llm,Rita Marques; M. Silva; D. R. Ferreira,Conference on Business Informatics,2018 IEEE 20th Conference on Business Informatics (CBI),01,109-118,JournalArticle; Conference,"Software development is a growing industry with increasingly more complex projects. Agile methodologies, such as Scrum, have emerged in part to address this challenge. Agile focuses on a set of best practices rather than a standardized process, which makes it difficult to assess whether it is being properly implemented in an organization. In this work, we analyze the feasibility of using process mining to evaluate the implementation of Scrum practices based on event logs collected from a case-handling system. A case study was conducted in an IT organization that uses Jira Software to manage its projects. With process mining, it was possible to extract the workflow behaviour in two different projects. While Scrum standards like role distribution could be discovered, other practices like customer collaboration could not be detected in the log. This case study provided important insights regarding the application of process mining in case-handling systems and Scrum processes.",sim,marques18assessing.pdf,Quais práticas recomendadas do Scrum podem ser descobertas usando técnicas de process mining e quais questões devem ser consideradas ao extrair e analisar event logs com comportamento não estruturado de processos Scrum?,case_study,discovery | conformance,alpha | inductive_miner | other,none,jira | issues,development | requirements,industrial,não_mencionado,ProM | Jira Software,"O process mining foi capaz de extrair comportamento de workflow em dois projetos diferentes e descobrir padrões Scrum como distribuição de papéis, porém práticas como colaboração com cliente não foram detectadas nos logs. O estudo forneceu insights importantes sobre a aplicação de process mining em sistemas case-handling e processos Scrum.","Outras práticas do Scrum como colaboração com cliente não puderam ser detectadas nos logs extraídos, limitando o escopo de avaliação completa das práticas ágeis através de process mining.",não_mencionado,,
e6f42f43,Evaluating Coding Behavior in Software Development Processes: A Process Mining Approach,10.1109/ICSSP.2019.00020,2019,ieee,IC1,llm,P. Ardimento; M. Bernardi; Marta Cimitile; F. Maggi,International Conference on Software and Systems Process,2019 IEEE/ACM International Conference on Software and System Processes (ICSSP),,84-93,JournalArticle; Conference,"Process mining is a family of techniques that aim at analyzing business process execution data recorded in event logs. Conformance checking is a branch of this discipline embracing approaches for verifying whether the behavior of a process, as recorded in a log, is in line with some expected behavior provided in the form of a process model. In the literature, process mining techniques have already been used to study software development processes starting from logs derived from version management systems or from document management systems. In this paper, we use conformance checking to test coding behaviors starting from event logs generated from IDE usage. Understanding how developers carry out coding activities and what hurdles they usually face should provide useful tips for improving and supporting software development processes. In particular, through conformance checking, we can compare different process executions, and identify behavioral similarities and differences. In our experimentation, we evaluated the activities performed by 40 novice developers performing coding activities in 5 development sessions. We assessed the developers to distinguish the ones obtaining the best performance. We then compared the behavior extracted from this group of developers with the others. The results show different IDE usage patterns for developers with different skills and performance.",sim,2019_ICSSP_Evaluating_Coding_Behavior_in_Software_Development_Processes.pdf,"Como os padrões de comportamento de codificação de desenvolvedores variam entre aqueles com diferentes níveis de desempenho, e como técnicas de process mining podem identificar essas diferenças?",case_study,discovery | conformance | enhancement,conformance_checking | inductive_miner,none,ide_logs,development | code_review,academic,não_mencionado,Fluorite | ProM | Inductive Miner,O estudo identificou padrões distintos de uso do IDE entre desenvolvedores de alto e baixo desempenho através de análise conformance checking. Os resultados mostram que técnicas de process mining baseadas em Directly Follows Graphs podem revelar diferenças significativas nos comportamentos de codificação que diferenciam desenvolvedores experientes de novatos.,O estudo envolve apenas 40 estudantes em um contexto acadêmico avançado de Java em 5 sessões de desenvolvimento. A generalização para contextos industriais e diferentes tecnologias não é explorada.,não_mencionado,,
588a19f5,Assessing Software Development Teams' Efficiency using Process Mining,10.1109/ICPM.2019.00020,2019,ieee,IC1,llm,João Caldeira; Fernando Brito e Abreu; J. Reis; J. Cardoso,International Conference on Process Mining,2019 International Conference on Process Mining (ICPM),,65-72,JournalArticle; Conference,"Context. Improving the efficiency and effectiveness of software development projects implies understanding their actual process. Given the same requirements specification, different software development teams may follow different strategies and that may lead to inappropriate use of tools or non-optimized allocation of effort on spurious activities, non-aligned with the desired goals. However, due to its intangibility, the actual process followed by each developer or team is often a black box. Objective. The overall goal of this study is to improve the knowledge on how to measure efficiency in development teams where a great deal of variability may exist due to the human-factor. The main focus is on the discovery of the underlying processes and compare them in terms of efficiency and effectiveness. By doing so, we expect to reveal potentially hidden costs and risks, so that corrective actions may take place on a timely manner during the software project life cycle. Method. Several independent teams of Java programmers, using the Eclipse IDE, were assigned the same software quality task, related to code smells detection for identifying refactoring opportunities and the quality of the outcomes were assessed by independent experts. The events corresponding to the activity of each team upon the IDE, while performing the given task, were captured. Then, we used process mining techniques to discover development process models, evaluate their quality and compare variants against a reference model used as ""best practice"". Results. Teams whose process model was less complex, had the best outcomes and vice-versa. Comparing less complex process variants with the """"best practice"""" process, showed that they were also the ones with less differences in the control-flow perspective, based on activities frequencies. We have also determined which teams were most efficient through process analysis. Conclusions. We confirmed that, even for a well-defined software development task, there may be a great deal of process variability due to the human factor. We were able to identify when developers were more or less focused in the essential tasks they were required to perform. Less focused teams had the more complex process models, due to the spurious / non-essential actions that were carried out. In other words, they were less efficient. Experts' opinion confirmed that those teams also were less effective in their expected delivery. We therefore concluded that a self-awareness of the performed process rendered by our approach, may be used to identify corrective actions that will improve process efficiency (less wasted effort) and may yield to better deliverables, i.e. improved process effectiveness.",sim,588a19f5_assessing_software_development_teams_efficiency_us.pdf,"Como medir e comparar a eficiência de equipes de desenvolvimento de software através da análise dos processos reais que elas seguem, especialmente considerando a variabilidade introduzida pelo fator humano?",experiment,discovery | conformance | enhancement,alpha | inductive_miner | heuristic | conformance_checking,none,ide_logs,development | code_review,academic,não_mencionado,Eclipse IDE | ProM,Equipes cujos modelos de processo eram menos complexos apresentaram melhores resultados. A comparação com modelos de 'melhor prática' mostrou que processos menos complexos tinham menos diferenças na perspectiva de fluxo de controle. Foi possível identificar quais equipes eram mais eficientes através da análise de processos.,"Estudo realizado com uma tarefa bem definida de detecção de code smells em programadores Java usando Eclipse IDE, o que pode limitar a generalização dos resultados para outros tipos de tarefas ou contextos de desenvolvimento.",não_mencionado,,
6cb59310,A User Evaluation of Process Discovery Algorithms in a Software Engineering Company,10.1109/EDOC.2019.00026,2019,ieee,IC1,llm,S. Agostinelli; F. Maggi; Andrea Marrella; Fredrik P. Milani,IEEE International Enterprise Distributed Object Computing Conference,2019 IEEE 23rd International Enterprise Distributed Object Computing Conference (EDOC),,142-150,JournalArticle; Conference,"Process mining methods allow analysts to use logs of historical executions of business processes in order to gain knowledge about the actual behavior of these processes. One of the most widely studied process mining operations is automated process discovery. An event log is taken as input by an automated process discovery method and produces a business process model as output that captures the control-flow relations between tasks that are described by the event log. In this setting, this paper provides a systematic comparative evaluation of existing implementations of automated process discovery methods with domain experts by using a real life event log extracted from an international software engineering company and four quality metrics: understandability, correctness, precision, and usefulness. The evaluation results highlight gaps and unexplored trade-offs in the field and allow researchers to improve the lacks in the automated process discovery methods in terms of usability of process discovery techniques in industry.",sim,6cb59310_a_user_evaluation_of_process_discovery_algorithms.pdf,Qual algoritmo de descoberta de processos é percebido como o melhor por especialistas de domínio em uma empresa de engenharia de software?,case_study,discovery,alpha | inductive_miner | heuristic,none,issues,development,industrial,não_mencionado,não_mencionado,"O estudo avalia algoritmos de descoberta de processos através da percepção de especialistas de domínio usando métricas de compreensibilidade, correção, precisão e utilidade. Os resultados destacam lacunas e trade-offs inexplorados na descoberta automatizada de processos em contexto industrial de software.","Avaliação limitada a uma única empresa de engenharia de software; modelos produzidos frequentemente são grandes e complexos (spaghetti-like), dificultando a adoção prática.",não_mencionado,,
