stage,internal_id,title,doi,primary_decision,verifier_decision,binary_disagreement,human_decision,root_cause,human_notes
ws_FT,,Application of process mining in project management context: An exploratory case study in software development projects,,include,pending,include vs not_include,,,
ws_FT,,A CSP-Theoretic framework of checking conformance of business processes,10.1109/APSEC.2012.110,include,exclude,include vs not_include,,,
ws_FT,,Supporting software evolution actions with process mining,,include,exclude,include vs not_include,,,
ws_FT,,"Experiences in discovering, modeling, and reenacting open source software development processes",10.1007/11608035_36,include,pending,include vs not_include,,,
ws_FT,,Monitoring a CI/CD Workflow Using Process Mining,10.1007/s42979-021-00830-2,include,pending,include vs not_include,,,
ws_FT,,Continuous software monitoring backed by process mining: a systematic literature review,10.1007/s41060-025-01000-w,include,pending,include vs not_include,,,
ws_FT,,The economic impact of software process variations,10.1007/978-3-540-72426-1_22,include,pending,include vs not_include,,,
ws_FT,,Monitoring the Software Development Process with Process Mining,10.1007/978-3-319-94214-8_34,include,pending,include vs not_include,,,
ws_FT,,A note on two-stage software testing by two teams,10.1007/978-3-642-27207-3_35,exclude,include,not_include vs include,,,
ws_FT,,Modeling and predicting software failure costs,10.1109/COMPSAC.2009.195,exclude,include,not_include vs include,,,
ws_FT,,An Empirical Analysis of Build Failures in the Continuous Integration Workflows of Java-Based Open-Source Software,10.1109/MSR.2017.54,exclude,include,not_include vs include,,,
ws_FT,,A general modeling and analysis framework for software fault detection and correction process,10.1002/stvr.1600,exclude,include,not_include vs include,,,
ws_FT,,A business process simulation method supporting resource evolution,10.1145/2600821.2600827,exclude,include,not_include vs include,,,
ws_FT,,Model-based scheduling analysis for software projects,10.1109/COMPSACW.2011.57,exclude,include,not_include vs include,,,
ws_FT,,Cutting the software building efforts in continuous integration by semi-supervised online AUC optimization,10.24963/ijcai.2018/399,exclude,include,not_include vs include,,,
ws_FT,,Effects of architecture and technical development process on micro-process,10.1007/978-3-540-72426-1_5,exclude,include,not_include vs include,,,
ws_FT,,Better reasoning about software engineering activities,10.1109/ASE.2001.989836,exclude,include,not_include vs include,,,
aux_FT,4fd2327e,"Comparing pre-commit reviews and post-commit reviews using process
simulation",,include,pending,include vs not_include,,,
aux_FT,ac05d867,Software Process Dynamics,,include,pending,include vs not_include,,,
aux_FT,03fb6812,"Analyzing Side-Tracking of Developers Using Object-Centric Process
Mining",,include,pending,include vs not_include,,,
