seq,internal_id,year,authors,title,doi,origin,source_db,ic,qa_total,qa_include
1,dd71433d,1991,,VALIDATION AND VERIFICATION OF SOFTWARE PROCESS MODELS,,Aux1,wos,IC2,5.0,True
2,37385fbd,1992,,SOFTWARE PROCESS VALIDATION BASED ON FUNSOFT NETS,,Aux1,wos,IC2,3.0,False
3,87bce30b,1995,"Cook, Jonathan E.; Wolf, Alexander L.",Automating Process Discovery through Event-Data Analysis,10.1145/225014.225021,WS,ieee,IC1|IC2,2.0,False
4,6d68591e,1996,,Process discovery and validation through event-data analysis,,Aux1,snowball,IC1,3.0,False
5,50144afd,1997,,Software-Engineering Process Simulation model (SEPS),10.1016/S0164-1212(96)00156-2,Aux1,wos,IC2|IC3,3.0,False
6,07e55287,1998,"Cook, Jonathan E.; Wolf, Alexander L.",Discovering Models of Software Processes from Event-Based Data,10.1145/287000.287001,WS,acm,IC1|IC2,4.0,True
7,3f8fd941,1998,,"Using software process simulation to assist software development
organizations in making good enough quality decisions",,Aux1,wos,IC2|IC3,4.0,True
8,f453a92f,1999,,A net practice for software project management,10.1109/52.805479,Aux2,,IC2,2.0,False
9,d044ef55,1999,,Experience with software process simulation and modeling,10.1016/S0164-1212(99)00011-4,Aux1,wos,IC2,3.0,False
10,afd1b7aa,1999,,Software process simulation for reliability management,10.1016/S0164-1212(99)00010-2,Aux1,wos,IC2|IC3,5.0,True
11,66d00b19,1999,,Software process simulation modeling: Why? What? How?,10.1016/S0164-1212(99)00003-5,Aux1,wos,IC2|IC3,3.0,False
12,eb05417e,1999,,Software process simulation to achieve higher CMM levels,10.1016/S0164-1212(99)00009-6,Aux1,wos,IC2,5.0,True
13,eb526806,1999,,Software process validation,10.1145/304399.304401,Aux1,snowball,IC1,4.0,True
14,f06ebc31,2000,,A model of the software development process using both continuous and discrete models,10.1002/1099-1670(200006/09)5:2/3<147::aid-spip122>3.0.co;2-t,Aux1,snowball,IC2,5.0,True
15,9c255853,2000,Raffo D.M.,Empirical analysis in software process simulation modeling,10.1016/S0164-1212(00)00006-6,WS,scopus,IC2,6.0,True
16,ab16b112,2000,Walton G.H.,"Generating transition probabilities to support model-based software
testing",10.1002/1097-024X(200008)30:10<1095::AID-SPE328>3.0.CO;2-H,Aux1,wos,IC2,3.0,False
17,46287754,2000,,Using Simulation to Visualise and Analyse Product-Process Dependencies in Software Development Projects,10.1007/978-3-540-45051-1_11,Aux2,,IC2|IC3,7.0,True
18,a4f13cb1,2000,,"Using simulation to analyse the impact of software requirement
volatility on project performance",10.1016/S0950-5849(00)00152-X,Aux1,wos,IC2|IC3,4.0,True
19,da2f44fa,2001,,A simplified model of software project dynamics,10.1016/S0164-1212(01)00070-X,Aux1,wos,IC2|IC3,4.0,True
20,8ae72547,2001,Stutzke M.A.,"A stochastic model of fault introduction & removal during software
development",10.1109/24.963126,Aux1,wos,IC2|IC3,6.0,True
21,50dda3a0,2001,,"Application of a hybrid process simulation model to a software
development project",10.1016/S0164-1212(01)00065-6,Aux1,wos,IC2|IC3,4.0,True
22,b48dde83,2001,,"Behavioral characterization: finding and using the influential factors
in software process simulation models",10.1016/S0164-1212(01)00067-X,Aux1,wos,IC2,6.0,True
23,39e47477,2001,,"Exploring bottlenecks in market-driven requirements management processes
with discrete event simulation",10.1016/S0164-1212(01)00072-3,Aux1,wos,IC2|IC3,7.0,True
24,4155a4da,2001,,Hybrid simulation modelling of the software process,10.1016/S0164-1212(01)00064-4,Aux1,wos,IC2,5.0,True
25,f33d3c89,2001,,Software maintenance process analysis using discrete-event simulation,10.1109/CSMR.2001.914986,Aux1,ieee,IC2,5.0,True
26,839d520d,2001,,"Stochastic simulation of risk factor potential effects for software
development risk management",10.1016/S0164-1212(01)00066-8,Aux1,wos,IC2|IC3,3.0,False
27,883e1702,2002,,A discrete simulation model for assessing software project scheduling policies,10.1002/spip.160,Aux1,snowball,IC2|IC3,4.0,True
28,b75d202e,2002,,A dynamic integrated framework for software process improvement,10.1023/A:1020580008694,Aux1,wos,IC2|IC3,4.0,True
29,0b759736,2002,,"A method for modeling and evaluating software maintenance process
performances",10.1109/CSMR.2002.995786,Aux1,wos,IC2,4.0,True
30,ad4f84a7,2002,,Simulation-based risk reduction for planning inspections,,Aux1,wos,IC2|IC4,4.0,True
31,b1aabe94,2002,,"Using process simulation to compare scheduling strategies for software
projects",10.1109/APSEC.2002.1183094,Aux1,wos,IC2|IC3,6.0,True
32,78969f65,2003,,Decision support for using software inspections,10.1109/SEW.2003.1270720,Aux1,ieee,IC2,3.0,False
33,39157e2c,2003,,Simulating human resources in software development processes,,Aux1,wos,IC2,3.0,False
34,6e4114dc,2003,,"Using empirical knowledge from, replicated experiments for software
process simulation:: A practical example",10.1109/ISESE.2003.1237961,Aux1,wos,IC2|IC3,7.0,True
35,58996946,2004,,A comprehensive simulation study on optimal scheduling for software projects,10.1049/ic:20040457,Aux1,snowball,IC2,6.0,True
36,96767878,2004,Gokhale S.S.,Analysis of software fault removal policies using a non-homogeneous continuous time Markov chain,10.1023/B:SQJO.0000034709.63615.8b,WS,scopus,IC2,1.0,False
37,64c03c8d,2004,,Assessing staffing needs for a software maintenance project through queuing simulation,10.1109/tse.2004.1265735,Aux1,snowball,IC2|IC3,7.0,True
38,ab99a53e,2004,,Data mining for software process discovery in open source software development communities,10.1049/ic:20040484,Aux1,snowball,IC1|IC4,3.0,False
39,3c810db6,2004,Padberg F.,Linking software process modeling with Markov decision theory,,WS,scopus,IC2,4.0,True
40,c9512bbb,2004,,"Using simulation to facilitate the study of software product line
evolution",10.1109/IWPSE.2004.1334774,Aux2,,IC2|IC3,5.0,True
41,b37c10c1,2004,,Using software process simulation to assess the impact of IV&amp;V activities,10.1049/ic:20040459,Aux1,snowball,IC2|IC3,6.0,True
42,2fbf6d36,2005,,Computing Optimal Scheduling Policies for Software Projects,10.1109/apsec.2004.39,Aux1,snowball,IC2|IC3,5.0,True
43,3cc5a1cb,2005,,Coordinate metrics and process model to manage software project risk,10.1109/iemc.2004.1407505,Aux1,snowball,IC2,3.0,False
44,a20e7c58,2005,Tian L.,Modeling distributed software defect removal effectiveness in the presence of code churn,10.1016/j.mcm.2004.10.021,WS,scopus,IC2|IC3,5.0,True
45,5b51a065,2005,,SIMULATION-BASED SOFTWARE PROCESS MODELING AND EVALUATION,10.1142/9789812775245_0012,Aux1,snowball,IC2,4.0,True
46,557b4102,2005,,Scheduling software projects to minimize the development time and cost with a given staff,10.1109/apsec.2001.991476,Aux1,snowball,IC2,3.0,False
47,c94fc209,2005,,"Software project management using PROMPT: A hybrid metrics, modeling and
utility framework",10.1016/j.infsof.2005.09.004,Aux1,wos,IC2|IC3,5.0,True
48,df3ad75a,2006,"Huo, Ming; Zhang, He; Jeffery, Ross",A Systematic Approach to Process Enactment Analysis as Input to Software Process Improvement or Tailoring,10.1109/APSEC.2006.14,WS,ieee,IC1|IC4,3.0,False
49,8888cfdc,2006,,A study on optimal scheduling for software projects,10.1002/spip.254,Aux1,snowball,IC2,6.0,True
50,48e69187,2006,,Activity mining for discovering software process models,,Aux1,snowball,IC1|IC4,3.0,False
51,cdf1f104,2006,Huo M.,An exploratory study of process enactment as input to software process improvement,10.1145/1137702.1137711,WS,scopus,IC1|IC4,3.0,False
52,9f8b9dba,2006,,"Analysis of software-intensive system acquisition using hybrid software
process simulation",,Aux1,wos,IC2|IC4,3.0,False
53,be942093,2006,Jensen C.,"Discovering, modeling, and re-enacting open source software development processes: A case study",10.1142/9789812774460_0001,WS,scopus,IC1,4.0,True
54,8e0eec4d,2006,,Evaluating the impact of test-first programming and pair programming through software process simulation,10.1002/spip.286,Aux1,snowball,IC2|IC3,4.0,True
55,2c280053,2006,Jensen C.,"Experiences in discovering, modeling, and reenacting open source software development processes",10.1007/11608035_36,WS,scopus,IC1|IC4,5.0,True
56,7766e7b4,2006,,"Exploring the impact of task allocation strategies for global software
development using simulation",,Aux1,wos,IC2,5.0,True
57,53434e77,2006,,"Modeling and simulation of open source development using an agile
practice",10.1016/j.sysarc.2006.06.005,Aux1,wos,IC2|IC4,6.0,True
58,ae4f4926,2006,Li X.M.,Modeling uncertainties involved with software development with a stochastic Petri net,10.1111/j.1468-0394.2006.00411.x,WS,scopus,IC2,4.0,True
