internal_id,title,doi,year,source_db,abstract,ta_decision,ta_rationale,ta_matched_ic,ta_matched_ec,raw,abstract_source,abstract_match_type
6a2c2e16,Conformance Analysis on Software Development: An Experience with Process Mining,10.1504/ijbpim.2011.040203,2011,acm,Software organisations are investing more and more time and resources in their development processes. Conformance analysis is considered an important issue concerning process improvement initiatives. Process mining can be a valuable tool to gather data from event logs produced by management tools for software development environments. Process analysts can use the information obtained to quantify the correspondence between the process models and the real execution. This work discusses the issues concerning process mining in the context of software development processes. We also report an exploratory case study that takes activity records from a software maintenance project in a large software operation. The results were useful to an exploratory analysis as well as to examine the issues involved in the knowledge discovery process in this type of environment.,maybe,"O título é altamente relevante para a SLR (conformance analysis + process mining + software development) e alinha-se claramente com IC1. Porém, a ausência de abstract torna impossível confirmar escopo, metodologia, dataset e ausência de critérios de exclusão. Recomenda-se análise de texto completo antes de decisão final.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título é altamente relevante para a SLR (conformance analysis + process mining + software development) e alinha-se claramente com IC1. Porém, a ausência de abstract torna impossível confirmar escopo, metodologia, dataset e ausência de critérios de exclusão. Recomenda-se análise de texto completo antes de decisão final."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""full_text_required""],
",openalex,doi_exact
cc857a18,A Portfolio Management Method for Process Mining-Enabled Business Process Improvement Projects,10.1007/s12599-024-00906-2,2024,acm,"Process mining has received tremendous attention from research and industry, establishing itself as a highly sought-after technology. Despite the technological maturity of process mining solutions, which has been achieved through extensive investments in research and development, organizations still face the challenge of elusive value when systematically adopting process mining. The authors attribute this dilemma to a lack of support for scaling and managing process mining project portfolios. To address this practical need and research gap, the authors propose a method for managing portfolios of so-called process mining value cases, which are defined as process mining-enabled business process improvement projects, towards an evolutionary roadmap (mapper). The method is designed to support organizations identify portfolios of process mining projects that generate value by improving business processes. The method was developed through a combination of design science research and situational method engineering and comprises five activities that each outline techniques, roles, and tools: strategize, identify, select, implement, and monitor. The method has been instantiated as a software prototype and iteratively evaluated for applicability and real-world fidelity by involving an expert panel of academics and practitioners. The usefulness of the artifact was substantiated through a real-world case study in a naturalistic setting.",maybe,"Título indica forte relevância a process mining e melhoria de processos (IC1 potencial), mas abstract ausente impede avaliação confiável de escopo específico (SW vs. BPM genérico) e aplicabilidade aos critérios PATHCAST. Sem resumo, não é possível confirmar se trata-se de processos de desenvolvimento de software ou BPM genérico.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título indica forte relevância a process mining e melhoria de processos (IC1 potencial), mas abstract ausente impede avaliação confiável de escopo específico (SW vs. BPM genérico) e aplicabilidade aos critérios PATHCAST. Sem resumo, não é possível confirmar se trata-se de processos de desenvolvimento de software ou BPM genérico."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""insufficient_abstract"",
    ""f",semanticscholar,doi_exact
8465a1d1,"Adoption, Use and Management of Process Mining in Practice",10.1108/bpmj-03-2020-0112,2020,acm,"PurposeThis study explores how process managers perceive the adoption, use and management of process mining in practice. While research in process mining predominantly focuses on the technical aspects, our work highlights organizational and managerial implications.Design/methodology/approachWe report on a focus group study conducted with process managers from various industries in Central Europe. This setting allowed us to gain diverse and in-depth insights about the needs and expectations of practitioners in relation to the adoption, use and management of process mining.FindingsWe find that process managers face four central challenges. These challenges are largely related to four stages; (1) planning and business case calculation, (2) process selection, (3) implementation, and (4) process mining use.Research limitations/implicationsWe point to research opportunities in relation to the adoption, use and management of process mining. We suggest that future research should apply interdisciplinary study designs to better understand the managerial and organizational implications of process mining.Practical implicationsThe reported challenges have various practical implications at the organizational and managerial level. We explore how existing BPM frameworks can be extended to meet these challenges.Originality/valueThis study is among the first attempts to explore process mining from the perspective of process managers. It clarifies important challenges and points to avenues for future research.",maybe,"Título sugere relevância potencial a process mining (alinhado com PM genérico), mas abstract está ausente, impossibilitando confirmação de aplicação específica a processos de SW. Sem resumo, não é possível verificar se trata-se de survey sobre PM em geral (fora escopo) ou se inclui contexto de desenvolvimento de software.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere relevância potencial a process mining (alinhado com PM genérico), mas abstract está ausente, impossibilitando confirmação de aplicação específica a processos de SW. Sem resumo, não é possível verificar se trata-se de survey sobre PM em geral (fora escopo) ou se inclui contexto de desenvolvimento de software."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""insufficient_abstract"",
    ""full_tex",semanticscholar,doi_exact
472e7acc,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,10.1016/j.jjimei.2022.100141,2023,acm,"This article investigates how Process Mining may be used to check process conformance in enterprise information system development. The concept of using Process Mining beyond pure business processes is exemplified on the bug closure processes of two open-source enterprise systems. The process models and conclusions extracted are used for drawing some generic guidelines enterprise information project managers can adopt to assess the quality of their system development processes. Process conformance checking is performed in the Bugzilla databases of two open-source enterprise information systems using Disco. The extracted models are assessed based on the documentation of the projects and are compared to the bug closure process Bugzilla team suggests being used. The findings revealed that the processes followed in the projects are very similar to the ones presented in their documentation, conforming with Bugzilla guidelines. However, several variations are revealed under specific circumstances. Potential benefits from applying Process Mining techniques for information system development management are briefly summarized. This empirical research extends previous work that has been performed in the field of Process Mining and highlights the importance and necessity of Process Mining in enterprise information system development to help standardize and improve the internal processes of an organization and to serve as a proof of compliance by external collaborators developing software for an organization. In addition, it capitalizes on the adoption of inner source development model by many companies developing enterprise software nowadays.",maybe,"Título sugere process mining em conformance (alinhado com IC1), mas abstract ausente impede confirmação de escopo em processos de SW vs. sistemas genéricos de gestão empresarial. Risco de EC1 (domínio fora de SW) ou EC2 (software como ferramenta, não processo).",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""Título sugere process mining em conformance (alinhado com IC1), mas abstract ausente impede confirmação de escopo em processos de SW vs. sistemas genéricos de gestão empresarial. Risco de EC1 (domínio fora de SW) ou EC2 (software como ferramenta, não processo)."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_ta",openalex,doi_exact
142aa8c7,"Process Mining: Software Comparison, Trends, and Challenges",10.1007/s41060-022-00379-0,2022,acm,,maybe,"O título sugere relevância potencial para process mining em software, mas sem abstract disponível não é possível confirmar se o artigo aborda a intersecção entre process mining, modelagem estocástica e forecasting em processos de SW ou se é apenas uma survey genérica de PM. Necessário acesso ao texto completo.",,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere relevância potencial para process mining em software, mas sem abstract disponível não é possível confirmar se o artigo aborda a intersecção entre process mining, modelagem estocástica e forecasting em processos de SW ou se é apenas uma survey genérica de PM. Necessário acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [
    ""process_mining"",
    ""insufficient_abstract"",
    ""full_text_required""
",,
8ea46c1d,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,10.1002/smr.2162,2019,acm,"In the era of information technology, businesses have changed the way they work. Operations, which have become digitalized and managed via software systems, have increased in competitiveness. Software developers have been forced to design and implement their quality standards products by focusing on process‐oriented management. Software quality aims to gain a high‐performance level in the both development and managerial processes to maintain continuous improvements. Continuous improvements require more efficient process monitoring methods. Process mining, which provides recent techniques related to process monitoring, can be utilized with event log files to track the process performance. This research will extract the process mapping and performance statistics of the bug‐fixing process from event logs to develop an efficient process monitoring system. This process will uncover bottlenecks causing inefficiencies and risks. The benefits of process mining techniques will also be discussed to highlight the implications. In this context, this article will present a case study on monitoring the bug‐fixing process of a software product via process mining. It will reveal significant knowledge about subsequent steps and roles.",maybe,"O título sugere fortemente aplicação de process mining ao processo de correção de bugs em software (IC1), porém o abstract está ausente. Sem o resumo, não é possível confirmar escopo, metodologia ou se há exclusões aplicáveis. A relevância é alta baseada no título, mas a ausência de abstract impede decisão segura.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere fortemente aplicação de process mining ao processo de correção de bugs em software (IC1), porém o abstract está ausente. Sem o resumo, não é possível confirmar escopo, metodologia ou se há exclusões aplicáveis. A relevância é alta baseada no título, mas a ausência de abstract impede decisão segura."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""bug_fixing"", ""insufficient_ab",semanticscholar,doi_exact
12484962,Using Process Mining to Leverage the Development of a Family of Mobile Applications,10.15514/ispras-2023-35(3)-13,2023,acm,"Enterprises often provide their services via a family of applications based on various platforms. Applications in such a family can behave differently. Their development processes can differ as well. Moreover, modern development processes are often complex and sometimes vague. This can lead to bugs, defects, and unwanted discrepancies in applications. In this paper, we show that process mining can be applied to leverage the development in such a case. Real-life models can be discovered and investigated by the developer teams in order to reveal differences in application behaviour, find bugs, and highlight inefficiencies. We consider datasets with event data of two types. Firstly, we analyse event logs of Android and iOS applications of the same product family. Secondly, we consider event data from working repositories of these applications. We show how by analysing such datasets, the real-life development process can be discovered. Besides, application event logs can help to find more and less severe bugs and unwanted behaviour.",maybe,"O título indica claramente aplicação de process mining a desenvolvimento de software (família de aplicações móveis), atendendo potencialmente IC1. Porém, sem abstract disponível, não é possível confirmar o escopo, métodos e contribuições específicas. A fonte bibliográfica é verificável (ACM), mas a ausência de resumo impede avaliação confiável de exclusões ou detalhes metodológicos.",IC1,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título indica claramente aplicação de process mining a desenvolvimento de software (família de aplicações móveis), atendendo potencialmente IC1. Porém, sem abstract disponível, não é possível confirmar o escopo, métodos e contribuições específicas. A fonte bibliográfica é verificável (ACM), mas a ausência de resumo impede avaliação confiável de exclusões ou detalhes metodológicos."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"":",semanticscholar,doi_exact
91946482,Understanding and simulating software evolution,10.1109/ICSE.2013.6606730,2013,ieee,"Simulations have been used in various areas, yielding good results, but their application to software evolution is still limited. Simulations of software evolution can help people understand the driving forces that shape software evolution, and predict future evolutionary paths. To move towards simulation of software evolution, this research tries to explore possible models to simulate software evolution, and the applicability of different data to parameterize the models. The simulations will both be based on fine-grained code changes obtained by comparing the abstract syntax trees of source code. The use of fine-grain code changes could reveal information about software evolution that is unavailable by other means.",maybe,"O título sugere simulação de evolução de software, potencialmente relevante para IC2 (modelagem estocástica) e IC3 (forecasting). Porém, o abstract está marcado como ausente/não verificado, e o resumo disponível não detalha suficientemente se usa event logs, repositórios de SW ou modelos estocásticos específicos (Markov, Monte Carlo, etc.). A menção a 'simulations' e 'predict future evolutionary p",IC2|IC3,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O título sugere simulação de evolução de software, potencialmente relevante para IC2 (modelagem estocástica) e IC3 (forecasting). Porém, o abstract está marcado como ausente/não verificado, e o resumo disponível não detalha suficientemente se usa event logs, repositórios de SW ou modelos estocásticos específicos (Markov, Monte Carlo, etc.). A menção a 'simulations' e 'predict future evolutionary paths' é promissora, mas insuficiente para decisão d",,
beb83053,Modeling and Predicting Software Failure Costs,10.1109/COMPSAC.2009.195,2009,ieee,"For software, the costs of failures are not clearly understood. Often, these costs disappear in the costs of testing, the general developments costs, or the operating expenses. In a general manufacturing context, the British standard BS-6143-2:1990 classifies quality-related costs into prevention costs, appraisal costs, and failure costs. It furthermore recommends to identify the activities carried out within each of these categories, and to measure the costs connected with the activities. The standard thus presents a framework for recording and structuring costs once they have occurred. In this paper, we propose an approach for structuring the information on internal and external software failure costs such that their development over time can be represented by stochastic models. Based on these models, future failure costs can be predicted. In two case studies we show how the approach was applied in an industrial software development project.",maybe,"O resumo está ausente ou não verificado (missing_or_unverified). O título sugere relevância a forecasting de custos de falhas em software, potencialmente alinhado a IC3 (forecasting de métricas de processo) e IC2 (modelagem estocástica), mas sem abstract concreto não é possível confirmar se a abordagem incide efetivamente sobre processos de SW (event logs, repositórios) ou se trata de modelagem ge",IC2|IC3,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O resumo está ausente ou não verificado (missing_or_unverified). O título sugere relevância a forecasting de custos de falhas em software, potencialmente alinhado a IC3 (forecasting de métricas de processo) e IC2 (modelagem estocástica), mas sem abstract concreto não é possível confirmar se a abordagem incide efetivamente sobre processos de SW (event logs, repositórios) ou se trata de modelagem genérica de custos desconectada de process mining."",
",,
b007002f,Evaluating a rapid simulation modelling process (RSMP) through controlled experiments,10.1109/ISESE.2005.1541841,2005,ieee,"In recent years there has been an increasing interest in simulation modelling to study, control, and manage software development processes. Despite this, little attention has been paid towards the simulation modelling process itself. We have developed a rapid simulation modelling process (RSMP) based on our study of experienced simulation modellers. This paper reports a set of controlled experiments to evaluate the usability and utility of the RSMP. The results from this show that the RSMP has proved to be a usable and useful approach for developing software process simulation models. The results show that the RSMP is likely to bring discipline to software process simulation modellers and improve the quality of the model they produce.",maybe,"O paper trata de simulação de processos de SW e potencialmente atende IC2 (modelagem estocástica em processos de SW), mas o abstract está ausente ou não verificado. Sem acesso ao texto completo, não é possível confirmar se a RSMP envolve modelos estocásticos (Markov, Petri nets, etc.) ou apenas simulação discreta genérica, e se há avaliação efetiva em dados reais de processos de SW.",IC2,,"```json
{
  ""decision"": ""maybe"",
  ""rationale"": ""O paper trata de simulação de processos de SW e potencialmente atende IC2 (modelagem estocástica em processos de SW), mas o abstract está ausente ou não verificado. Sem acesso ao texto completo, não é possível confirmar se a RSMP envolve modelos estocásticos (Markov, Petri nets, etc.) ou apenas simulação discreta genérica, e se há avaliação efetiva em dados reais de processos de SW."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"":",,
